any_oracle_hit,dataset,fraction,rows
0.3125,hotpotqa,0.05,80
0.35,hotpotqa,0.1,80
0.475,hotpotqa,0.2,80
0.8,hotpotqa,0.3,80
0.9125,hotpotqa,0.4,80
0.6,qasper,0.05,80
0.7875,qasper,0.1,80
0.9375,qasper,0.2,80
0.9875,qasper,0.3,80
0.9875,qasper,0.4,80
