actual_complete_oracle,actual_oracle_recall,budget_parents,dataset,example_id,fraction,method,protected_complete_oracle,protected_oracle_recall,protected_selected_ids,seed
0.0,0.0,1,hotpotqa,5adc3aff5542996e685252eb,0.05,parent_closure,0.0,0.0,[3],11
0.0,0.0,1,hotpotqa,5adc3aff5542996e685252eb,0.05,local_gist_closure,0.0,0.0,[3],11
0.0,0.0,1,hotpotqa,5adc3aff5542996e685252eb,0.05,native_qk_max_topk_p20,0.0,0.0,[3],11
0.0,0.0,1,hotpotqa,5adc3aff5542996e685252eb,0.05,native_qk_top4_topk_p20,0.0,0.0,[3],11
0.0,0.0,1,hotpotqa,5adc3aff5542996e685252eb,0.1,parent_closure,0.0,0.0,[3],11
0.0,0.0,1,hotpotqa,5adc3aff5542996e685252eb,0.1,local_gist_closure,0.0,0.0,[3],11
0.0,0.0,1,hotpotqa,5adc3aff5542996e685252eb,0.1,native_qk_max_topk_p20,0.0,0.0,[3],11
0.0,0.0,1,hotpotqa,5adc3aff5542996e685252eb,0.1,native_qk_top4_topk_p20,0.0,0.0,[3],11
0.0,0.0,1,hotpotqa,5adc3aff5542996e685252eb,0.2,parent_closure,0.0,0.0,[3],11
0.0,0.0,1,hotpotqa,5adc3aff5542996e685252eb,0.2,local_gist_closure,0.0,0.0,[3],11
0.0,0.0,1,hotpotqa,5adc3aff5542996e685252eb,0.2,native_qk_max_topk_p20,0.0,0.0,[3],11
0.0,0.0,1,hotpotqa,5adc3aff5542996e685252eb,0.2,native_qk_top4_topk_p20,0.0,0.0,[3],11
0.0,0.0,2,hotpotqa,5adc3aff5542996e685252eb,0.3,parent_closure,0.0,0.5,"[3, 4]",11
0.0,0.0,2,hotpotqa,5adc3aff5542996e685252eb,0.3,local_gist_closure,0.0,0.5,"[3, 4]",11
0.0,0.0,2,hotpotqa,5adc3aff5542996e685252eb,0.3,native_qk_max_topk_p20,0.0,0.5,"[3, 4]",11
0.0,0.0,2,hotpotqa,5adc3aff5542996e685252eb,0.3,native_qk_top4_topk_p20,0.0,0.5,"[3, 4]",11
0.0,0.0,2,hotpotqa,5adc3aff5542996e685252eb,0.4,parent_closure,0.0,0.5,"[3, 4]",11
0.0,0.0,2,hotpotqa,5adc3aff5542996e685252eb,0.4,local_gist_closure,0.0,0.5,"[3, 4]",11
0.0,0.0,2,hotpotqa,5adc3aff5542996e685252eb,0.4,native_qk_max_topk_p20,0.0,0.5,"[3, 4]",11
0.0,0.0,2,hotpotqa,5adc3aff5542996e685252eb,0.4,native_qk_top4_topk_p20,0.0,0.5,"[3, 4]",11
0.0,0.0,1,hotpotqa,5ab56db7554299494045efc6,0.05,parent_closure,0.0,0.0,[2],11
