candidate_pool_fraction,dataset,fraction,method,replacement_hop2_fraction,root_selected_entropy,root_top1_top2_margin,rows,status
0.20000000000000004,qasper,0.2,native_qk_top4_topk_p20,1.0,1.6176177362600963,0.10406794973338644,12,displaced
0.2,qasper,0.2,native_qk_top4_topk_p20,0.8923076923076924,1.2861795929762034,0.12108442694521868,65,preserved
1.0,qasper,0.2,parent_closure,1.0,1.6087300777435303,0.04566669464111328,1,displaced
1.0,qasper,0.2,parent_closure,0.6578947368421053,1.3342678460635637,0.11938995333682549,76,preserved
1.0,qasper,0.3,local_gist_closure,1.0,2.110060900449753,0.0656241187825799,4,displaced
1.0,qasper,0.3,local_gist_closure,0.7341772151898734,1.712592164172402,0.11884288164445117,79,preserved
0.2,qasper,0.3,native_qk_max_topk_p20,1.0,1.9597274303436278,0.09916501119732857,5,displaced
0.2,qasper,0.3,native_qk_max_topk_p20,0.8846153846153846,1.7171331720474439,0.11737511626993999,78,preserved
0.2,qasper,0.3,native_qk_top4_topk_p20,1.0,1.8522786923817225,0.11060196640236038,7,displaced
0.2,qasper,0.3,native_qk_top4_topk_p20,0.8289473684210527,1.720645706904562,0.11680092579243999,76,preserved
1.0,qasper,0.3,parent_closure,1.0,2.0461947202682493,0.059690479189157486,5,displaced
1.0,qasper,0.3,parent_closure,0.6923076923076923,1.711590397052276,0.11990553498841248,78,preserved
1.0,qasper,0.4,local_gist_closure,1.0,2.295671796798706,0.04934835620224476,5,displaced
1.0,qasper,0.4,local_gist_closure,0.8554216867469879,1.983994506927858,0.11675388769931104,83,preserved
0.2,qasper,0.4,native_qk_max_topk_p20,1.0,2.2571878284215927,0.08623843104578555,8,displaced
0.2,qasper,0.4,native_qk_max_topk_p20,0.95,1.9761550053954124,0.11559258764609695,80,preserved
0.2,qasper,0.4,native_qk_top4_topk_p20,1.0,2.2571878284215927,0.08623843104578555,8,displaced
0.2,qasper,0.4,native_qk_top4_topk_p20,0.9125,1.9761550053954124,0.11559258764609695,80,preserved
1.0,qasper,0.4,parent_closure,1.0,2.448285852159773,0.05255062000027725,7,displaced
1.0,qasper,0.4,parent_closure,0.8024691358024691,1.9631099023936707,0.11814148296360616,81,preserved
