actual_complete_oracle,actual_oracle_recall,dataset,fraction,method,protected_complete_oracle,protected_oracle_recall,rows
0.0,0.13541666666666669,hotpotqa,0.05,local_gist_closure,0.0,0.13541666666666669,80
0.0,0.13541666666666669,hotpotqa,0.05,native_qk_max_topk_p20,0.0,0.13541666666666669,80
0.0,0.13541666666666669,hotpotqa,0.05,native_qk_top4_topk_p20,0.0,0.13541666666666669,80
0.0,0.13541666666666669,hotpotqa,0.05,parent_closure,0.0,0.13541666666666669,80
0.0,0.13541666666666669,hotpotqa,0.1,local_gist_closure,0.0,0.15416666666666667,80
0.0,0.13541666666666669,hotpotqa,0.1,native_qk_max_topk_p20,0.0,0.15416666666666667,80
0.0,0.13541666666666669,hotpotqa,0.1,native_qk_top4_topk_p20,0.0,0.15416666666666667,80
0.0,0.15416666666666667,hotpotqa,0.1,parent_closure,0.0,0.15416666666666667,80
0.0125,0.21666666666666665,hotpotqa,0.2,local_gist_closure,0.0125,0.24166666666666664,80
0.0,0.20833333333333334,hotpotqa,0.2,native_qk_max_topk_p20,0.0,0.23958333333333334,80
0.0125,0.26458333333333334,hotpotqa,0.2,native_qk_top4_topk_p20,0.0125,0.28958333333333336,80
0.0,0.23541666666666666,hotpotqa,0.2,parent_closure,0.0,0.23541666666666666,80
0.1,0.39375,hotpotqa,0.3,local_gist_closure,0.15,0.5020833333333333,80
0.1,0.39166666666666666,hotpotqa,0.3,native_qk_max_topk_p20,0.125,0.4791666666666667,80
0.1,0.4229166666666667,hotpotqa,0.3,native_qk_top4_topk_p20,0.125,0.5041666666666667,80
0.075,0.3875,hotpotqa,0.3,parent_closure,0.1,0.46875,80
0.125,0.4770833333333333,hotpotqa,0.4,local_gist_closure,0.2,0.6,80
0.125,0.4375,hotpotqa,0.4,native_qk_max_topk_p20,0.175,0.5708333333333333,80
0.1375,0.46875,hotpotqa,0.4,native_qk_top4_topk_p20,0.1875,0.5770833333333333,80
0.125,0.4666666666666667,hotpotqa,0.4,parent_closure,0.15,0.5479166666666667,80
0.5625,0.5875,qasper,0.05,local_gist_closure,0.5625,0.5875,80
0.55,0.6,qasper,0.05,native_qk_max_topk_p20,0.55,0.6,80
0.55,0.59375,qasper,0.05,native_qk_top4_topk_p20,0.55,0.59375,80
0.5375,0.575,qasper,0.05,parent_closure,0.55,0.5875,80
0.6625,0.7125,qasper,0.1,local_gist_closure,0.7125,0.76875,80
0.5875,0.6375,qasper,0.1,native_qk_max_topk_p20,0.7125,0.775,80
0.575,0.63125,qasper,0.1,native_qk_top4_topk_p20,0.7,0.7625,80
0.675,0.7375,qasper,0.1,parent_closure,0.7125,0.775,80
0.7625,0.82875,qasper,0.2,local_gist_closure,0.775,0.84375,80
0.725,0.79375,qasper,0.2,native_qk_max_topk_p20,0.7625,0.8375,80
0.7125,0.77,qasper,0.2,native_qk_top4_topk_p20,0.7625,0.8375,80
0.7375,0.81875,qasper,0.2,parent_closure,0.75,0.825,80
0.7625,0.84375,qasper,0.3,local_gist_closure,0.7875,0.8699999999999999,80
0.75,0.83125,qasper,0.3,native_qk_max_topk_p20,0.7875,0.8699999999999999,80
0.7375,0.82125,qasper,0.3,native_qk_top4_topk_p20,0.8,0.8787499999999999,80
0.75,0.825,qasper,0.3,parent_closure,0.775,0.8574999999999999,80
0.8,0.8724999999999999,qasper,0.4,local_gist_closure,0.825,0.89375,80
0.8,0.85875,qasper,0.4,native_qk_max_topk_p20,0.85,0.90625,80
0.8,0.85875,qasper,0.4,native_qk_top4_topk_p20,0.85,0.90625,80
0.7875,0.85,qasper,0.4,parent_closure,0.8,0.87375,80
