chain_completion,complete_oracle,dataset,fraction,materialized_kv_fraction,materialized_kv_tokens,method,native_qk_dot_products,oracle_jaccard,oracle_precision,oracle_recall,routing_seconds,rows,semantic_gist_comparisons
0.025,0.0,hotpotqa,0.05,0.16289846245891276,234.675,local_gist_closure,0.0,0.13541666666666669,0.3125,0.13541666666666669,0.005219168752955738,80,56.625
0.025,0.0,hotpotqa,0.05,0.16289846245891276,234.675,native_qk_max_topk_p20,0.0,0.13541666666666669,0.3125,0.13541666666666669,0.008533112501754658,80,106.75
0.025,0.0,hotpotqa,0.05,0.16289846245891276,234.675,native_qk_top4_topk_p20,0.0,0.13541666666666669,0.3125,0.13541666666666669,0.0077652574989770075,80,106.75
0.025,0.0,hotpotqa,0.05,0.16289846245891276,234.675,one_shot_parent,0.0,0.13541666666666669,0.3125,0.13541666666666669,0.007034769998426782,80,6.5
0.025,0.0,hotpotqa,0.05,0.16289846245891276,234.675,parent_closure,0.0,0.13541666666666669,0.3125,0.13541666666666669,0.004407145001459866,80,6.5
0.025,0.0,hotpotqa,0.1,0.1668677008612943,250.675,local_gist_closure,0.0,0.13541666666666669,0.3125,0.13541666666666669,0.004797531249641907,80,64.5
0.025,0.0,hotpotqa,0.1,0.1668677008612943,250.675,native_qk_max_topk_p20,31520.0,0.13541666666666669,0.3125,0.13541666666666669,0.008384109993494348,80,106.75
0.025,0.0,hotpotqa,0.1,0.1668677008612943,250.675,native_qk_top4_topk_p20,31520.0,0.13541666666666669,0.3125,0.13541666666666669,0.008430684999621008,80,106.75
0.025,0.0,hotpotqa,0.1,0.16626301219843148,248.2375,one_shot_parent,0.0,0.14791666666666667,0.33125,0.15416666666666667,0.00418596624804195,80,6.5
0.025,0.0,hotpotqa,0.1,0.16626301219843148,248.2375,parent_closure,0.0,0.14791666666666667,0.33125,0.15416666666666667,0.004219546249078121,80,7.5
0.0875,0.0125,hotpotqa,0.2,0.25206588313219547,407.0125,local_gist_closure,0.0,0.17833333333333332,0.353125,0.21666666666666665,0.009824337503232528,80,98.3125
0.05,0.0,hotpotqa,0.2,0.25222988444360006,407.175,native_qk_max_topk_p20,183667.2,0.16895833333333332,0.346875,0.20833333333333334,0.013179262504127109,80,114.625
0.1,0.0125,hotpotqa,0.2,0.2514524667968615,405.95,native_qk_top4_topk_p20,183667.2,0.21062499999999998,0.403125,0.26458333333333334,0.013514511248649797,80,114.625
0.1,0.0,hotpotqa,0.2,0.2519055517857695,405.825,one_shot_parent,0.0,0.17083333333333334,0.346875,0.21666666666666665,0.0046926425005949565,80,6.5
0.1125,0.0,hotpotqa,0.2,0.2513709285678469,405.0375,parent_closure,0.0,0.18333333333333332,0.365625,0.23541666666666666,0.006138041243684711,80,11.875
0.2,0.1,hotpotqa,0.3,0.39447125198524474,609.7125,local_gist_closure,0.0,0.28583333333333333,0.37916666666666665,0.39375,0.016392605002329218,80,139.5625
0.2,0.1,hotpotqa,0.3,0.3946352532966493,609.875,native_qk_max_topk_p20,394899.2,0.2770833333333333,0.36875,0.39166666666666666,0.018923483756225323,80,139.5625
0.2,0.1,hotpotqa,0.3,0.3938578356499108,608.65,native_qk_top4_topk_p20,394899.2,0.296875,0.39791666666666664,0.4229166666666667,0.020905740001762752,80,139.5625
0.275,0.0875,hotpotqa,0.3,0.39125335473171824,605.65,one_shot_parent,0.0,0.2939583333333333,0.4070833333333333,0.44375,0.0051752399958786555,80,6.5
0.2125,0.075,hotpotqa,0.3,0.39124537647478796,605.925,parent_closure,0.0,0.26208333333333333,0.36458333333333337,0.3875,0.008658667497365968,80,17.25
0.25,0.125,hotpotqa,0.4,0.4401920686287676,701.975,local_gist_closure,0.0,0.3159970238095238,0.4177083333333333,0.4770833333333333,0.018523664999520406,80,156.3125
0.25,0.125,hotpotqa,0.4,0.441204961686606,703.3875,native_qk_max_topk_p20,511244.8,0.29308035714285713,0.3875,0.4375,0.021533028752310203,80,156.3125
0.25,0.1375,hotpotqa,0.4,0.44048477098558364,702.25,native_qk_top4_topk_p20,511244.8,0.31078869047619045,0.4083333333333333,0.46875,0.024060046249360312,80,156.3125
0.3125,0.125,hotpotqa,0.4,0.4343097813962329,693.45,one_shot_parent,0.0,0.3330059523809524,0.44761904761904764,0.5291666666666667,0.00541236999706598,80,6.5
