partition,query_reconstruction_mode,query_support_mode,facet_type,K_search,rows,identities,edges,seeds,facet_count,candidate_parent_count,successor_candidate_recall,mrr,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_6,recall_at_8,recall_at_11,candidate_native_rank,candidate_query_rank,winning_facet_includes_a,query_support_tokens,conceptual_active_parent_count,conceptual_active_parent_count_p95,conceptual_active_parent_count_max,conceptual_active_parent_fraction,materialized_parent_count,materialized_native_kv_tokens,materialized_native_kv_tokens_p95,materialized_native_kv_tokens_max,native_kv_bytes,native_k_candidate_comparisons,semantic_comparisons,search_comparisons,reencoding_time,query_projection_time,candidate_scoring_time,native_search_time,prefill_to_ready_time,prefill_to_ready_time_p95,prefill_to_ready_time_max,memory_projection_time,total_reencoding_peak_gpu_allocated_bytes,total_reencoding_peak_gpu_reserved_bytes,incremental_reencoding_peak_allocated_bytes,routing_peak_gpu_allocated_bytes,routing_peak_gpu_reserved_bytes,incremental_routing_peak_allocated_bytes,cpu_reference_cache_bytes,gpu_reference_cache_bytes,gist_cache_bytes,query_facet_tensor_bytes,projected_parent_cache_bytes,candidate_score_tensor_bytes,h2d_transfer_bytes,oracle_margin
test,memory_then_query,question_and_memory,w2_s1_dynamic,1,35,7,7,5,313.7142857142857,1.0,0.2857142857142857,0.6428571428571429,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.142857142857143,1.7142857142857142,0.2571428571428571,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,313.7142857142857,6524071.428571428,0.722722057136707,0.0014221171416076166,0.0016405400038430734,0.03827207143850891,0.7646943542856857,1.2896791999810375,1.2899535999749787,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,1254.857142857143,10136708.57142857,
test,memory_then_query,question_and_memory,w2_s1_dynamic,11,35,7,7,5,313.7142857142857,4.714285714285714,1.0,0.4542857142857143,0.2,0.4,0.6285714285714286,0.7428571428571429,0.9428571428571428,1.0,1.0,1.0,2.142857142857143,3.085714285714286,0.9714285714285714,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,1421.4285714285713,6525179.142857143,0.722722057136707,0.0014221171416076166,0.0023767314285838177,0.03827207143850891,0.7654305457104263,1.290087599947583,1.290356100013014,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,5685.714285714285,10136708.57142857,-0.09154076616146735
test,memory_then_query,question_and_memory,w2_s1_dynamic,2,35,7,7,5,313.7142857142857,2.0,0.7142857142857143,0.5809523809523809,0.2571428571428571,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,2.142857142857143,2.0285714285714285,0.6857142857142857,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,627.4285714285714,6524385.142857143,0.722722057136707,0.0014221171416076166,0.0018960771383717656,0.03827207143850891,0.7649498914202143,1.289928499958478,1.2902243999415077,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,2509.714285714286,10136708.57142857,-0.05544802319258452
test,memory_then_query,question_and_memory,w2_s1_dynamic,3,35,7,7,5,313.7142857142857,3.0,0.8571428571428571,0.5595238095238095,0.3142857142857143,0.4857142857142857,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,2.142857142857143,2.342857142857143,0.8285714285714286,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,941.1428571428571,6524698.857142857,0.722722057136707,0.0014221171416076166,0.0020829771462428782,0.03827207143850891,0.7651367914280854,1.290165700018406,1.290439400007017,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,3764.5714285714284,10136708.57142857,-0.06976779851441582
test,memory_then_query,question_and_memory,w2_s1_dynamic,4,35,7,7,5,313.7142857142857,3.857142857142857,1.0,0.5166666666666666,0.2857142857142857,0.4,0.6857142857142857,1.0,1.0,1.0,1.0,1.0,2.142857142857143,2.6285714285714286,0.9714285714285714,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,1179.5714285714287,6524937.285714285,0.722722057136707,0.0014221171416076166,0.0021250371422086444,0.03827207143850891,0.7651788514240512,1.2900128999608569,1.2901307999854907,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,4718.285714285715,10136708.57142857,-0.0844402221164533
test,memory_then_query,question_and_memory,w2_s1_dynamic,5,35,7,7,5,313.7142857142857,4.428571428571429,1.0,0.4576190476190476,0.2,0.4,0.6285714285714286,0.7714285714285715,1.0,1.0,1.0,1.0,2.142857142857143,3.0,0.9714285714285714,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,1339.857142857143,6525097.571428572,0.722722057136707,0.0014221171416076166,0.0022944657148660295,0.03827207143850891,0.7653482799967085,1.2901762999827042,1.2905394000117667,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,5359.428571428572,10136708.57142857,-0.09154076616146735
test,memory_then_query,question_and_memory,w2_s1_dynamic,6,35,7,7,5,313.7142857142857,4.714285714285714,1.0,0.4542857142857143,0.2,0.4,0.6285714285714286,0.7428571428571429,0.9428571428571428,1.0,1.0,1.0,2.142857142857143,3.085714285714286,0.9714285714285714,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,1421.4285714285713,6525179.142857143,0.722722057136707,0.0014221171416076166,0.0023727714283657926,0.03827207143850891,0.7654265857102084,1.28969629999483,1.2906099999672733,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,5685.714285714285,10136708.57142857,-0.09154076616146735
test,memory_then_query,question_and_memory,w2_s1_dynamic,8,35,7,7,5,313.7142857142857,4.714285714285714,1.0,0.4542857142857143,0.2,0.4,0.6285714285714286,0.7428571428571429,0.9428571428571428,1.0,1.0,1.0,2.142857142857143,3.085714285714286,0.9714285714285714,314.7142857142857,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,1421.4285714285713,6525179.142857143,0.722722057136707,0.0014221171416076166,0.0024518742891294614,0.03827207143850891,0.765505688570972,1.2903624000027776,1.2905098999617621,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,15373970.285714285,277423250.28571427,1607899.4285714286,620984671.0,8824066.285714285,23990.85714285714,1284973.7142857143,2998.8571428571427,5685.714285714285,10136708.57142857,-0.09154076616146735
test,memory_then_query,question_only,w2_s1_dynamic,1,35,7,7,5,22.142857142857142,1.0,0.2857142857142857,0.6428571428571429,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.142857142857143,1.7142857142857142,0.0,22.142857142857142,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,22.142857142857142,6523779.857142857,0.722722057136707,0.000846139996844743,0.0013818228584049003,0.03827207143850891,0.7638596599954846,1.2879866000148468,1.2882358999922872,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,13879954.285714285,277423250.28571427,113883.42857142857,620984671.0,8824066.285714285,23990.85714285714,90697.14285714286,2998.8571428571427,88.57142857142857,8942432.0,
test,memory_then_query,question_only,w2_s1_dynamic,11,35,7,7,5,22.142857142857142,4.714285714285714,1.0,0.430952380952381,0.17142857142857143,0.37142857142857144,0.6,0.7428571428571429,0.8857142857142857,1.0,1.0,1.0,2.142857142857143,3.2285714285714286,0.0,22.142857142857142,2.142857142857143,3.0,3.0,0.3768707482993197,0.0,0.0,0.0,0.0,0.0,6523757.714285715,109.85714285714286,6523867.571428572,0.722722057136707,0.000846139996844743,0.0022145685806338276,0.03827207143850891,0.7646924057177135,1.288821900030598,1.2892692999448627,0.0006375685650190072,1307102354.2857144,1350865481.142857,114986642.28571428,13879954.285714285,277423250.28571427,113883.42857142857,620984671.0,8824066.285714285,23990.85714285714,90697.14285714286,2998.8571428571427,439.42857142857144,8942432.0,-0.13158759283167976
