dataset,family,policy,channels,parameter,k_total,n,evidence_recall,complete_recovery,precision,reciprocal_rank,routing_index_bytes,routing_seconds,native_kv_tokens_materialized
2wikimultihopqa,normalized_fusion,E+QK:fusion,E+QK,template=equal,2,4,0.5,0.0,0.625,0.625,126415.5,0.15997802501078695,505.0
2wikimultihopqa,normalized_fusion,E+QK:fusion,E+QK,template=equal,4,4,1.0,1.0,0.625,0.625,126415.5,0.15997802501078695,904.0
2wikimultihopqa,normalized_fusion,E+QK:fusion,E+QK,template=equal,8,4,1.0,1.0,0.50625,0.625,126415.5,0.15997802501078695,1224.0
2wikimultihopqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,2,4,0.625,0.25,0.75,0.75,127381.0,0.1603889749967493,505.0
2wikimultihopqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,4,4,1.0,1.0,0.625,0.75,127381.0,0.1603889749967493,904.0
2wikimultihopqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,8,4,1.0,1.0,0.50625,0.75,127381.0,0.1603889749967493,1224.0
2wikimultihopqa,normalized_fusion,E+S:fusion,E+S,template=equal,2,4,0.41666666666666663,0.0,0.5,0.875,4501.0,0.0005021499819122255,505.0
2wikimultihopqa,normalized_fusion,E+S:fusion,E+S,template=equal,4,4,0.8333333333333334,0.75,0.5,0.875,4501.0,0.0005021499819122255,955.25
2wikimultihopqa,normalized_fusion,E+S:fusion,E+S,template=equal,8,4,1.0,1.0,0.50625,0.875,4501.0,0.0005021499819122255,1224.0
2wikimultihopqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,2,4,0.5,0.0,0.625,0.875,131886.25,0.16011445003096014,505.0
2wikimultihopqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,4,4,1.0,1.0,0.625,0.875,131886.25,0.16011445003096014,955.25
2wikimultihopqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,8,4,1.0,1.0,0.50625,0.875,131886.25,0.16011445003096014,1224.0
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,2,4,0.5,0.0,0.625,0.75,132851.75,0.1605254000169225,505.0
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,4,4,1.0,1.0,0.625,0.75,132851.75,0.1605254000169225,955.25
2wikimultihopqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,8,4,1.0,1.0,0.50625,0.75,132851.75,0.1605254000169225,1224.0
2wikimultihopqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,2,4,0.41666666666666663,0.0,0.5,0.875,9971.75,0.0006385750020854175,505.0
2wikimultihopqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,4,4,0.9166666666666666,0.75,0.5625,0.875,9971.75,0.0006385750020854175,955.25
2wikimultihopqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,8,4,1.0,1.0,0.50625,0.875,9971.75,0.0006385750020854175,1224.0
2wikimultihopqa,normalized_fusion,L+E:fusion,L+E,template=equal,2,4,0.29166666666666663,0.0,0.375,0.8333333333333334,9006.25,0.0002276250161230564,512.0
2wikimultihopqa,normalized_fusion,L+E:fusion,L+E,template=equal,4,4,0.9166666666666666,0.75,0.5625,0.8333333333333334,9006.25,0.0002276250161230564,955.25
2wikimultihopqa,normalized_fusion,L+E:fusion,L+E,template=equal,8,4,1.0,1.0,0.50625,0.8333333333333334,9006.25,0.0002276250161230564,1224.0
2wikimultihopqa,normalized_fusion,L+QK:fusion,L+QK,template=equal,2,4,0.625,0.25,0.75,0.875,128350.75,0.16002325003501028,505.0
2wikimultihopqa,normalized_fusion,L+QK:fusion,L+QK,template=equal,4,4,1.0,1.0,0.625,0.875,128350.75,0.16002325003501028,904.0
2wikimultihopqa,normalized_fusion,L+QK:fusion,L+QK,template=equal,8,4,1.0,1.0,0.50625,0.875,128350.75,0.16002325003501028,1224.0
2wikimultihopqa,normalized_fusion,L+S+QK:fusion,L+S+QK,template=equal,2,4,0.625,0.25,0.75,0.75,129316.25,0.16043420002097264,505.0
2wikimultihopqa,normalized_fusion,L+S+QK:fusion,L+S+QK,template=equal,4,4,1.0,1.0,0.625,0.75,129316.25,0.16043420002097264,904.0
2wikimultihopqa,normalized_fusion,L+S+QK:fusion,L+S+QK,template=equal,8,4,1.0,1.0,0.50625,0.75,129316.25,0.16043420002097264,1224.0
2wikimultihopqa,normalized_fusion,L+S:fusion,L+S,template=equal,2,4,0.41666666666666663,0.0,0.5,0.875,6436.25,0.0005473750061355531,505.0
2wikimultihopqa,normalized_fusion,L+S:fusion,L+S,template=equal,4,4,0.9166666666666666,0.75,0.5625,0.875,6436.25,0.0005473750061355531,955.25
2wikimultihopqa,normalized_fusion,L+S:fusion,L+S,template=equal,8,4,0.9166666666666666,0.75,0.475,0.875,6436.25,0.0005473750061355531,1224.0
2wikimultihopqa,normalized_fusion,S+QK:fusion,S+QK,template=equal,2,4,0.625,0.25,0.75,0.75,123845.5,0.16029777500079945,443.25
2wikimultihopqa,normalized_fusion,S+QK:fusion,S+QK,template=equal,4,4,1.0,1.0,0.625,0.75,123845.5,0.16029777500079945,904.0
2wikimultihopqa,normalized_fusion,S+QK:fusion,S+QK,template=equal,8,4,1.0,1.0,0.50625,0.75,123845.5,0.16029777500079945,1224.0
2wikimultihopqa,reserved_slots,E+QK:E2_QK2,E+QK,"{""E"": 2, ""QK"": 2}",4,4,1.0,1.0,0.625,0.8333333333333334,126415.5,0.15997802501078695,904.0
2wikimultihopqa,reserved_slots,E+S+QK:E1_S1_QK2,E+S+QK,"{""E"": 1, ""QK"": 2, ""S"": 1}",4,4,1.0,1.0,0.625,0.875,127381.0,0.1603889749967493,904.0
2wikimultihopqa,reserved_slots,E+S:E2_S2,E+S,"{""E"": 2, ""S"": 2}",4,4,0.7083333333333334,0.5,0.4375,0.8333333333333334,4501.0,0.0005021499819122255,904.0
2wikimultihopqa,reserved_slots,L+E+QK:L1_E1_QK2,L+E+QK,"{""E"": 1, ""L"": 1, ""QK"": 2}",4,4,1.0,1.0,0.625,1.0,131886.25,0.16011445003096014,904.0
2wikimultihopqa,reserved_slots,L+E+S+QK:L1_E1_QK2_lex2,L+E+S+QK,"{""E"": 1, ""L"": 1, ""QK"": 2}",4,4,1.0,1.0,0.625,1.0,132851.75,0.1605254000169225,904.0
2wikimultihopqa,reserved_slots,L+E+S+QK:L1_E1_S1_QK1,L+E+S+QK,"{""E"": 1, ""L"": 1, ""QK"": 1, ""S"": 1}",4,4,0.9166666666666666,0.75,0.5625,1.0,132851.75,0.1605254000169225,904.0
2wikimultihopqa,reserved_slots,L+E+S:L1_E1_S2,L+E+S,"{""E"": 1, ""L"": 1, ""S"": 2}",4,4,0.7083333333333334,0.5,0.4375,1.0,9971.75,0.0006385750020854175,904.0
2wikimultihopqa,reserved_slots,L+QK:L2_QK2,L+QK,"{""L"": 2, ""QK"": 2}",4,4,1.0,1.0,0.625,1.0,128350.75,0.16002325003501028,904.0
2wikimultihopqa,reserved_slots,L+S+QK:L1_S1_QK2,L+S+QK,"{""L"": 1, ""QK"": 2, ""S"": 1}",4,4,1.0,1.0,0.625,1.0,129316.25,0.16043420002097264,904.0
