dataset,example_id,parent_index,summary_target_rank,summary_target_recovered_at4,summary_token_count,source_token_count,compression_ratio,alias_reference_available,alias_recall,entity_retained,entity_reference,entity_recall,number_date_retained,number_date_reference,number_date_recall,rare_term_retained,rare_term_reference,rare_term_recall,relation_term_retained,relation_term_reference,relation_term_recall,evidence_key_retained,evidence_key_reference,evidence_key_recall
hotpotqa,5adc3aff5542996e685252eb,2,3,True,32,256,0.125,False,,2,24,0.08333333333333333,0,4,0.0,3,12,0.25,0,9,0.0,3,7,0.42857142857142855
hotpotqa,5adc3aff5542996e685252eb,4,5,False,32,193,0.16580310880829016,False,,4,23,0.17391304347826086,0,3,0.0,4,12,0.3333333333333333,1,5,0.2,2,8,0.25
hotpotqa,5ab56db7554299494045efc6,0,1,True,32,256,0.125,False,,7,20,0.35,3,6,0.5,4,12,0.3333333333333333,2,6,0.3333333333333333,7,8,0.875
hotpotqa,5ab56db7554299494045efc6,3,3,True,32,256,0.125,False,,5,24,0.20833333333333334,1,11,0.09090909090909091,1,12,0.08333333333333333,0,5,0.0,4,9,0.4444444444444444
hotpotqa,5ab2b863554299295394685a,3,2,True,32,256,0.125,False,,4,21,0.19047619047619047,1,4,0.25,0,12,0.0,0,6,0.0,4,11,0.36363636363636365
hotpotqa,5ab2b863554299295394685a,4,3,True,32,256,0.125,False,,6,21,0.2857142857142857,1,10,0.1,3,12,0.25,0,1,0.0,3,10,0.3
hotpotqa,5a710a915542994082a3e504,1,1,True,32,256,0.125,False,,2,17,0.11764705882352941,0,3,0.0,0,12,0.0,0,4,0.0,5,9,0.5555555555555556
hotpotqa,5a710a915542994082a3e504,3,2,True,31,256,0.12109375,False,,2,16,0.125,1,10,0.1,4,12,0.3333333333333333,1,8,0.125,5,6,0.8333333333333334
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,0,8,False,24,256,0.09375,False,,2,13,0.15384615384615385,0,1,0.0,0,12,0.0,0,10,0.0,0,1,0.0
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,0,2,True,28,256,0.109375,False,,0,4,0.0,0,3,0.0,2,12,0.16666666666666666,0,10,0.0,2,6,0.3333333333333333
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,0,2,True,28,256,0.109375,False,,0,8,0.0,0,12,0.0,0,9,0.0,3,10,0.3,2,4,0.5
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,1,16,False,27,256,0.10546875,False,,4,5,0.8,1,9,0.1111111111111111,0,10,0.0,2,12,0.16666666666666666,0,3,0.0
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,0,2,True,28,256,0.109375,False,,2,4,0.5,0,0,,0,12,0.0,2,10,0.2,1,4,0.25
qasper,2001.02885:96b07373756d7854bccc3c12e8d41454ab8741f5,0,2,True,28,256,0.109375,False,,5,18,0.2777777777777778,0,7,0.0,2,12,0.16666666666666666,3,11,0.2727272727272727,0,2,0.0
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,0,4,True,28,256,0.109375,False,,0,4,0.0,0,9,0.0,0,12,0.0,3,12,0.25,1,2,0.5
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,1,5,False,26,256,0.1015625,False,,2,7,0.2857142857142857,1,3,0.3333333333333333,0,12,0.0,2,12,0.16666666666666666,0,3,0.0
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,0,5,False,28,256,0.109375,False,,4,17,0.23529411764705882,0,0,,4,12,0.3333333333333333,3,11,0.2727272727272727,1,4,0.25
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,0,9,False,28,256,0.109375,False,,4,15,0.26666666666666666,0,2,0.0,0,12,0.0,1,6,0.16666666666666666,1,4,0.25
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,1,10,False,25,256,0.09765625,False,,0,4,0.0,0,0,,1,11,0.09090909090909091,0,5,0.0,1,3,0.3333333333333333
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,2,26,False,27,256,0.10546875,False,,0,10,0.0,0,1,0.0,0,12,0.0,0,4,0.0,0,3,0.0
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,3,27,False,25,256,0.09765625,False,,2,12,0.16666666666666666,0,1,0.0,1,12,0.08333333333333333,2,6,0.3333333333333333,0,3,0.0
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,4,11,False,28,256,0.109375,False,,0,1,0.0,0,0,,0,12,0.0,0,3,0.0,1,2,0.5
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,5,28,False,28,256,0.109375,False,,2,12,0.16666666666666666,0,2,0.0,0,11,0.0,0,6,0.0,0,3,0.0
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,6,12,False,28,256,0.109375,False,,0,5,0.0,0,2,0.0,5,12,0.4166666666666667,0,4,0.0,1,2,0.5
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,7,1,True,28,256,0.109375,False,,1,17,0.058823529411764705,0,0,,0,12,0.0,0,12,0.0,3,4,0.75
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,8,29,False,28,256,0.109375,False,,1,13,0.07692307692307693,0,1,0.0,2,12,0.16666666666666666,0,9,0.0,0,2,0.0
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,9,13,False,28,256,0.109375,False,,1,10,0.1,0,0,,1,12,0.08333333333333333,1,12,0.08333333333333333,1,6,0.16666666666666666
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,2,5,False,32,256,0.125,False,,0,18,0.0,0,12,0.0,0,12,0.0,0,3,0.0,1,10,0.1
2wikimultihopqa,042a249a0bde11eba7f7acde48001122,3,2,True,32,256,0.125,False,,0,14,0.0,1,12,0.08333333333333333,0,12,0.0,0,3,0.0,2,9,0.2222222222222222
