dataset,diagnostic,routing_outcome,n,spearman_rho,unit
pooled,number_date_recall,summary_target_recovered_at4,54,-0.005701732449517232,positive_source_parent
pooled,rare_term_recall,summary_target_rank,61,-0.019071090397424093,positive_source_parent
pooled,rare_term_recall,summary_target_recovered_at4,61,0.06598787504733265,positive_source_parent
pooled,relation_term_recall,summary_target_rank,60,-0.06609653871241918,positive_source_parent
pooled,relation_term_recall,summary_target_recovered_at4,60,-0.046323369123567555,positive_source_parent
pooled,evidence_key_recall,summary_target_rank,60,-0.5784192713475509,positive_source_parent
pooled,evidence_key_recall,summary_target_recovered_at4,60,0.4420836644219815,positive_source_parent
pooled,compression_ratio,summary_target_rank,61,-0.33789099980497844,positive_source_parent
pooled,compression_ratio,summary_target_recovered_at4,61,0.2923256518834902,positive_source_parent
pooled,summary_token_count,summary_target_rank,61,-0.36863113481262005,positive_source_parent
pooled,summary_token_count,summary_target_recovered_at4,61,0.3466914459872348,positive_source_parent
