dataset,example_id,scope,address_views,persistent_bytes,ingestion_seconds,routing_seconds,summary_generation_seconds,summary_embedding_seconds,shared_backing_memory_copies,ingestion_status
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,single_channel,E,12030,0.019151100190356374,7.92001374065876e-05,0.0,0.0,1,measured_extract_and_bm25_build
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,single_channel,S,2659,72.26741810026579,0.0002700001932680607,72.26741810026579,0.0,1,cached_generation_plus_measured_embedding
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,single_channel,QK,360448,0.0,0.4173836999107152,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,single_channel,QK8,45056,0.0,21.10105110006407,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,single_channel,native_mean,90112,0.0,1.6372691998258233,0.0,0.0,1,inherited_native_features
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,single_channel,oracle,0,0.0,0.0,0.0,0.0,1,evaluation_identity_control
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,combined_stack,L+E+QK,399941,0.026553300209343433,0.4176653998438269,0.0,0.0,1,component_sum; QK projection inherited
qasper,1805.07133:b9ea841b817ba23281c95c7a769873b840dee8d5,combined_stack,L+E+S+QK,402600,72.29397140047513,0.41793540003709495,72.26741810026579,0.0,1,component_sum; QK projection inherited
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,single_channel,L,16013,0.003967100055888295,0.00036019994877278805,0.0,0.0,1,measured_source_bm25_build
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,single_channel,E,6810,0.016386300092563033,0.00024809991009533405,0.0,0.0,1,measured_extract_and_bm25_build
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,single_channel,S,1645,31.887248700251803,0.0004917001351714134,31.887248700251803,0.0,1,cached_generation_plus_measured_embedding
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,single_channel,QK,229376,0.0,0.2839887998998165,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,single_channel,QK8,28672,0.0,13.448380300076678,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,single_channel,native_mean,57344,0.0,0.0005363000091165304,0.0,0.0,1,inherited_native_features
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,single_channel,oracle,0,0.0,0.0,0.0,0.0,1,evaluation_identity_control
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,combined_stack,L+E+QK,252199,0.02035340014845133,0.28459709975868464,0.0,0.0,1,component_sum; QK projection inherited
qasper,1605.03481:b85fc420eb2f77f6f14f375cc1fcc5155eb5c0a8,combined_stack,L+E+S+QK,253844,31.907602100400254,0.28508879989385605,31.887248700251803,0.0,1,component_sum; QK projection inherited
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,single_channel,L,24353,0.006374399876222014,0.0002756998874247074,0.0,0.0,1,measured_source_bm25_build
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,single_channel,E,10205,0.017661500023677945,0.00013800011947751045,0.0,0.0,1,measured_extract_and_bm25_build
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,single_channel,S,2564,48.08666739938781,0.0003329000901430845,48.08666739938781,0.0,1,cached_generation_plus_measured_embedding
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,single_channel,QK,344064,0.0,0.6747173999901861,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,single_channel,QK8,43008,0.0,19.211668600095436,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,single_channel,native_mean,86016,0.0,0.0017398002091795206,0.0,0.0,1,inherited_native_features
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,single_channel,oracle,0,0.0,0.0,0.0,0.0,1,evaluation_identity_control
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,combined_stack,L+E+QK,378622,0.02403589989989996,0.6751310999970883,0.0,0.0,1,component_sum; QK projection inherited
qasper,2002.03407:10d450960907091f13e0be55f40bcb96f44dd074,combined_stack,L+E+S+QK,381186,48.11070329928771,0.6754640000872314,48.08666739938781,0.0,1,component_sum; QK projection inherited
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,single_channel,L,14491,0.0037406999617815018,0.0006317999213933945,0.0,0.0,1,measured_source_bm25_build
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,single_channel,E,6459,0.012321799993515015,0.00013919989578425884,0.0,0.0,1,measured_extract_and_bm25_build
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,single_channel,S,1490,28.99495039996691,0.00029200012795627117,28.99495039996691,0.0,1,cached_generation_plus_measured_embedding
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,single_channel,QK,196608,0.0,0.5698080000001937,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,single_channel,QK8,24576,0.0,11.043452500132844,0.0,0.0,1,inherited_checkpoint_projection_not_remeasured
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,single_channel,native_mean,49152,0.0,0.0003567000385373831,0.0,0.0,1,inherited_native_features
qasper,1808.10245:da9c0637623885afaf023a319beee87898948fe9,single_channel,oracle,0,0.0,0.0,0.0,0.0,1,evaluation_identity_control
