dataset,scope,address_views,n,persistent_bytes,ingestion_seconds,routing_seconds,summary_generation_seconds,summary_embedding_seconds,shared_backing_memory_copies
2wikimultihopqa,combined_stack,L+E+QK,4,131886.25,0.008078874961938709,0.16011445003096014,0.0,0.0,1
2wikimultihopqa,combined_stack,L+E+S+QK,4,132851.75,176.83042817516252,0.1605254000169225,176.82234930020059,0.0,1
2wikimultihopqa,single_channel,E,4,3535.5,0.006314625032246113,9.119999594986439e-05,0.0,0.0,1
2wikimultihopqa,single_channel,L,4,5470.75,0.0017642499296925962,0.00013642502017319202,0.0,0.0,1
2wikimultihopqa,single_channel,QK,4,122880.0,0.0,0.1598868250148371,0.0,0.0,1
2wikimultihopqa,single_channel,QK8,4,15360.0,0.0,6.6388820999418385,0.0,0.0,1
2wikimultihopqa,single_channel,S,4,965.5,176.82234930020059,0.0004109499859623611,176.82234930020059,0.0,1
2wikimultihopqa,single_channel,native_mean,4,30720.0,0.0,0.046292974962852895,0.0,0.0,1
2wikimultihopqa,single_channel,oracle,4,0.0,0.0,0.0,0.0,0.0,1
hotpotqa,combined_stack,L+E+QK,4,93621.25,0.007503499975427985,0.19619180005975068,0.0,0.0,1
hotpotqa,combined_stack,L+E+S+QK,4,94273.0,131.09876455017366,0.1964872251264751,131.09126105019823,0.0,1
hotpotqa,single_channel,E,4,2750.25,0.0055273749167099595,0.00015360000543296337,0.0,0.0,1
hotpotqa,single_channel,L,4,4855.0,0.0019761250587180257,0.00018117501167580485,0.0,0.0,1
hotpotqa,single_channel,QK,4,86016.0,0.0,0.1958570250426419,0.0,0.0,1
hotpotqa,single_channel,QK8,4,10752.0,0.0,4.604497725027613,0.0,0.0,1
hotpotqa,single_channel,S,4,651.75,131.09126105019823,0.0002954250667244196,131.09126105019823,0.0,1
hotpotqa,single_channel,native_mean,4,21504.0,0.0,0.0007152749458327889,0.0,0.0,1
hotpotqa,single_channel,oracle,4,0.0,0.0,0.0,0.0,0.0,1
musique,combined_stack,L+E+QK,8,183568.125,0.020755425066454336,0.3700070125341881,0.0,0.0,1
musique,combined_stack,L+E+S+QK,8,200360.75,25.670820650062524,0.6871348750137258,25.33359893746092,0.3164662875351496,1
musique,single_channel,E,8,5651.25,0.01800561253912747,0.00015346254804171622,0.0,0.0,1
musique,single_channel,L,8,9980.875,0.002749812527326867,0.00022112499573267996,0.0,0.0,1
musique,single_channel,QK,8,167936.0,0.0,0.3696324249904137,0.0,0.0,1
musique,single_channel,QK8,8,20992.0,0.0,8.084701412473805,0.0,0.0,1
musique,single_channel,S,8,16792.625,25.65006522499607,0.3171278624795377,25.33359893746092,0.3164662875351496,1
musique,single_channel,native_mean,8,41984.0,0.0,0.03119539999170229,0.0,0.0,1
musique,single_channel,oracle,8,0.0,0.0,0.0,0.0,0.0,1
qasper,combined_stack,L+E+QK,8,332221.375,0.02084457504679449,0.5793039999261964,0.0,0.0,1
qasper,combined_stack,L+E+S+QK,8,334426.375,46.66875130019616,0.5796816499496344,46.64790672514937,0.0,1
qasper,single_channel,E,8,9420.5,0.015646800049580634,0.00016121251974254847,0.0,0.0,1
qasper,single_channel,L,8,21744.875,0.005197774997213855,0.0004227874451316893,0.0,0.0,1
qasper,single_channel,QK,8,301056.0,0.0,0.5787199999613222,0.0,0.0,1
qasper,single_channel,QK8,8,37632.0,0.0,17.183409662538907,0.0,0.0,1
qasper,single_channel,S,8,2205.0,46.64790672514937,0.00037765002343803644,46.64790672514937,0.0,1
qasper,single_channel,native_mean,8,75264.0,0.0,0.21708981253323145,0.0,0.0,1
qasper,single_channel,oracle,8,0.0,0.0,0.0,0.0,0.0,1
