chunk_size,mean,median,p90,maximum,distribution
16,7.25,6.5,10.5,12.0,5:3 6:5 7:3 8:1 9:2 12:2
32,4.6875,4.0,6.5,7.0,3:1 4:8 5:4 6:1 7:2
64,3.4375,3.5,4.0,5.0,2:2 3:6 4:7 5:1
128,2.4375,2.0,3.0,4.0,2:10 3:5 4:1
256,2.1875,2.0,3.0,3.0,2:13 3:3
