chunk_size,question_type,examples,mean_oracle_recall,complete_recovery,mean_nodes_expanded
16,bridge,15,0.18494708994708994,0.0,3.2666666666666666
16,comparison,1,0.3333333333333333,0.0,3.0
32,bridge,15,0.32190476190476186,0.0,3.4
32,comparison,1,0.5,0.0,3.0
64,bridge,15,0.45999999999999996,0.0,3.6
64,comparison,1,1.0,1.0,3.0
128,bridge,15,0.6666666666666666,0.26666666666666666,3.7333333333333334
128,comparison,1,1.0,1.0,3.0
256,bridge,15,0.9666666666666667,0.9333333333333333,2.933333333333333
256,comparison,1,1.0,1.0,2.0
