chunk_size,root_has_all_evidence,root_has_multiple_groups,root_has_only_initial_evidence,mean_oracle_parents,mean_later_evidence_parents
16,0.0,0.0,1.0,7.25,4.0
32,0.0,0.0,1.0,4.6875,2.5625
64,0.0,0.125,0.875,3.4375,1.8125
128,0.0,0.1875,0.8125,2.4375,1.3125
256,0.0,0.25,0.75,2.1875,1.125
