chunk_size,mean_oracle_recall,mean_visited_parents,mean_selected_parent_tokens,mean_selected_evidence_tokens,mean_non_evidence_selected_tokens,mean_evidence_density,mean_active_kv_fraction,actual_native_kv_tokens
16,0.19422123015873016,5.875,94.0,19.8125,74.1875,0.210546875,0.06537785380813795,0
32,0.33303571428571427,5.8125,186.0,37.875,148.125,0.20247395833333334,0.1291123222424057,0
64,0.49374999999999997,5.75,366.3125,52.625,313.6875,0.14472519476540616,0.25469485118229085,0
128,0.6875,5.6875,722.3125,62.8125,659.5,0.08755464614875677,0.50143659940448,0
256,0.96875,5.4375,1330.8125,85.6875,1245.125,0.06453306224078152,0.9031460446014886,0
