chunk_size,mean_oracle_parents,mean_root_evidence_fraction,H0_oracle_recall,H1_oracle_recall,H2_oracle_recall,H3_oracle_recall,complete_recovery_H4
16,7.25,0.20078195672284888,0.14848710317460317,0.17279265873015873,0.19422123015873016,0.19422123015873016,0.0
32,4.6875,0.3465894922494481,0.22410714285714287,0.29077380952380955,0.33303571428571427,0.33303571428571427,0.0
64,3.4375,0.44127679530262665,0.309375,0.42916666666666664,0.49374999999999997,0.49374999999999997,0.0625
128,2.4375,0.507623655190823,0.4322916666666667,0.625,0.6875,0.6875,0.3125
256,2.1875,0.5753609033467904,0.46875,0.8854166666666666,0.96875,0.96875,0.9375
