chunk_size,minimum_recovery_depth,fraction
16,0,0.0
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,unrecovered,1.0
32,0,0.0
32,1,0.0
32,2,0.0
32,3,0.0
32,4,0.0
32,unrecovered,1.0
64,0,0.0
64,1,0.0625
64,2,0.1875
64,3,0.0
64,4,0.0
64,unrecovered,0.75
128,0,0.0
128,1,0.3125
128,2,0.125
128,3,0.0
128,4,0.0
128,unrecovered,0.5625
256,0,0.0
256,1,0.9375
256,2,0.0
256,3,0.0
256,4,0.0
256,unrecovered,0.0625
