chunk_size,parent_class,rows,mean_max_facet_score,mean_top2_facet_score,mean_incremental_coverage,mean_normalized_facet_entropy,mean_winning_facet_matches_root
16,oracle_other,500,0.018541995353996754,-0.003722618944942951,0.06884697264432907,0.9983068380355835,0.36
16,oracle_root,80,0.08268549885833636,0.061822647927328944,0.0,0.9982731215655803,1.0
16,other_discovered,365,0.039091384844624835,0.018816248816119072,0.10888097935343442,0.998381890662729,0.336986301369863
32,oracle_other,295,0.015008435925563514,-0.009114577261320615,0.10454034709324271,0.9981847999459607,0.41694915254237286
32,oracle_root,80,0.034533172543160615,0.010369586024899036,0.0,0.9982758477330208,1.0
32,other_discovered,345,0.022626771837256955,0.002840800088006949,0.12939650610737177,0.9983352890913038,0.336231884057971
64,oracle_other,195,0.00237404047869719,-0.021060846583583415,0.16077536503091835,0.9981568159201206,0.4256410256410256
64,oracle_root,80,-0.014381418586708605,-0.03630047533661127,0.0,0.9981707952916622,1.0
64,other_discovered,330,0.00919312129474499,-0.012168325153602794,0.17971771210432053,0.9982925760023522,0.4121212121212121
128,oracle_other,115,-0.010240599569743094,-0.03403709454704886,0.1626795707837395,0.9980088202849678,0.5304347826086957
128,oracle_root,80,-0.026087127882055937,-0.0474788163905032,0.0,0.9981780022382736,1.0
128,other_discovered,325,-0.032976178251779995,-0.053085291269593514,0.14730910544212047,0.9982433399787316,0.47692307692307695
256,clear_distractor,25,0.02888745293021202,0.0068504510819911955,0.4094470988586545,0.9978017354011536,0.44
256,oracle_other,95,-0.037024915522258534,-0.059807603242562006,0.205604731997377,0.9980763222041883,0.5684210526315789
256,oracle_root,80,-0.04599779366981238,-0.071007668657694,0.0,0.9980730764567852,1.0
256,other_discovered,225,-0.09339906315008799,-0.11136850350846847,0.1515019441768527,0.9983080124855042,0.6044444444444445
256,plausibly_relevant_non_oracle,15,0.06164296865463257,0.04685486182570457,0.4402794490257899,0.9980730175971985,0.26666666666666666
