example_id,partition,question_type,chunk_size,overlap,seed,facet_count,parent_id,parent_class,max_facet_score,top2_facet_score,winning_facet,normalized_facet_entropy,facet_concentration,winning_facet_matches_root,root_path_coverage,path_coverage,incremental_coverage,manual_label_reused,boundaries_identical_to_prior
5adc3aff5542996e685252eb,validation,bridge,16,0,11,18,0,other_discovered,0.029457557946443558,0.019675640389323235,1,0.9987453818321228,0.0012546181678771973,0,0.7890346050262451,0.7890346050262451,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,11,18,16,other_discovered,0.24284856021404266,0.22972530126571655,17,0.9959653615951538,0.004034638404846191,0,0.7890346050262451,0.8509079813957214,0.019841432571411133,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,11,18,32,other_discovered,-0.1701720803976059,-0.2064785659313202,7,0.998705267906189,0.0012947320938110352,0,0.7890346050262451,0.7890346050262451,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,11,18,33,oracle_root,0.35218822956085205,0.32457292079925537,0,0.9988014698028564,0.0011985301971435547,1,0.7890346050262451,0.7890346050262451,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,11,18,34,oracle_other,0.6416070461273193,0.5359252691268921,0,0.9981160759925842,0.0018839240074157715,1,0.7890346050262451,0.9270594120025635,0.13802480697631836,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,11,18,48,other_discovered,0.005408275872468948,0.004926521331071854,2,0.9979490637779236,0.002050936222076416,0,0.7890346050262451,0.7890346050262451,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,11,18,64,other_discovered,0.26231610774993896,0.26129475235939026,9,0.9979355335235596,0.0020644664764404297,0,0.7890346050262451,0.8485736846923828,0.059539079666137695,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,11,18,74,oracle_other,-0.03585198149085045,-0.06981925666332245,7,0.9956430196762085,0.004356980323791504,0,0.7890346050262451,0.7890346050262451,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,11,18,75,oracle_other,0.212459996342659,0.17512741684913635,7,0.9960450530052185,0.003954946994781494,0,0.7890346050262451,0.7890346050262451,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,11,18,76,oracle_other,-0.11386661231517792,-0.11712108552455902,7,0.9980935454368591,0.0019064545631408691,0,0.7890346050262451,0.7890346050262451,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,23,18,0,other_discovered,0.22857262194156647,0.22643327713012695,4,0.9992441534996033,0.0007558465003967285,0,0.7270897626876831,0.7485754489898682,0.01393955945968628,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,23,18,16,other_discovered,0.6321224570274353,0.5919179916381836,17,0.9959177374839783,0.0040822625160217285,0,0.7270897626876831,0.8920106887817383,0.16492092609405518,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,23,18,32,other_discovered,0.11312662810087204,0.08906440436840057,7,0.9987062811851501,0.0012937188148498535,0,0.7270897626876831,0.7270897626876831,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,23,18,33,oracle_root,0.49547839164733887,0.479568213224411,15,0.9979007244110107,0.002099275588989258,1,0.7270897626876831,0.7270897626876831,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,23,18,34,oracle_other,0.5798264741897583,0.5412164926528931,0,0.9991433620452881,0.0008566379547119141,0,0.7270897626876831,0.8872778415679932,0.16018807888031006,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,23,18,48,other_discovered,0.26817888021469116,0.2537142038345337,17,0.9984369277954102,0.0015630722045898438,0,0.7270897626876831,0.7346358895301819,0.007546126842498779,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,23,18,64,other_discovered,0.35583263635635376,0.3435248136520386,17,0.998192310333252,0.0018076896667480469,0,0.7270897626876831,0.7724332809448242,0.04409170150756836,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,23,18,74,oracle_other,0.10271083563566208,0.07538840174674988,15,0.995913028717041,0.004086971282958984,1,0.7270897626876831,0.7270897626876831,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,23,18,75,oracle_other,0.23987577855587006,0.2316347360610962,7,0.9971132874488831,0.0028867125511169434,0,0.7270897626876831,0.7270897626876831,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,23,18,76,oracle_other,0.009013451635837555,0.006356962025165558,0,0.9981831312179565,0.001816868782043457,0,0.7270897626876831,0.7270897626876831,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,37,18,0,other_discovered,-0.07058874517679214,-0.08322273194789886,14,0.9992966055870056,0.0007033944129943848,0,0.8201742768287659,0.8201742768287659,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,37,18,16,other_discovered,-0.009308572858572006,-0.016572952270507812,17,0.9980763792991638,0.0019236207008361816,0,0.8201742768287659,0.8312802314758301,0.011105954647064209,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,37,18,32,other_discovered,-0.10861822962760925,-0.1301531195640564,15,0.9985050559043884,0.0014949440956115723,1,0.8201742768287659,0.8201742768287659,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,37,18,33,oracle_root,0.09278668463230133,0.09002247452735901,15,0.9993008375167847,0.000699162483215332,1,0.8201742768287659,0.8201742768287659,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,37,18,34,oracle_other,0.1390504539012909,0.13598403334617615,14,0.9994847178459167,0.000515282154083252,0,0.8201742768287659,0.9586501717567444,0.13847589492797852,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,37,18,48,other_discovered,-0.06480288505554199,-0.08391591906547546,15,0.998589277267456,0.0014107227325439453,1,0.8201742768287659,0.8201742768287659,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,37,18,64,other_discovered,-0.0816476121544838,-0.08431635797023773,4,0.9991925358772278,0.0008074641227722168,0,0.8201742768287659,0.8201742768287659,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,37,18,74,oracle_other,-0.07717902958393097,-0.1321910321712494,15,0.9980455636978149,0.0019544363021850586,1,0.8201742768287659,0.8201742768287659,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,37,18,75,oracle_other,0.24565482139587402,0.19270014762878418,15,0.9987857937812805,0.0012142062187194824,1,0.8201742768287659,0.9128282070159912,0.09265393018722534,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,37,18,76,oracle_other,-0.06273922324180603,-0.11033280193805695,15,0.9989123344421387,0.0010876655578613281,1,0.8201742768287659,0.8201742768287659,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,53,18,0,other_discovered,0.02587811090052128,0.023794163018465042,5,0.9989903569221497,0.0010096430778503418,0,0.7107772827148438,0.7136932015419006,9.799003601074219e-05,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,53,18,16,other_discovered,0.23986104130744934,0.18175730109214783,17,0.9984259605407715,0.0015740394592285156,0,0.7107772827148438,0.7586954832077026,0.021952331066131592,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,53,18,32,other_discovered,0.026799868792295456,-0.006399858742952347,6,0.9989372491836548,0.0010627508163452148,0,0.7107772827148438,0.7107772827148438,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,53,18,33,oracle_root,0.3296281099319458,0.28138431906700134,0,0.9985851049423218,0.0014148950576782227,1,0.7107772827148438,0.7107772827148438,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,53,18,34,oracle_other,0.6132472157478333,0.5308490991592407,0,0.9979848265647888,0.0020151734352111816,1,0.7107772827148438,0.9946876168251038,0.28391033411026,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,53,18,48,other_discovered,0.13173100352287292,0.11875228583812714,1,0.9985112547874451,0.0014887452125549316,0,0.7107772827148438,0.7135951519012451,0.002817869186401367,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,53,18,64,other_discovered,0.2332381308078766,0.20766669511795044,1,0.9990294575691223,0.0009705424308776855,0,0.7107772827148438,0.7554575800895691,0.04468029737472534,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,53,18,74,oracle_other,-0.017355771735310555,-0.018227312713861465,7,0.9967682957649231,0.0032317042350769043,0,0.7107772827148438,0.7107772827148438,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,53,18,75,oracle_other,0.14733752608299255,0.12800753116607666,15,0.9981063604354858,0.0018936395645141602,0,0.7107772827148438,0.7118822336196899,0.0011049509048461914,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,53,18,76,oracle_other,-0.011184848845005035,-0.08948290348052979,0,0.9985116124153137,0.0014883875846862793,1,0.7107772827148438,0.7107772827148438,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,71,18,0,other_discovered,0.2350134700536728,0.20380115509033203,17,0.9972515106201172,0.0027484893798828125,1,0.7298076152801514,0.7563033103942871,0.015409231185913086,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,71,18,16,other_discovered,0.38470131158828735,0.3216409683227539,17,0.9956799745559692,0.004320025444030762,1,0.7298076152801514,0.7857304811477661,0.04392528533935547,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,71,18,32,other_discovered,0.025474026799201965,-0.011148914694786072,16,0.9977445006370544,0.0022554993629455566,0,0.7298076152801514,0.7298076152801514,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,71,18,33,oracle_root,0.3640434741973877,0.3301268517971039,17,0.9971266388893127,0.002873361110687256,1,0.7298076152801514,0.7298076152801514,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,71,18,34,oracle_other,0.5132708549499512,0.410155326128006,17,0.9968037009239197,0.0031962990760803223,1,0.7298076152801514,0.8664986491203308,0.13669103384017944,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,71,18,48,other_discovered,0.07423290610313416,0.06674575805664062,17,0.9993125796318054,0.0006874203681945801,1,0.7298076152801514,0.7440003752708435,0.014192759990692139,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,71,18,64,other_discovered,0.27697211503982544,0.2156706005334854,17,0.9972499012947083,0.002750098705291748,1,0.7298076152801514,0.7606275677680969,0.012903690338134766,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,71,18,74,oracle_other,0.17419439554214478,0.12403120845556259,16,0.9976624846458435,0.002337515354156494,0,0.7298076152801514,0.7298076152801514,0.0,False,False
5adc3aff5542996e685252eb,validation,bridge,16,0,71,18,75,oracle_other,0.2788793444633484,0.2331743985414505,1,0.9989237785339355,0.0010762214660644531,0,0.7298076152801514,0.8418318033218384,0.11202418804168701,False,False
