example_id,partition,question_type,level,chunk_size,overlap,parent_count,oracle_parent_count,later_oracle_parent_count,root_parent_id,root_oracle_fraction,root_contains_all_evidence,root_contains_multiple_groups,root_contains_only_initial_evidence,evidence_group_count,evidence_group_collisions,oracle_parent_ids,evidence_parent_groups,evidence_tokens,source_tokens,feature_index_build_seconds,parent_pooling_seconds,adjacency_build_seconds,native_dot_products,local_pair_count,atomic_local_count,routing_search_cache_bytes,h2d_bytes,h2d_seconds,gpu_baseline_allocated_bytes,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,native_kv_tokens,materialization_performed
5a710a915542994082a3e504,test,comparison,hard,64,0,18,2,1,6,0.4647887323943662,False,False,True,2,0,6 12,6;12,71,1152,0.0983801000402309,0.0020204000174999237,0.09635970002273098,21233664,1296,36,1296,7079328,0.002421499986667186,21885440,72106496,88080384,0,False
5a710a915542994082a3e504,test,comparison,hard,128,0,9,2,1,3,0.4647887323943662,False,False,True,2,0,3 6,3;6,71,1152,0.09699580003507435,0.001715000020340085,0.09528080001473427,21233664,1296,36,324,7079328,0.002090199966914952,21019648,72026112,88080384,0,False
5a710a915542994082a3e504,test,comparison,hard,256,0,5,2,1,1,0.4647887323943662,False,False,True,2,0,1 3,1;3,71,1152,0.09598120005102828,0.0011274000280536711,0.09485380002297461,21233664,1296,36,100,7079328,0.002104099956341088,21767168,71987200,88080384,0,False
5adc93a4554299438c868e01,test,bridge,hard,16,0,75,8,2,16,0.1839080459770115,False,False,True,2,0,15 16 17 18 19 20 62 63,15 16 17 18 19 20;62 63,87,1197,0.16045539994956926,0.0059760999865829945,0.15447929996298626,22924944,5625,75,22500,7374600,0.0031113000004552305,20963840,47623168,71303168,0,False
5adc93a4554299438c868e01,test,bridge,hard,32,0,38,5,1,8,0.367816091954023,False,False,True,2,0,7 8 9 10 31,7 8 9 10;31,87,1197,0.10929970000870526,0.0047981999814510345,0.10450150002725422,22924944,1444,38,5776,7472624,0.002952600014396012,22228992,77798400,92274688,0,False
5adc93a4554299438c868e01,test,bridge,hard,64,0,19,4,1,4,0.735632183908046,False,False,True,2,0,3 4 5 15,3 4 5;15,87,1197,0.10774649993982166,0.0021513999672606587,0.105595099972561,22924944,1444,38,1444,7472624,0.00288609997369349,21467136,77622272,90177536,0,False
5adc93a4554299438c868e01,test,bridge,hard,128,0,10,3,1,2,0.7471264367816092,False,False,True,2,0,1 2 7,1 2;7,87,1197,0.10626029997365549,0.0010553000029176474,0.10520499997073784,22924944,1444,38,400,7472624,0.002426800027024001,22039040,77537792,90177536,0,False
5adc93a4554299438c868e01,test,bridge,hard,256,0,5,3,1,1,0.7471264367816092,False,False,True,2,0,0 1 3,0 1;3,87,1197,0.10694129997864366,0.0009178000036627054,0.10602349997498095,22924944,1444,38,100,7472624,0.002623800013680011,21738496,77499392,90177536,0,False
5ab7f97a5542991d322237ef,validation,bridge,hard,16,0,252,6,3,0,0.24242424242424243,False,False,True,2,0,0 1 2 249 250 251,0 1 2;249 250 251,66,4031,1.5487739000818692,0.013052800029981881,1.5357211000518873,259983376,63504,252,254016,24778656,0.008894900034647435,21979648,125269504,153092096,0,False
5ab7f97a5542991d322237ef,validation,bridge,hard,32,0,126,4,2,0,0.48484848484848486,False,False,True,2,0,0 1 124 125,0 1;124 125,66,4031,1.0602321999613196,0.011921599972993135,1.0483105999883264,259983376,15876,126,63504,24777648,0.008530599996447563,40146432,218322944,253755392,0,False
5ab7f97a5542991d322237ef,validation,bridge,hard,64,0,63,2,1,0,0.5,False,False,True,2,0,0 62,0;62,66,4031,1.0576480999588966,0.008299399982206523,1.0493486999766901,259983376,15876,126,15876,24777648,0.008892400015611202,39431168,217561088,251658240,0,False
5ab7f97a5542991d322237ef,validation,bridge,hard,128,0,32,2,1,0,0.5,False,False,True,2,0,0 31,0;31,66,4031,1.0522471000440419,0.005196300044190139,1.0470507999998517,259983376,15876,126,4096,24777648,0.011363200028426945,39121920,217239552,251658240,0,False
5ab7f97a5542991d322237ef,validation,bridge,hard,256,0,16,2,1,0,0.5,False,False,True,2,0,0 15,0;15,66,4031,1.0509553999872878,0.002761600015219301,1.0481937999720685,259983376,15876,126,1024,24777648,0.009440499998163432,38981632,217096192,251658240,0,False
5a8888e35542997e5c09a5f6,test,bridge,hard,16,0,78,6,4,39,0.17857142857142858,False,False,True,2,0,38 39 65 66 67 68,38 39;65 66 67 68,84,1234,0.16557780001312494,0.0034154000459238887,0.16216239996720105,24364096,6084,78,24336,7669584,0.004230200021993369,38912512,48203776,67108864,0,False
5a8888e35542997e5c09a5f6,test,bridge,hard,32,0,39,4,3,19,0.30952380952380953,False,False,True,2,0,19 32 33 34,19;32 33 34,84,1234,0.11334209999768063,0.003797799989115447,0.10954430000856519,24364096,1521,39,6084,7669272,0.0023475000052712858,21832704,77878784,92274688,0,False
5a8888e35542997e5c09a5f6,test,bridge,hard,64,0,20,3,2,9,0.30952380952380953,False,False,True,2,0,9 16 17,9;16 17,84,1234,0.11301939998520538,0.0033155999844893813,0.109703800000716,24364096,1521,39,1600,7669272,0.004750399966724217,22240768,77693440,90177536,0,False
5a8888e35542997e5c09a5f6,test,bridge,hard,128,0,10,2,1,4,0.30952380952380953,False,False,True,2,0,4 8,4;8,84,1234,0.1117310999543406,0.0015057999989949167,0.11022529995534569,24364096,1521,39,400,7669272,0.0032113000052049756,21568000,77608960,90177536,0,False
5a8888e35542997e5c09a5f6,test,bridge,hard,256,0,5,2,1,2,0.30952380952380953,False,False,True,2,0,2 4,2;4,84,1234,0.11032129992963746,0.0015168999671004713,0.10880439996253699,24364096,1521,39,100,7669272,0.0044104999979026616,22114816,77565952,90177536,0,False
5a8c8502554299585d9e36d0,test,bridge,hard,16,0,109,9,4,70,0.16326530612244897,False,False,True,2,0,69 70 71 72 73 78 79 80 81,69 70 71 72 73;78 79 80 81,98,1739,0.31223390001105145,0.00838439998915419,0.30384950002189726,48385936,11881,109,47524,10717752,0.0034625999978743494,21504512,62192640,79691776,0,False
