chunk_size,mean_parent_count,mean_adjacency_build_seconds,mean_native_dot_products,mean_adjacency_cache_bytes,mean_peak_gpu_allocated_bytes
16,99.75,0.33054165000794455,47823228.0,47040.0,58345024.0
32,50.125,0.20568774375715293,47823228.0,11854.0,95570880.0
64,25.3125,0.20574816874795943,47823228.0,3009.25,95347776.0
128,12.8125,0.20555638125006226,47823228.0,771.75,95234272.0
256,6.5,0.2058547937485855,47823228.0,197.5,95179264.0
