example_id,partition,question_type,level,chunk_size,overlap,parent_count,oracle_parent_count,later_oracle_parent_count,root_parent_id,root_oracle_fraction,root_contains_all_evidence,root_contains_multiple_groups,root_contains_only_initial_evidence,evidence_group_count,evidence_group_collisions,oracle_parent_ids,evidence_parent_groups,evidence_tokens,source_tokens
5a84c4bb5542991dd0999dec,validation,bridge,hard,16,0,93,12,8,10,0.09248554913294797,False,False,True,3,1,9 10 11 12 82 83 84 85 86 87 88 89,9 10 11 12;82 83 84 85 86;86 87 88 89,173,1477
5a84c4bb5542991dd0999dec,validation,bridge,hard,32,0,47,7,4,5,0.18497109826589594,False,False,True,3,1,4 5 6 41 42 43 44,4 5 6;41 42 43;43 44,173,1477
5a84c4bb5542991dd0999dec,validation,bridge,hard,64,0,24,5,3,2,0.24277456647398843,False,False,True,3,1,2 3 20 21 22,2 3;20 21;21 22,173,1477
5a84c4bb5542991dd0999dec,validation,bridge,hard,128,0,12,3,2,1,0.31213872832369943,False,False,True,3,1,1 10 11,1;10;10 11,173,1477
5a84c4bb5542991dd0999dec,validation,bridge,hard,256,0,6,2,1,0,0.31213872832369943,False,False,True,3,1,0 5,0;5;5,173,1477
5abbd4035542993f40c73bcb,validation,bridge,hard,16,0,99,12,9,37,0.09876543209876543,False,False,True,4,2,36 37 38 39 40 41 42 43 44 46 47 48,36 37 38 39;39 40 41;41 42 43 44;46 47 48,162,1573
5abbd4035542993f40c73bcb,validation,bridge,hard,32,0,50,7,6,18,0.14814814814814814,False,False,True,4,2,18 19 20 21 22 23 24,18 19;19 20;20 21 22;23 24,162,1573
5abbd4035542993f40c73bcb,validation,bridge,hard,64,0,25,4,3,9,0.345679012345679,False,True,False,4,3,9 10 11 12,9;9 10;10 11;11 12,162,1573
5abbd4035542993f40c73bcb,validation,bridge,hard,128,0,13,3,2,4,0.345679012345679,False,True,False,4,4,4 5 6,4;4 5;5;5 6,162,1573
5abbd4035542993f40c73bcb,validation,bridge,hard,256,0,7,2,1,2,0.9382716049382716,False,True,False,4,6,2 3,2;2;2;2 3,162,1573
5ae6143f5542996de7b71b2d,validation,bridge,hard,16,0,110,7,3,17,0.17777777777777778,False,False,True,2,0,17 18 19 20 106 107 108,17 18 19 20;106 107 108,90,1753
5ae6143f5542996de7b71b2d,validation,bridge,hard,32,0,55,5,2,9,0.35555555555555557,False,False,True,2,0,8 9 10 53 54,8 9 10;53 54,90,1753
5ae6143f5542996de7b71b2d,validation,bridge,hard,64,0,28,4,2,4,0.5333333333333333,False,False,True,2,0,4 5 26 27,4 5;26 27,90,1753
5ae6143f5542996de7b71b2d,validation,bridge,hard,128,0,14,2,1,2,0.6666666666666666,False,False,True,2,0,2 13,2;13,90,1753
5ae6143f5542996de7b71b2d,validation,bridge,hard,256,0,7,2,1,1,0.6666666666666666,False,False,True,2,0,1 6,1;6,90,1753
5a7e513a5542994959419996,validation,bridge,hard,16,0,58,5,2,11,0.3404255319148936,False,False,True,2,0,10 11 12 51 52,10 11 12;51 52,47,919
5a7e513a5542994959419996,validation,bridge,hard,32,0,29,4,2,5,0.425531914893617,False,False,True,2,0,5 6 25 26,5 6;25 26,47,919
5a7e513a5542994959419996,validation,bridge,hard,64,0,15,4,2,2,0.425531914893617,False,False,True,2,0,2 3 12 13,2 3;12 13,47,919
5a7e513a5542994959419996,validation,bridge,hard,128,0,8,2,1,1,0.6382978723404256,False,False,True,2,0,1 6,1;6,47,919
5a7e513a5542994959419996,validation,bridge,hard,256,0,4,2,1,0,0.6382978723404256,False,False,True,2,0,0 3,0;3,47,919
5a80d6be55429938b6142206,test,bridge,hard,16,0,93,6,3,44,0.27586206896551724,False,False,True,2,0,43 44 45 76 77 78,43 44 45;76 77 78,58,1473
5a80d6be55429938b6142206,test,bridge,hard,32,0,47,4,2,22,0.41379310344827586,False,False,True,2,0,21 22 38 39,21 22;38 39,58,1473
5a80d6be55429938b6142206,test,bridge,hard,64,0,24,3,1,11,0.41379310344827586,False,False,True,2,0,10 11 19,10 11;19,58,1473
5a80d6be55429938b6142206,test,bridge,hard,128,0,12,2,1,5,0.5,False,False,True,2,0,5 9,5;9,58,1473
5a80d6be55429938b6142206,test,bridge,hard,256,0,6,2,1,2,0.5,False,False,True,2,0,2 4,2;4,58,1473
5ab88c075542991b5579efbe,test,bridge,hard,16,0,102,6,3,51,0.1951219512195122,False,False,True,2,0,50 51 52 72 73 74,50 51 52;72 73 74,82,1628
5ab88c075542991b5579efbe,test,bridge,hard,32,0,51,4,2,25,0.3780487804878049,False,False,True,2,0,25 26 36 37,25 26;36 37,82,1628
