session_turns,turn,stage,resynchronized,text_bytes,pra_full_bytes,pra_delta_bytes,cumulative_text_bytes,cumulative_pra_full_bytes,cumulative_pra_delta_bytes,full_resource_bodies,delta_resource_bodies,cumulative_full_resource_bodies,cumulative_delta_resource_bodies,resource_delta_bytes,visible_text_tokens_estimate,visible_pra_tokens_estimate,selection_parity,task_metadata_preserved,tool_schema_preserved
20,1,work,False,6989,10128,11073,6989,10128,11073,4,4,4,4,947,768,5,True,True,True
20,2,work,False,7114,10253,1888,14103,20381,12961,4,0,8,4,971,776,13,True,True,True
20,3,work,False,7239,10378,1888,21342,30759,14849,4,0,12,4,971,784,21,True,True,True
20,4,work,False,7364,10503,1888,28706,41262,16737,4,0,16,4,971,792,29,True,True,True
20,5,waiting,False,7490,10632,2915,36196,51894,19652,4,1,20,5,968,800,37,True,True,True
20,6,work,False,7620,10762,1889,43816,62656,21541,4,0,24,5,971,809,46,True,True,True
20,7,resume,False,7744,10883,2911,51560,73539,24452,4,1,28,6,968,817,54,True,True,True
20,8,work,False,7885,11024,1888,59445,84563,26340,4,0,32,6,971,827,64,True,True,True
20,9,tool_result,False,9646,13386,4358,69091,97949,30698,5,1,37,7,1206,1098,72,True,True,True
20,10,work,False,9788,13528,2130,78879,111477,32828,5,0,42,7,1212,1109,83,True,True,True
20,11,work,True,9914,13654,14834,88793,125131,47662,5,5,47,12,1182,1117,91,True,True,True
20,12,task_update,False,10511,14252,9828,99304,139383,57490,5,2,52,14,1206,1155,99,True,True,True
20,13,work,False,10634,14375,2131,109938,153758,59621,5,0,57,14,1212,1163,107,True,True,True
20,14,work,False,10760,14501,2131,120698,168259,61752,5,0,62,14,1212,1171,115,True,True,True
20,15,work,False,10886,14627,2131,131584,182886,63883,5,0,67,14,1212,1179,123,True,True,True
20,16,work,False,11012,14753,2131,142596,197639,66014,5,0,72,14,1212,1187,131,True,True,True
20,17,task_update,False,11138,14879,3155,153734,212518,69169,5,1,77,15,1209,1195,139,True,True,True
20,18,tool_result,False,12897,17239,4601,166631,229757,73770,6,1,83,16,1447,1466,147,True,True,True
20,19,work,False,13039,17381,2372,179670,247138,76142,6,0,89,16,1453,1477,158,True,True,True
20,20,complete,False,13169,17521,3410,192839,264659,79552,6,1,95,17,1450,1485,166,True,True,True
50,1,work,False,6989,10128,11073,6989,10128,11073,4,4,4,4,947,768,5,True,True,True
50,2,work,False,7114,10253,1888,14103,20381,12961,4,0,8,4,971,776,13,True,True,True
50,3,work,False,7239,10378,1888,21342,30759,14849,4,0,12,4,971,784,21,True,True,True
50,4,work,False,7364,10503,1888,28706,41262,16737,4,0,16,4,971,792,29,True,True,True
50,5,work,False,7489,10628,1888,36195,51890,18625,4,0,20,4,971,800,37,True,True,True
50,6,work,False,7614,10753,1888,43809,62643,20513,4,0,24,4,971,808,45,True,True,True
50,7,work,False,7739,10878,1888,51548,73521,22401,4,0,28,4,971,816,53,True,True,True
50,8,work,False,7864,11003,1888,59412,84524,24289,4,0,32,4,971,824,61,True,True,True
50,9,tool_result,False,9625,13365,4358,69037,97889,28647,5,1,37,5,1206,1095,69,True,True,True
50,10,work,False,9767,13507,2130,78804,111396,30777,5,0,42,5,1212,1106,80,True,True,True
50,11,work,False,9893,13633,2130,88697,125029,32907,5,0,47,5,1212,1114,88,True,True,True
50,12,waiting,False,10021,13765,3159,98718,138794,36066,5,1,52,6,1209,1122,96,True,True,True
50,13,work,False,10152,13896,2132,108870,152690,38198,5,0,57,6,1212,1131,105,True,True,True
50,14,resume,False,10277,14018,3155,119147,166708,41353,5,1,62,7,1209,1139,113,True,True,True
50,15,work,False,10419,14160,2131,129566,180868,43484,5,0,67,7,1212,1149,123,True,True,True
50,16,work,False,10545,14286,2131,140111,195154,45615,5,0,72,7,1212,1157,131,True,True,True
50,17,work,False,10671,14412,2131,150782,209566,47746,5,0,77,7,1212,1165,139,True,True,True
50,18,tool_result,False,12433,16775,4601,163215,226341,52347,6,1,83,8,1447,1436,147,True,True,True
50,19,work,False,12575,16917,2372,175790,243258,54719,6,0,89,8,1453,1447,158,True,True,True
50,20,work,False,12701,17043,2372,188491,260301,57091,6,0,95,8,1453,1455,166,True,True,True
50,21,work,False,12827,17169,2372,201318,277470,59463,6,0,101,8,1453,1463,174,True,True,True
50,22,work,False,12953,17295,2372,214271,294765,61835,6,0,107,8,1453,1471,182,True,True,True
50,23,work,False,13079,17421,2372,227350,312186,64207,6,0,113,8,1453,1479,190,True,True,True
50,24,work,False,13205,17547,2372,240555,329733,66579,6,0,119,8,1453,1487,198,True,True,True
50,25,work,False,13331,17673,2372,253886,347406,68951,6,0,125,8,1453,1495,206,True,True,True
50,26,work,True,13457,17799,19214,267343,365205,88165,6,6,131,14,1417,1503,214,True,True,True
50,27,tool_result,False,13583,17925,4839,280926,383130,93004,6,1,137,15,1685,1511,222,True,True,True
50,28,work,False,13725,18067,2372,294651,401197,95376,6,0,143,15,1453,1522,233,True,True,True
50,29,work,False,13851,18193,2372,308502,419390,97748,6,0,149,15,1453,1530,241,True,True,True
50,30,task_update,False,14447,18789,10069,322949,438179,107817,6,2,155,17,1447,1568,249,True,True,True
50,31,work,False,14570,18912,2372,337519,457091,110189,6,0,161,17,1453,1576,257,True,True,True
50,32,work,False,14696,19038,2372,352215,476129,112561,6,0,167,17,1453,1584,265,True,True,True
50,33,work,False,14822,19164,2372,367037,495293,114933,6,0,173,17,1453,1592,273,True,True,True
50,34,work,False,14948,19290,2372,381985,514583,117305,6,0,179,17,1453,1600,281,True,True,True
50,35,task_update,False,15074,19416,3396,397059,533999,120701,6,1,185,18,1450,1608,289,True,True,True
50,36,tool_result,False,15197,19539,4839,412256,553538,125540,6,1,191,19,1685,1616,297,True,True,True
50,37,work,False,15339,19681,2372,427595,573219,127912,6,0,197,19,1453,1627,308,True,True,True
50,38,work,False,15465,19807,2372,443060,593026,130284,6,0,203,19,1453,1635,316,True,True,True
50,39,work,False,15591,19933,2372,458651,612959,132656,6,0,209,19,1453,1643,324,True,True,True
50,40,work,False,15717,20059,2372,474368,633018,135028,6,0,215,19,1453,1651,332,True,True,True
50,41,work,False,15843,20185,2372,490211,653203,137400,6,0,221,19,1453,1659,340,True,True,True
50,42,work,False,15969,20311,2372,506180,673514,139772,6,0,227,19,1453,1667,348,True,True,True
50,43,work,False,16095,20437,2372,522275,693951,142144,6,0,233,19,1453,1675,356,True,True,True
50,44,work,False,16221,20563,2372,538496,714514,144516,6,0,239,19,1453,1683,364,True,True,True
50,45,tool_result,False,16347,20689,4839,554843,735203,149355,6,1,245,20,1685,1691,372,True,True,True
50,46,work,False,16489,20831,2372,571332,756034,151727,6,0,251,20,1453,1702,383,True,True,True
50,47,work,False,16615,20957,2372,587947,776991,154099,6,0,257,20,1453,1710,391,True,True,True
