seed,target_shared_tokens,actual_shared_tokens,query_tokens,fanout,child_index,one_time_native_encode_ms,native_kv_bytes,condition,model_ms,route_attach_ms,request_ms,physical_input_tokens,native_tokens_reused,argmax_matches_host_split,max_abs_logit_delta_vs_host_split,payload_hit,native_hit,tool_calls_so_far
37,512,512,16,1,0,213.0937920883298,58720256,isolated_text,85.3428328409791,0.0,85.3428328409791,528,0,1,0.1572265625,0,0,1
37,512,512,16,1,0,213.0937920883298,58720256,host_split_text,68.03529197350144,0.0,68.03529197350144,528,0,1,0.0,1,0,1
37,512,512,16,1,0,213.0937920883298,58720256,harness_memo_text,61.65466597303748,0.5449173040688038,62.199583277106285,528,0,1,0.0,1,0,1
37,512,512,16,1,0,213.0937920883298,58720256,pra_record_reprefill,60.86629116907716,0.8705002255737782,61.736791394650936,528,0,1,0.0,1,0,1
37,512,512,16,1,0,213.0937920883298,58720256,pra_native_kv,19.37829190865159,0.47716591507196426,19.855457823723555,16,512,1,0.0,1,1,1
37,512,512,16,2,0,46.69904196634889,58720256,isolated_text,65.31600002199411,0.0,65.31600002199411,528,0,1,0.1572265625,0,0,1
37,512,512,16,2,0,46.69904196634889,58720256,host_split_text,58.71149990707636,0.0,58.71149990707636,528,0,1,0.0,1,0,1
37,512,512,16,2,0,46.69904196634889,58720256,harness_memo_text,61.225540935993195,0.44687511399388313,61.67241604998708,528,0,1,0.0,1,0,1
37,512,512,16,2,0,46.69904196634889,58720256,pra_record_reprefill,57.93679226189852,0.4365411587059498,58.37333342060447,528,0,1,0.0,1,0,1
37,512,512,16,2,0,46.69904196634889,58720256,pra_native_kv,18.617582973092794,0.5082092247903347,19.12579219788313,16,512,1,0.0,1,1,1
37,512,512,16,2,1,46.69904196634889,58720256,isolated_text,65.75158331543207,0.0,65.75158331543207,528,0,1,0.171875,0,0,1
37,512,512,16,2,1,46.69904196634889,58720256,host_split_text,56.74575036391616,0.0,56.74575036391616,528,0,1,0.0,1,0,1
37,512,512,16,2,1,46.69904196634889,58720256,harness_memo_text,58.151834178715944,0.42337505146861076,58.575209230184555,528,0,1,0.0,1,0,1
37,512,512,16,2,1,46.69904196634889,58720256,pra_record_reprefill,57.74083361029625,0.39512477815151215,58.13595838844776,528,0,1,0.0,1,0,1
37,512,512,16,2,1,46.69904196634889,58720256,pra_native_kv,18.471249844878912,0.4030829295516014,18.874332774430513,16,512,1,0.0,1,1,1
37,512,512,16,4,0,49.8348749242723,58720256,isolated_text,65.3406661003828,0.0,65.3406661003828,528,0,1,0.1572265625,0,0,1
37,512,512,16,4,0,49.8348749242723,58720256,host_split_text,57.07191722467542,0.0,57.07191722467542,528,0,1,0.0,1,0,1
