seed,target_shared_tokens,actual_shared_tokens,fanout,host_split_session_ms,native_session_ms,one_time_native_encode_ms,amortized_speedup,host_split_physical_tokens,native_physical_tokens,physical_token_reduction,duplicate_kv_bytes_avoided,native_argmax_parity
37,512,512,1,68.03529197350144,232.94924991205335,213.0937920883298,0.29206057542227415,528,528,0.0,0,1
37,512,512,2,115.45725027099252,84.69916693866253,46.69904196634889,1.3631450514100616,1056,544,0.48484848484848486,58720256,1
37,512,512,4,232.92820947244763,124.88925084471703,49.8348749242723,1.8650781223923147,2112,576,0.7272727272727273,176160768,1
37,512,512,8,472.65991708263755,193.82283464074135,45.121041126549244,2.4386183287368195,4224,640,0.8484848484848485,411041792,1
37,512,512,16,947.2539969719946,353.03233470767736,50.23291660472751,2.6831933051015078,8454,774,0.9084457061745919,880803840,1
37,2048,2048,1,202.12516700848937,232.62712452560663,205.67612489685416,0.8688804773763185,2064,2064,0.0,0,1
37,2048,2048,2,402.2850412875414,253.52108152583241,200.40354086086154,1.5867912793143821,4128,2080,0.49612403100775193,234881024,1
37,2048,2048,4,808.6209166795015,292.23354160785675,187.28437460958958,2.767036638677761,8256,2112,0.7441860465116279,704643072,1
37,2048,2048,8,1630.9773358516395,418.30991860479116,206.9117920473218,3.8989688346179197,16512,2176,0.8682170542635659,1644167168,1
37,2048,2048,16,3363.682038616389,666.4906241931021,214.56195786595345,5.0468557493793496,33030,2310,0.9300635785649409,3523215360,1
37,8192,8192,1,1245.461958926171,1934.9858327768743,1224.7425001114607,0.6436543037314253,8208,8208,0.0,0,1
37,8192,8192,2,2499.8345407657325,2291.8568337336183,1256.5020001493394,1.0907463782077966,16416,8224,0.49902534113060426,939524096,1
37,8192,8192,4,5105.222792364657,2786.9653762318194,1265.5281657353044,1.8318213910742196,32832,8256,0.7485380116959064,2818572288,1
37,8192,8192,8,10328.476919326931,5343.343337066472,1282.6769170351326,1.932961493916902,65664,8320,0.8732943469785575,6576668672,1
37,8192,8192,16,20648.118041921407,8296.537998598069,1301.0605839081109,2.488763149811461,131334,8454,0.9356297683768102,14092861440,1
101,512,512,1,62.198832631111145,79.38762567937374,63.04583279415965,0.7834827165925868,528,528,0.0,0,1
101,512,512,2,124.31554077193141,83.7000822648406,50.899332854896784,1.4852499233940646,1056,544,0.48484848484848486,58720256,1
101,512,512,4,246.28191627562046,124.11920772865415,50.095375161617994,1.9842369346574862,2112,576,0.7272727272727273,176160768,1
101,512,512,8,489.50104182586074,196.62637682631612,52.059083711355925,2.4894983558500217,4224,640,0.8484848484848485,411041792,1
101,512,512,16,991.3983349688351,350.2243752591312,51.50958290323615,2.83075195504396,8454,774,0.9084457061745919,880803840,1
101,2048,2048,1,215.81029193475842,243.55125008150935,216.55908320099115,0.8860980670907381,2064,2064,0.0,0,1
101,2048,2048,2,431.12516636028886,263.435582164675,209.9095406010747,1.63654872594542,4128,2080,0.49612403100775193,234881024,1
101,2048,2048,4,868.4947504661977,323.74050095677376,216.40366595238447,2.6826879797228713,8256,2112,0.7441860465116279,704643072,1
101,2048,2048,8,1756.1089186929166,431.64220824837685,217.22487499937415,4.068436508605783,16512,2176,0.8682170542635659,1644167168,1
101,2048,2048,16,3647.862669080496,654.3716667219996,203.84562481194735,5.574603630615685,33030,2310,0.9300635785649409,3523215360,1
101,8192,8192,1,1319.997875019908,1656.022499781102,1296.9498746097088,0.7970893361620324,8208,8208,0.0,0,1
101,8192,8192,2,2545.2410839498043,1534.123501740396,1300.2506252378225,1.6590848657636361,16416,8224,0.49902534113060426,939524096,1
101,8192,8192,4,4972.464625257999,2285.1062486879528,1247.5771252065897,2.176032133347434,32832,8256,0.7485380116959064,2818572288,1
101,8192,8192,8,9761.185752227902,4088.96679058671,1219.807957764715,2.3872010344274055,65664,8320,0.8732943469785575,6576668672,1
101,8192,8192,16,19349.126832094043,7731.889665592462,1212.0675831101835,2.502509434168368,131334,8454,0.9356297683768102,14092861440,1
