dataset,budget_chunks,example_id,regime,best_lexical_mode,selection_jaccard,chunks_unique_to_lowrank,evidence_unique_to_lowrank,evidence_unique_to_lexical,lowrank_recall_delta
2wikimultihopqa,4,042a249a0bde11eba7f7acde48001122,zero_shot,exact,0.0,4,0,1,-0.25
2wikimultihopqa,4,042a249a0bde11eba7f7acde48001122,retrained,exact,0.0,4,0,1,-0.25
2wikimultihopqa,4,042a249a0bde11eba7f7acde48001122,mixed,exact,0.0,4,0,1,-0.25
2wikimultihopqa,6,042a249a0bde11eba7f7acde48001122,zero_shot,exact,0.0,6,1,1,0.0
2wikimultihopqa,6,042a249a0bde11eba7f7acde48001122,retrained,exact,0.0,6,1,1,0.0
2wikimultihopqa,6,042a249a0bde11eba7f7acde48001122,mixed,exact,0.0,6,0,1,-0.25
2wikimultihopqa,4,04f33eff08fa11ebbdabac1f6bf848b6,zero_shot,exact,0.0,4,0,3,-0.5
2wikimultihopqa,4,04f33eff08fa11ebbdabac1f6bf848b6,retrained,exact,0.0,4,0,3,-0.5
2wikimultihopqa,4,04f33eff08fa11ebbdabac1f6bf848b6,mixed,exact,0.0,4,0,3,-0.5
2wikimultihopqa,6,04f33eff08fa11ebbdabac1f6bf848b6,zero_shot,exact,0.09090909090909091,5,1,3,-0.33333333333333337
2wikimultihopqa,6,04f33eff08fa11ebbdabac1f6bf848b6,retrained,exact,0.2,4,1,3,-0.33333333333333337
2wikimultihopqa,6,04f33eff08fa11ebbdabac1f6bf848b6,mixed,exact,0.0,6,0,3,-0.5
2wikimultihopqa,4,0bdeb6f80bdc11eba7f7acde48001122,zero_shot,exact,0.14285714285714285,3,1,0,0.25
2wikimultihopqa,4,0bdeb6f80bdc11eba7f7acde48001122,retrained,exact,0.0,4,0,1,-0.25
2wikimultihopqa,4,0bdeb6f80bdc11eba7f7acde48001122,mixed,exact,0.14285714285714285,3,0,0,0.0
2wikimultihopqa,6,0bdeb6f80bdc11eba7f7acde48001122,zero_shot,exact,0.2,4,1,0,0.25
2wikimultihopqa,6,0bdeb6f80bdc11eba7f7acde48001122,retrained,exact,0.09090909090909091,5,0,0,0.0
2wikimultihopqa,6,0bdeb6f80bdc11eba7f7acde48001122,mixed,exact,0.2,4,0,0,0.0
2wikimultihopqa,4,0c8a27700bde11eba7f7acde48001122,zero_shot,exact,0.14285714285714285,3,0,2,-0.2857142857142857
2wikimultihopqa,4,0c8a27700bde11eba7f7acde48001122,retrained,exact,0.0,4,0,3,-0.42857142857142855
2wikimultihopqa,4,0c8a27700bde11eba7f7acde48001122,mixed,exact,0.0,4,0,3,-0.42857142857142855
2wikimultihopqa,6,0c8a27700bde11eba7f7acde48001122,zero_shot,exact,0.09090909090909091,5,0,2,-0.2857142857142857
2wikimultihopqa,6,0c8a27700bde11eba7f7acde48001122,retrained,exact,0.0,6,1,3,-0.2857142857142857
2wikimultihopqa,6,0c8a27700bde11eba7f7acde48001122,mixed,exact,0.0,6,0,3,-0.42857142857142855
2wikimultihopqa,4,0cafe4700bb011ebab90acde48001122,zero_shot,exact,0.0,4,1,2,-0.16666666666666666
2wikimultihopqa,4,0cafe4700bb011ebab90acde48001122,retrained,exact,0.0,4,2,2,0.0
2wikimultihopqa,4,0cafe4700bb011ebab90acde48001122,mixed,exact,0.0,4,3,2,0.16666666666666669
2wikimultihopqa,6,0cafe4700bb011ebab90acde48001122,zero_shot,exact,0.0,6,1,2,-0.16666666666666666
2wikimultihopqa,6,0cafe4700bb011ebab90acde48001122,retrained,exact,0.09090909090909091,5,3,1,0.3333333333333333
2wikimultihopqa,6,0cafe4700bb011ebab90acde48001122,mixed,exact,0.0,6,4,2,0.3333333333333333
2wikimultihopqa,4,17d19f7a092f11ebbdaeac1f6bf848b6,zero_shot,exact,0.0,4,1,2,-0.2
2wikimultihopqa,4,17d19f7a092f11ebbdaeac1f6bf848b6,retrained,exact,0.0,4,2,2,0.0
2wikimultihopqa,4,17d19f7a092f11ebbdaeac1f6bf848b6,mixed,exact,0.0,4,2,2,0.0
2wikimultihopqa,6,17d19f7a092f11ebbdaeac1f6bf848b6,zero_shot,exact,0.0,6,1,2,-0.2
2wikimultihopqa,6,17d19f7a092f11ebbdaeac1f6bf848b6,retrained,exact,0.0,6,2,2,0.0
