dataset,budget_chunks,condition,seeds,mean,median,min,max,std,topk_stability_jaccard
2wikimultihopqa,4,rank16_mixed,5,0.15195238095238095,0.15572222222222223,0.09464285714285714,0.1988095238095238,0.034004053972591625,0.12807619047619048
2wikimultihopqa,4,rank16_retrained,5,0.15988253968253968,0.16853968253968254,0.11513492063492065,0.18572222222222223,0.02440748979463234,0.1876285714285714
2wikimultihopqa,4,rank16_zero_shot,5,0.13511746031746033,0.12677777777777777,0.11279365079365081,0.1703968253968254,0.02076067141135468,0.211
2wikimultihopqa,4,rank8_centroid8_mixed,5,0.14238571428571428,0.1396984126984127,0.12834126984126984,0.15734126984126984,0.0115710808404651,0.10393333333333332
2wikimultihopqa,4,rank8_centroid8_retrained,5,0.15255555555555556,0.15680952380952382,0.12547619047619046,0.18065873015873016,0.018789513835752256,0.18003809523809522
2wikimultihopqa,4,rank8_centroid8_zero_shot,5,0.11898095238095238,0.11596031746031747,0.0987936507936508,0.1465079365079365,0.015636158681141578,0.19205714285714284
2wikimultihopqa,4,rank8_mixed,5,0.14814920634920634,0.15147619047619046,0.11007936507936508,0.1892222222222222,0.027823847239062127,0.12895238095238093
2wikimultihopqa,4,rank8_retrained,5,0.17235873015873016,0.16949999999999998,0.15794444444444444,0.19273809523809526,0.011826443332835201,0.22909523809523807
2wikimultihopqa,4,rank8_zero_shot,5,0.13417936507936506,0.13699999999999998,0.12015079365079366,0.143984126984127,0.00799724316318669,0.24695238095238092
2wikimultihopqa,6,rank16_mixed,5,0.2202809523809524,0.21710317460317463,0.16637301587301587,0.25687301587301586,0.031133019739745683,0.16466363636363635
2wikimultihopqa,6,rank16_retrained,5,0.23478888888888888,0.24950793650793648,0.17075396825396827,0.2765873015873016,0.037023246767529355,0.2227138528138528
2wikimultihopqa,6,rank16_zero_shot,5,0.19403809523809523,0.19636507936507935,0.16263492063492063,0.22368253968253968,0.020430599176628407,0.2622835497835498
2wikimultihopqa,6,rank8_centroid8_mixed,5,0.19455555555555554,0.19895238095238096,0.1644047619047619,0.2199126984126984,0.020500721739410414,0.14403463203463204
2wikimultihopqa,6,rank8_centroid8_retrained,5,0.22653015873015875,0.22946031746031748,0.20152380952380952,0.25837301587301587,0.02029071863652434,0.22214025974025975
2wikimultihopqa,6,rank8_centroid8_zero_shot,5,0.1687809523809524,0.16637301587301587,0.14347619047619048,0.19976190476190475,0.018687471264527324,0.23424199134199133
2wikimultihopqa,6,rank8_mixed,5,0.20913809523809523,0.21142063492063493,0.16065873015873017,0.2528809523809524,0.030938458651554344,0.16925757575757575
2wikimultihopqa,6,rank8_retrained,5,0.24882539682539684,0.2464285714285714,0.21913492063492065,0.2779920634920635,0.01978932374643317,0.27890303030303026
2wikimultihopqa,6,rank8_zero_shot,5,0.19842063492063494,0.19857936507936508,0.1904047619047619,0.21025396825396825,0.006823848107793451,0.28503073593073597
