budget,condition,examples,selected_physical_edge_fraction,token_f1,official_multihop_rag_score
512,PACKED_RAG,150,0.0,0.08628212432338156,0.4266666666666667
512,INDEPENDENT_PRA,150,0.0,0.08958583424372898,0.43333333333333335
512,PAIR_SA_ONLY,150,0.16859478884188395,0.0916715242102239,0.46
512,PAIR_SA_ONLY_BOUNDARY,150,0.00038573266371155096,0.08161991998369707,0.38666666666666666
512,EXPANSION_ONLY,150,0.0,0.07613288500285405,0.37333333333333335
512,CROSSDOC_EXPANSION_PAIR_SA,150,0.06156566720081688,0.08744320517230735,0.44
512,CROSSDOC_EXPANSION_PAIR_SA_BOUNDARY,150,0.0006756180624165238,0.08791692340453951,0.44666666666666666
1024,PACKED_RAG,150,0.0,0.08683892045347154,0.5266666666666666
1024,INDEPENDENT_PRA,150,0.0,0.056690441346990014,0.3333333333333333
1024,PAIR_SA_ONLY,150,0.03686602591213823,0.06787497842141804,0.38666666666666666
1024,PAIR_SA_ONLY_BOUNDARY,150,8.30167986890635e-05,0.0692918621339674,0.34
