condition,label,requests,success_rate,successful_requests_per_second,sequence_agreement_vs_e0,quality_gate_passed,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,completion_p50_ms,completion_p95_ms,completion_p99_ms,visible_source_tokens,scheduler_prompt_tokens,selected_native_tokens,peak_allocated_mib,apc_blocks_mean,pra_logical_blocks,pra_request_slot_blocks,pra_shared_detached_blocks,pra_shared_detached_mib,pra_hot_source_mib,pra_warm_persisted_mib,storage_read_mib_total,h2d_mib_per_request,d2d_mib_per_request,reload_amplification,connector_load_p95_ms,connector_load_p99_ms,tail_status
full,FULL,128,1.0,57.26209297635389,1.0,True,,,,,,,138.69902599981287,178.59974200109718,178.59974200109718,256,276,0,4637.0400390625,16.9921875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,MEASURED
e0_selected_text,E0,128,1.0,56.2531062813086,1.0,True,,,,,,,133.43072600036976,209.9210750002385,209.9210750002385,16,36,0,4637.0400390625,1.9921875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,MEASURED
e2_hot,E2-HOT,128,1.0,45.457594422658495,1.0,True,,,,,,,172.66368699984014,218.47729299952334,218.47729299952334,0,20,16,4637.0400390625,0.9921875,1,0,1,0.34375,0.34375,0.0,0.0,0.0,0.0,0.0,3.0068862492953485,3.7829138003871794,MEASURED
e2_warm,E2-WARM,128,1.0,42.43584866505972,1.0,True,,,,,,,179.58818750048522,266.494192999744,266.494192999744,0,20,16,4637.0400390625,0.9921875,1,0,1,0.34375,0.34375,0.3457479476928711,5.5,0.04296875,0.0,16.0,4.287932750230539,9.932424949693438,MEASURED
