condition,matched_examples,mean_unique_outputs,output_flip_rate,mean_pairwise_topk_tail_js,mean_f1_variance,mean_nll_variance
C_PRA_PRE_ROPE_EXACT_PACKED_OFFSETS,50,2.04,0.74,0.01263578066214322,0.0014300979202892105,0.04647644675925926
D_GIST_SA_APPEND,50,2.72,0.98,0.020163287594354644,0.0,0.08192090567129631
E_GIST_SA_BOUNDARY_8,50,2.92,1.0,0.04712506008301146,0.0,0.1489489631558642
F_GIST_SA_BOUNDARY_32,50,2.8,0.98,0.03734628371228185,0.0,0.2122882426697531
