git_sha,seed,model_tier,position_mode,k_storage_mode,logical_offset_policy,stage,layer_id,native_context,logical_context,position_capacity,overlap_fraction,routing_chunk_size,materialization_budget,maximum_native_operation,dense_counterfactual_tokens,processed_tokens,encoding_cost_ratio,native_k_rmse,native_k_cosine
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,absolute,post_position,reset,reset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.7196753025054932,0.6244559288024902
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,absolute,post_position,source_relative,offset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,absolute,post_position,source_relative,offset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.1437748372554779,0.9848013520240784
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,absolute,post_position,source_relative,offset_overlap_25,0,32,128,192,0.25,32,160,32,128,152,1.1875,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,absolute,post_position,source_relative,offset_overlap_25,1,32,128,192,0.25,32,160,32,128,152,1.1875,0.1187942773103714,0.9897291660308838
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,absolute,post_position,source_relative,offset_overlap_50,0,32,128,192,0.5,32,160,32,128,176,1.375,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,21,tiny,absolute,post_position,source_relative,offset_overlap_50,1,32,128,192,0.5,32,160,32,128,176,1.375,0.07524856925010681,0.9961137771606445
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,absolute,post_position,reset,reset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.6498578190803528,0.6089270114898682
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,absolute,post_position,reset,reset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.6405885219573975,0.6409903168678284
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,absolute,post_position,source_relative,offset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,absolute,post_position,source_relative,offset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.0864640325307846,0.9936667680740356
d36f6775270125cd198543b77dc114e6018ee67a,42,tiny,absolute,post_position,source_relative,offset_overlap_25,0,32,128,192,0.25,32,160,32,128,152,1.1875,0.0,1.0
