model_tier,position_mode,split_count,seed_count,sa_full_loss_mean,sa_full_loss_std,sa_tail_loss_mean,sa_tail_loss_std,native_all_loss_mean,native_all_loss_std,native_oracle_loss_mean,native_oracle_loss_std,native_routed_loss_mean,native_routed_loss_std,transport_gap_mean,transport_gap_std,rcb_all_mean,rcb_all_std,rcb_oracle_mean,rcb_oracle_std,rcb_routed_mean,rcb_routed_std,active_fraction_all_mean,active_fraction_all_std
small,absolute,2,5,0.0009490643482422456,0.0001248691532264648,2.516886427191397,1.9109418445967163,2.5167081797805926,1.910796340043246,2.5167081797805926,1.910796340043246,2.5167081797805926,1.910796340043246,2.51575911543235,1.9108313642962715,3.912547016865263e-05,0.00011047523067306091,3.912547016865263e-05,0.00011047523067306091,3.912547016865263e-05,0.00011047523067306091,0.005291005291005291,0.0
small,absolute,5,5,0.0009490643482422456,0.0001248691532264648,2.516886427191397,1.9109418445967163,2.069410807119372,2.0448102018779357,0.22416837149454905,0.44328066670062394,2.397121848371656,1.7438856416123731,2.06846174277113,2.044820059651714,-0.4814568704420094,1.6571487553265158,0.9610468579615615,0.0752931739868093,-0.6160999868253965,1.5131772426227834,0.7506720430107526,0.0009968008719214367
small,absolute,16,5,0.0009490643482422456,0.0001248691532264648,2.516886427191397,1.9109418445967163,3.320535231781347,2.805693906240655,0.17562243913998826,0.3444581233762485,3.899066469057774,2.5265653211475194,3.319586167433105,2.8056763467739114,-1.4295964360511706,2.3284734678627843,0.9688554482296347,0.05818632847603031,-1.6083224138941403,2.2534939290086067,0.8960000000000001,0.004796067928386349
small,absolute,32,5,0.0009490643482422456,0.0001248691532264648,2.516886427191397,1.9109418445967163,3.480985770339612,2.8274858458860965,0.07654376198576453,0.14302935763957753,3.9917520507937296,2.8323902359844015,3.4800367059913695,2.827472211932739,-1.4812722853127167,2.3868329429852375,0.9848809709478727,0.02346129390878301,-1.6971985059951966,2.4231102916341145,1.0,0.0
small,absolute,64,5,0.0009490643482422456,0.0001248691532264648,2.516886427191397,1.9109418445967163,3.677078737279711,2.7747918026266234,0.12617062050073097,0.20631305277632014,4.4339800732210275,2.994573076052061,3.6761296729314688,2.774794608898261,-1.5140875780317924,2.3883312754244237,0.9665396804992519,0.0362242225804681,-1.8405363591783974,2.544804063173834,1.0,0.0
small,rope,2,5,0.0008925644224897647,9.003001539834772e-05,2.6058108411302476,3.1103769292789716,2.6058108411302476,3.1103769292789716,2.6058108411302476,3.1103769292789716,2.6058108411302476,3.1103769292789716,2.604918276707758,3.1103581164312812,0.0,0.0,0.0,0.0,0.0,0.0,0.005291005291005291,0.0
small,rope,5,5,0.0008925644224897647,9.003001539834772e-05,2.6058108411302476,3.1103769292789716,1.1633688367515183,1.351906327269588,0.07172694297429796,0.13046937246919774,1.6193923244834878,1.5978395183674268,1.1624762723290283,1.351888298753702,0.4835542681733934,0.33675250326034584,0.9515161488585695,0.08156999091694174,0.35545604197674086,0.4120247273364912,0.7511424731182796,0.0016268438759287267
small,rope,16,5,0.0008925644224897647,9.003001539834772e-05,2.6058108411302476,3.1103769292789716,3.7872242091349717,2.505444652068956,0.006137658710940741,0.006308081232102476,5.146530380786862,2.8905049767411364,3.7863316447124817,2.5054773903818277,-2.2632982472771617,3.5263706735280205,0.9949474609857226,0.006267595749920329,-3.7816283491540665,5.252354451931996,0.8826666666666666,0.005299210568854688
small,rope,32,5,0.0008925644224897647,9.003001539834772e-05,2.6058108411302476,3.1103769292789716,4.570191149204038,2.77918979095698,0.009631955127891464,0.01609528655228385,5.69849345353432,2.821352041831046,4.569298584781548,2.779229487723142,-3.144464868964688,4.563792043181524,0.9872580381582795,0.023984540660284426,-4.207342341965505,5.419920048128866,1.0,0.0
small,rope,64,5,0.0008925644224897647,9.003001539834772e-05,2.6058108411302476,3.1103769292789716,4.668833326918927,2.981924844604588,0.046233039760651684,0.06460438726033682,4.721292359263559,3.136944287969196,4.667940762496437,2.9819682661791096,-3.377267480795466,5.087808925108678,0.9289274614195087,0.0976678090191969,-3.6354750183033593,5.640950514539827,1.0,0.0
