position_mode,head_dim,heads,batch,tokens,translation,attention_logit_rmse,attention_js,top_token_agreement,attention_output_rmse
rope,8,4,2,17,0,0.0,-5.168840289115906e-08,1.0,0.0
rope,8,4,2,17,1,1.1991927806320746e-07,-2.1187588572502136e-08,1.0,5.918703394058866e-08
rope,8,4,2,17,16,1.2536692395315185e-07,-1.157168298959732e-07,1.0,5.4900368695598445e-08
rope,8,4,2,17,128,2.1890261336920958e-07,1.9033905118703842e-08,1.0,8.316827404541982e-08
rope,8,4,2,17,1024,1.4788881799177034e-06,1.9240542314946651e-07,1.0,4.3266987859169603e-07
rope,8,4,2,17,8192,1.1798299965448678e-05,1.435982994735241e-07,1.0,3.342741138112615e-06
rope,16,4,2,17,0,0.0,4.284083843231201e-08,1.0,0.0
rope,16,4,2,17,1,1.4469036102582322e-07,1.2025702744722366e-07,1.0,6.379200812034469e-08
rope,16,4,2,17,16,1.6375139466617838e-07,1.2828968465328217e-07,1.0,6.915770711657387e-08
rope,16,4,2,17,128,5.11938367253606e-07,1.514563336968422e-07,1.0,1.6508832345607516e-07
rope,16,4,2,17,1024,4.278696451365249e-06,-1.30385160446167e-08,1.0,1.313440407102462e-06
rope,16,4,2,17,8192,3.181931970175356e-05,6.030313670635223e-08,1.0,9.707865501695778e-06
rope,32,4,2,17,0,0.0,2.7939677238464355e-09,1.0,0.0
rope,32,4,2,17,1,1.9612102164501266e-07,1.957523636519909e-07,1.0,8.306554377668363e-08
rope,32,4,2,17,16,2.475069891261228e-07,1.4260876923799515e-08,1.0,9.330354089343018e-08
rope,32,4,2,17,128,8.635060453343613e-07,2.9994407668709755e-07,1.0,2.607828548661928e-07
rope,32,4,2,17,1024,6.9253337642294355e-06,-4.348112270236015e-08,1.0,2.0271070297894767e-06
rope,32,4,2,17,8192,5.502616841113195e-05,1.15192960947752e-07,1.0,1.703020097920671e-05
rope,64,4,2,17,0,0.0,1.1688098311424255e-07,1.0,0.0
rope,64,4,2,17,1,2.3330822784828342e-07,1.41095370054245e-07,1.0,9.466398154245326e-08
rope,64,4,2,17,16,2.856781975424383e-07,-8.242204785346985e-08,1.0,1.1227197660446109e-07
rope,64,4,2,17,128,9.367217899125535e-07,-1.073349267244339e-07,1.0,2.943243089248426e-07
rope,64,4,2,17,1024,7.413644652842777e-06,-9.383074939250946e-08,1.0,2.1691928395739524e-06
rope,64,4,2,17,8192,5.793201853521168e-05,-8.079223334789276e-08,1.0,1.7966942323255353e-05
