seed,model_tier,position_mode,strategy,global_positions,overlap_fraction,layer_id,sequence_tokens,encoding_block_tokens,processed_tokens,encoding_cost_ratio,native_k_rmse,native_k_cosine
21,tiny,absolute,independent_local,False,0.0,1,128,32,128,1.0,0.7044731378555298,0.6423935294151306
21,tiny,absolute,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
21,tiny,absolute,independent_global,True,0.0,1,128,32,128,1.0,0.17669612169265747,0.97906893491745
21,tiny,absolute,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
21,tiny,absolute,overlap_global,True,0.05,1,128,32,134,1.046875,0.14382365345954895,0.9870426058769226
21,tiny,absolute,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
21,tiny,absolute,overlap_global,True,0.1,1,128,32,137,1.0703125,0.1396486461162567,0.9877139329910278
21,tiny,absolute,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
21,tiny,absolute,overlap_global,True,0.25,1,128,32,152,1.1875,0.12559588253498077,0.9900654554367065
21,tiny,absolute,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
21,tiny,absolute,overlap_global,True,0.5,1,128,32,176,1.375,0.12727993726730347,0.9898295998573303
42,tiny,absolute,independent_local,False,0.0,0,128,32,128,1.0,0.6465516090393066,0.6191607713699341
42,tiny,absolute,independent_local,False,0.0,1,128,32,128,1.0,0.6410483121871948,0.6400963664054871
42,tiny,absolute,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
42,tiny,absolute,independent_global,True,0.0,1,128,32,128,1.0,0.09297337383031845,0.9925123453140259
42,tiny,absolute,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
42,tiny,absolute,overlap_global,True,0.05,1,128,32,134,1.046875,0.073282390832901,0.9955886602401733
42,tiny,absolute,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
42,tiny,absolute,overlap_global,True,0.1,1,128,32,137,1.0703125,0.0611579529941082,0.9967803955078125
42,tiny,absolute,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
42,tiny,absolute,overlap_global,True,0.25,1,128,32,152,1.1875,0.0539480522274971,0.9974620342254639
42,tiny,absolute,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
42,tiny,absolute,overlap_global,True,0.5,1,128,32,176,1.375,0.03876178711652756,0.9986587166786194
87,tiny,absolute,independent_local,False,0.0,0,128,32,128,1.0,0.6905842423439026,0.6194504499435425
87,tiny,absolute,independent_local,False,0.0,1,128,32,128,1.0,0.6777094006538391,0.6159937381744385
87,tiny,absolute,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
87,tiny,absolute,independent_global,True,0.0,1,128,32,128,1.0,0.173751562833786,0.9745593070983887
87,tiny,absolute,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
87,tiny,absolute,overlap_global,True,0.05,1,128,32,134,1.046875,0.1681486815214157,0.9765104055404663
87,tiny,absolute,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
87,tiny,absolute,overlap_global,True,0.1,1,128,32,137,1.0703125,0.16611610352993011,0.9771157503128052
87,tiny,absolute,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
87,tiny,absolute,overlap_global,True,0.25,1,128,32,152,1.1875,0.1495441198348999,0.9814454913139343
87,tiny,absolute,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
87,tiny,absolute,overlap_global,True,0.5,1,128,32,176,1.375,0.14035609364509583,0.9836602807044983
1,tiny,rope,independent_local,False,0.0,0,128,32,128,1.0,0.6876298189163208,0.5436673164367676
1,tiny,rope,independent_local,False,0.0,1,128,32,128,1.0,0.6212451457977295,0.553557276725769
1,tiny,rope,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
1,tiny,rope,independent_global,True,0.0,1,128,32,128,1.0,0.10240551084280014,0.9863182902336121
1,tiny,rope,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
1,tiny,rope,overlap_global,True,0.05,1,128,32,134,1.046875,0.07670322805643082,0.9921740889549255
1,tiny,rope,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
1,tiny,rope,overlap_global,True,0.1,1,128,32,137,1.0703125,0.070245161652565,0.9935412406921387
1,tiny,rope,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
1,tiny,rope,overlap_global,True,0.25,1,128,32,152,1.1875,0.05301458388566971,0.996425211429596
1,tiny,rope,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
1,tiny,rope,overlap_global,True,0.5,1,128,32,176,1.375,0.04005180299282074,0.9979814887046814
7,tiny,rope,independent_local,False,0.0,0,128,32,128,1.0,0.6081789135932922,0.566402792930603
7,tiny,rope,independent_local,False,0.0,1,128,32,128,1.0,0.6350862979888916,0.5472700595855713
7,tiny,rope,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
7,tiny,rope,independent_global,True,0.0,1,128,32,128,1.0,0.1124270111322403,0.9848544001579285
7,tiny,rope,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
7,tiny,rope,overlap_global,True,0.05,1,128,32,134,1.046875,0.09824970364570618,0.9884686470031738
7,tiny,rope,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
7,tiny,rope,overlap_global,True,0.1,1,128,32,137,1.0703125,0.09313441812992096,0.9896750450134277
7,tiny,rope,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
