head_dim,tokens,relocation,same_position_post_vs_deferred_rmse,relocated_k_fixed_query_rmse,common_translation_rmse,position_metadata_bytes,kv_bytes_fp32
16,11,0,0.0,0.0,0.0,88,5632
16,11,128,0.0,5.235030651092529,8.861845344654284e-06,88,5632
16,11,1024,0.0,5.414653778076172,2.4697077606106177e-05,88,5632
16,11,8192,0.0,5.62830114364624,0.000141737429657951,88,5632
32,11,0,0.0,0.0,0.0,88,11264
32,11,128,0.0,6.741396903991699,9.825536835705861e-06,88,11264
32,11,1024,0.0,6.596972942352295,4.377518780529499e-05,88,11264
32,11,8192,0.0,7.5680646896362305,0.0003732604382093996,88,11264
64,11,0,0.0,0.0,0.0,88,22528
64,11,128,0.0,9.457764625549316,2.719635085668415e-05,88,22528
64,11,1024,0.0,10.105875015258789,7.597447256557643e-05,88,22528
64,11,8192,0.0,11.138420104980469,0.0004914257442578673,88,22528
