seed,model_tier,device,heads,head_dim,direct_tokens,stored_tokens,selected_tokens,stored_kv_bytes,position_metadata_bytes,selected_materialized_kv_bytes,active_attention_kv_bytes,attention_ms,storage_mode,rotation_materialization_ms,warm_query_ms
1,small,cuda,4,32,32,192,32,196608,1536,32768,65536,0.18618179997429252,pre_position_deferred,0.5502741999807768,0.7083483999595046
1,small,cuda,4,32,32,192,64,196608,1536,65536,98304,0.13923739996971563,post_position,0.03301740001188591,0.1959352000267245
1,small,cuda,4,32,32,192,64,196608,1536,65536,98304,0.13923739996971563,pre_position_deferred,0.5203608000301756,0.7112565999850631
1,small,cuda,4,32,32,192,128,196608,1536,131072,163840,0.14056960004381835,post_position,0.03422239999054,0.1950257999706082
1,small,cuda,4,32,32,192,128,196608,1536,131072,163840,0.14056960004381835,pre_position_deferred,0.5088349999859929,0.6829353999928571
1,small,cuda,4,32,32,192,160,196608,1536,163840,196608,0.13855099998181686,post_position,0.036002799984999,0.19161859998712316
1,small,cuda,4,32,32,192,160,196608,1536,163840,196608,0.13855099998181686,pre_position_deferred,0.4979497999884188,0.7575010000145994
7,small,cuda,4,32,32,192,32,196608,1536,32768,65536,0.18227160000242293,post_position,0.054941400012467057,0.22867899999255314
7,small,cuda,4,32,32,192,32,196608,1536,32768,65536,0.18227160000242293,pre_position_deferred,0.5216418000054546,0.7101820000098087
7,small,cuda,4,32,32,192,64,196608,1536,65536,98304,0.14072000002488494,post_position,0.0357930000172928,0.1945450000348501
7,small,cuda,4,32,32,192,64,196608,1536,65536,98304,0.14072000002488494,pre_position_deferred,0.5112540000118315,0.7120957999723032
7,small,cuda,4,32,32,192,128,196608,1536,131072,163840,0.14267619996098801,post_position,0.03357899998081848,0.19754520000424236
7,small,cuda,4,32,32,192,128,196608,1536,131072,163840,0.14267619996098801,pre_position_deferred,0.5035201999708079,0.7024787999689579
7,small,cuda,4,32,32,192,160,196608,1536,163840,196608,0.1445648000226356,post_position,0.03470959997503087,0.19219560001511127
7,small,cuda,4,32,32,192,160,196608,1536,163840,196608,0.1445648000226356,pre_position_deferred,0.5099006000091322,0.6974932000157423
21,small,cuda,4,32,32,192,32,196608,1536,32768,65536,0.13977120001800358,post_position,0.03608139994321391,0.19242979999398813
21,small,cuda,4,32,32,192,32,196608,1536,32768,65536,0.13977120001800358,pre_position_deferred,0.586607399978675,0.7055180000024848
21,small,cuda,4,32,32,192,64,196608,1536,65536,98304,0.15689959999872372,post_position,0.034490799997001886,0.19236599997384474
21,small,cuda,4,32,32,192,64,196608,1536,65536,98304,0.15689959999872372,pre_position_deferred,0.5057289999676868,0.6884457999840379
21,small,cuda,4,32,32,192,128,196608,1536,131072,163840,0.1427840000251308,post_position,0.029758599994238466,0.21010399999795482
21,small,cuda,4,32,32,192,128,196608,1536,131072,163840,0.1427840000251308,pre_position_deferred,0.5127117999945767,0.7035990000003949
21,small,cuda,4,32,32,192,160,196608,1536,163840,196608,0.1372049999772571,post_position,0.03477600001497194,0.1846566000021994
21,small,cuda,4,32,32,192,160,196608,1536,163840,196608,0.1372049999772571,pre_position_deferred,0.47945280000567436,0.6838101999601349
42,small,cuda,4,32,32,192,32,196608,1536,32768,65536,0.14595899998676032,post_position,0.030625600018538535,0.18917999998666346
42,small,cuda,4,32,32,192,32,196608,1536,32768,65536,0.14595899998676032,pre_position_deferred,0.4872674000216648,0.6821783999912441
42,small,cuda,4,32,32,192,64,196608,1536,65536,98304,0.13971960003254935,post_position,0.03356599999824539,0.1896602000342682
42,small,cuda,4,32,32,192,64,196608,1536,65536,98304,0.13971960003254935,pre_position_deferred,0.5161213999963365,0.6821555999922566
42,small,cuda,4,32,32,192,128,196608,1536,131072,163840,0.1378709999844432,post_position,0.0339555999962613,0.18994199996814132
42,small,cuda,4,32,32,192,128,196608,1536,131072,163840,0.1378709999844432,pre_position_deferred,0.4999886000296101,0.6843575999955647
42,small,cuda,4,32,32,192,160,196608,1536,163840,196608,0.1387183999759145,post_position,0.03411300003062934,0.18581739999353886
42,small,cuda,4,32,32,192,160,196608,1536,163840,196608,0.1387183999759145,pre_position_deferred,0.5057850000448525,0.6872599999769591
87,small,cuda,4,32,32,192,32,196608,1536,32768,65536,0.15022019995376468,post_position,0.03807400004006922,0.19351539999479428
87,small,cuda,4,32,32,192,32,196608,1536,32768,65536,0.15022019995376468,pre_position_deferred,0.4966687999549322,0.6715843999991193
87,small,cuda,4,32,32,192,64,196608,1536,65536,98304,0.13375639996957034,post_position,0.03254639997612685,0.18879019998712465
87,small,cuda,4,32,32,192,64,196608,1536,65536,98304,0.13375639996957034,pre_position_deferred,0.48058099998161197,0.6611768000293523
87,small,cuda,4,32,32,192,128,196608,1536,131072,163840,0.14909600000828505,post_position,0.03324840002460405,0.1906532000284642
87,small,cuda,4,32,32,192,128,196608,1536,131072,163840,0.14909600000828505,pre_position_deferred,0.48131619999185205,0.6699916000361554
87,small,cuda,4,32,32,192,160,196608,1536,163840,196608,0.1426058000070043,post_position,0.0340742000262253,0.1915844000177458
87,small,cuda,4,32,32,192,160,196608,1536,163840,196608,0.1426058000070043,pre_position_deferred,0.5341427999665029,0.6834318000474013
