seed,model_tier,position_mode,example_id,logical_native_ratio,logical_context,native_context,maximum_native_operation,native_limit_violations,direct_tokens,implicit_head_tokens,materialized_memory_tokens,loss,accuracy,disabled_loss,disabled_accuracy
21,tiny,absolute,synthetic-native-00001,8,1536,192,192,0,32,1504,160.0,0.0811559408903122,1,0.26875483989715576,1
21,tiny,absolute,synthetic-native-00002,8,1536,192,192,0,32,1504,160.0,0.0818626806139946,1,0.26875483989715576,1
21,tiny,absolute,synthetic-native-00003,8,1536,192,192,0,32,1504,160.0,0.08218709379434586,1,0.26875483989715576,1
42,tiny,absolute,synthetic-native-00000,1,192,192,160,0,32,160,160.0,0.05205678939819336,1,0.05839277803897858,1
42,tiny,absolute,synthetic-native-00001,1,192,192,160,0,32,160,160.0,0.05185024440288544,1,0.16932395100593567,1
42,tiny,absolute,synthetic-native-00002,1,192,192,160,0,32,160,160.0,0.0550832599401474,1,0.061279863119125366,1
42,tiny,absolute,synthetic-native-00003,1,192,192,160,0,32,160,160.0,0.05449574440717697,1,0.16089722514152527,1
42,tiny,absolute,synthetic-native-00000,2,384,192,192,0,32,352,160.0,0.8653363585472107,0,3.466590166091919,0
42,tiny,absolute,synthetic-native-00001,2,384,192,192,0,32,352,160.0,0.9665443897247314,0,3.466590166091919,0
42,tiny,absolute,synthetic-native-00002,2,384,192,192,0,32,352,160.0,0.9487173557281494,0,3.466590166091919,0
42,tiny,absolute,synthetic-native-00003,2,384,192,192,0,32,352,160.0,0.899137556552887,0,3.466590166091919,0
42,tiny,absolute,synthetic-native-00000,4,768,192,192,0,32,736,160.0,0.06220635771751404,1,3.466590166091919,0
42,tiny,absolute,synthetic-native-00001,4,768,192,192,0,32,736,160.0,0.06560898572206497,1,3.466590166091919,0
42,tiny,absolute,synthetic-native-00002,4,768,192,192,0,32,736,160.0,0.064156174659729,1,3.466590166091919,0
42,tiny,absolute,synthetic-native-00003,4,768,192,192,0,32,736,160.0,0.06565777212381363,1,3.466590166091919,0
42,tiny,absolute,synthetic-native-00000,8,1536,192,192,0,32,1504,160.0,0.05817753076553345,1,3.466590166091919,0
42,tiny,absolute,synthetic-native-00001,8,1536,192,192,0,32,1504,160.0,0.060522519052028656,1,3.466590166091919,0
42,tiny,absolute,synthetic-native-00002,8,1536,192,192,0,32,1504,160.0,0.05929364264011383,1,3.466590166091919,0
42,tiny,absolute,synthetic-native-00003,8,1536,192,192,0,32,1504,160.0,0.060359466820955276,1,3.466590166091919,0
87,tiny,absolute,synthetic-native-00000,1,192,192,160,0,32,160,160.0,0.037415433675050735,1,4.088186264038086,0
87,tiny,absolute,synthetic-native-00001,1,192,192,160,0,32,160,160.0,0.03793468326330185,1,5.510806083679199,0
87,tiny,absolute,synthetic-native-00002,1,192,192,160,0,32,160,160.0,0.03834926709532738,1,5.255700588226318,0
87,tiny,absolute,synthetic-native-00003,1,192,192,160,0,32,160,160.0,0.04179137200117111,1,5.083974838256836,0
87,tiny,absolute,synthetic-native-00000,2,384,192,192,0,32,352,160.0,1.805262804031372,0,4.411079406738281,0
87,tiny,absolute,synthetic-native-00001,2,384,192,192,0,32,352,160.0,1.7375622987747192,0,4.411079406738281,0
87,tiny,absolute,synthetic-native-00002,2,384,192,192,0,32,352,160.0,1.7563344240188599,0,4.411079406738281,0
87,tiny,absolute,synthetic-native-00003,2,384,192,192,0,32,352,160.0,1.8147099018096924,0,4.411079406738281,0
87,tiny,absolute,synthetic-native-00000,4,768,192,192,0,32,736,160.0,1.7823799848556519,0,4.411079406738281,0
87,tiny,absolute,synthetic-native-00001,4,768,192,192,0,32,736,160.0,1.7165486812591553,0,4.411079406738281,0
87,tiny,absolute,synthetic-native-00002,4,768,192,192,0,32,736,160.0,1.7354098558425903,0,4.411079406738281,0
87,tiny,absolute,synthetic-native-00003,4,768,192,192,0,32,736,160.0,1.791628360748291,0,4.411079406738281,0
87,tiny,absolute,synthetic-native-00000,8,1536,192,192,0,32,1504,160.0,1.5883839130401611,0,4.411079406738281,0
87,tiny,absolute,synthetic-native-00001,8,1536,192,192,0,32,1504,160.0,1.5250804424285889,0,4.411079406738281,0
87,tiny,absolute,synthetic-native-00002,8,1536,192,192,0,32,1504,160.0,1.5428751707077026,0,4.411079406738281,0
87,tiny,absolute,synthetic-native-00003,8,1536,192,192,0,32,1504,160.0,1.596756935119629,0,4.411079406738281,0
1,tiny,rope,synthetic-native-00000,1,192,192,160,0,32,160,160.0,0.008350693620741367,1,0.6644455790519714,1
1,tiny,rope,synthetic-native-00001,1,192,192,160,0,32,160,160.0,1.588543176651001,0,1.0991780757904053,0
1,tiny,rope,synthetic-native-00002,1,192,192,160,0,32,160,160.0,1.3302741050720215,0,0.008376820012927055,1
1,tiny,rope,synthetic-native-00003,1,192,192,160,0,32,160,160.0,0.008323503658175468,1,0.008411692455410957,1
1,tiny,rope,synthetic-native-00000,2,384,192,192,0,32,352,160.0,0.008306952193379402,1,0.02314154990017414,1
1,tiny,rope,synthetic-native-00001,2,384,192,192,0,32,352,160.0,0.008359914645552635,1,0.02314154990017414,1
1,tiny,rope,synthetic-native-00002,2,384,192,192,0,32,352,160.0,0.008319838903844357,1,0.02314154990017414,1
1,tiny,rope,synthetic-native-00003,2,384,192,192,0,32,352,160.0,0.008289455436170101,1,0.02314154990017414,1
1,tiny,rope,synthetic-native-00000,4,768,192,192,0,32,736,160.0,0.008387341164052486,1,0.02314154990017414,1
1,tiny,rope,synthetic-native-00001,4,768,192,192,0,32,736,160.0,0.008438407443463802,1,0.02314154990017414,1
1,tiny,rope,synthetic-native-00002,4,768,192,192,0,32,736,160.0,0.008579183369874954,1,0.02314154990017414,1
1,tiny,rope,synthetic-native-00003,4,768,192,192,0,32,736,160.0,0.008463467471301556,1,0.02314154990017414,1
1,tiny,rope,synthetic-native-00000,8,1536,192,192,0,32,1504,160.0,2.2332332134246826,0,0.02314154990017414,1
1,tiny,rope,synthetic-native-00001,8,1536,192,192,0,32,1504,160.0,0.008785168640315533,1,0.02314154990017414,1
1,tiny,rope,synthetic-native-00002,8,1536,192,192,0,32,1504,160.0,0.00871710292994976,1,0.02314154990017414,1
1,tiny,rope,synthetic-native-00003,8,1536,192,192,0,32,1504,160.0,0.008695948868989944,1,0.02314154990017414,1
