seed,model_tier,heads,head_dim,policy,logical_native_ratio,query_position,source_last_position,assigned_last_position,effective_nearest_distance,score_rmse_vs_exact,output_rmse_vs_exact,top_token_agreement_vs_exact,git_sha
1,tiny,4,16,exact_logical,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,local_chunk,1,192,31,191,1,1.2528356313705444,0.26737141609191895,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,clipped,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,log_compressed,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,bucketed,1,192,31,0,192,1.1220428943634033,0.2539176344871521,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,remote_past,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,exact_logical,2,384,31,31,353,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,local_chunk,2,384,31,383,1,1.5121183395385742,0.35723522305488586,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,clipped,2,384,31,192,192,1.1302058696746826,0.25221148133277893,0.25,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,log_compressed,2,384,31,23,361,1.0435190200805664,0.21382881700992584,0.5,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,bucketed,2,384,31,-384,768,1.0453288555145264,0.22429323196411133,0.5,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,remote_past,2,384,31,-384,768,1.0453288555145264,0.22429323196411133,0.5,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,exact_logical,4,768,31,31,737,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,local_chunk,4,768,31,767,1,1.2462639808654785,0.3093423843383789,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,clipped,4,768,31,576,192,1.4419950246810913,0.31233716011047363,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,log_compressed,4,768,31,203,565,1.3097933530807495,0.3236212134361267,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,bucketed,4,768,31,0,768,1.0795656442642212,0.27673110365867615,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,remote_past,4,768,31,0,768,1.0795656442642212,0.27673110365867615,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,exact_logical,8,1536,31,31,1505,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,local_chunk,8,1536,31,1535,1,1.8045533895492554,0.3340711295604706,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,clipped,8,1536,31,1344,192,1.1708204746246338,0.2527710199356079,0.25,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,log_compressed,8,1536,31,774,762,1.575927972793579,0.33441200852394104,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,bucketed,8,1536,31,-1536,3072,1.436356782913208,0.36219826340675354,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,remote_past,8,1536,31,768,768,1.3624564409255981,0.3197542130947113,0.25,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,exact_logical,16,3072,31,31,3041,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,local_chunk,16,3072,31,3071,1,1.5886949300765991,0.36567893624305725,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,clipped,16,3072,31,2880,192,2.13285756111145,0.37766289710998535,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,log_compressed,16,3072,31,2115,957,1.6933308839797974,0.31846773624420166,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,bucketed,16,3072,31,0,3072,1.131637692451477,0.37198197841644287,0.25,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,remote_past,16,3072,31,2304,768,1.905431866645813,0.38317200541496277,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,exact_logical,32,6144,31,31,6113,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,local_chunk,32,6144,31,6143,1,1.646296739578247,0.41123566031455994,0.25,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,clipped,32,6144,31,5952,192,1.4228785037994385,0.3298413157463074,0.25,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,log_compressed,32,6144,31,4993,1151,1.2995063066482544,0.3164789080619812,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,bucketed,32,6144,31,-6144,12288,1.2682867050170898,0.27401721477508545,0.0,d36f6775270125cd198543b77dc114e6018ee67a
1,tiny,4,16,remote_past,32,6144,31,5376,768,1.50711989402771,0.3680233359336853,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,exact_logical,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,local_chunk,1,192,31,191,1,1.0304135084152222,0.22174561023712158,0.25,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,clipped,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,log_compressed,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,bucketed,1,192,31,0,192,1.112779974937439,0.20484517514705658,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,remote_past,1,192,31,31,161,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,exact_logical,2,384,31,31,353,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,local_chunk,2,384,31,383,1,1.389283537864685,0.31341177225112915,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,clipped,2,384,31,192,192,1.1909525394439697,0.2812366485595703,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,log_compressed,2,384,31,23,361,0.838202178478241,0.23402337729930878,0.5,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,bucketed,2,384,31,-384,768,1.1551967859268188,0.2699952721595764,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,remote_past,2,384,31,-384,768,1.1551967859268188,0.2699952721595764,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,exact_logical,4,768,31,31,737,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,local_chunk,4,768,31,767,1,1.3192139863967896,0.29820168018341064,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,clipped,4,768,31,576,192,1.4900071620941162,0.3054946959018707,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,log_compressed,4,768,31,203,565,1.1865041255950928,0.2286747694015503,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,bucketed,4,768,31,0,768,1.122341513633728,0.23306633532047272,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,remote_past,4,768,31,0,768,1.122341513633728,0.23306633532047272,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,exact_logical,8,1536,31,31,1505,0.0,0.0,1.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,local_chunk,8,1536,31,1535,1,1.6153854131698608,0.3322705030441284,0.0,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,clipped,8,1536,31,1344,192,1.3405535221099854,0.2771056294441223,0.25,d36f6775270125cd198543b77dc114e6018ee67a
7,tiny,4,16,log_compressed,8,1536,31,774,762,1.4593019485473633,0.34594690799713135,0.0,d36f6775270125cd198543b77dc114e6018ee67a
