protocol,case_id,corruption,policy,required_record_recall,required_candidate_recall,candidate_records,selected_records,widened,widening_level,widening_reasons
paper8-task-management-roadmap-v1,independent_parallel-low-s11,clean,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,independent_parallel-low-s11,clean,task_adaptive,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,independent_parallel-low-s11,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-low-s11,missing_record_tags,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,independent_parallel-low-s11,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,independent_parallel-low-s11,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-low-s11,stale_record_tags,task_structural,0.0,0.0,0,0,0,none,
paper8-task-management-roadmap-v1,independent_parallel-low-s11,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,independent_parallel-low-s11,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-low-s11,missing_dependency_edge,task_structural,1.0,1.0,1,1,0,none,
paper8-task-management-roadmap-v1,independent_parallel-low-s11,missing_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,independent_parallel-low-s11,missing_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,independent_parallel-low-s11,wrong_dependency_edge,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,independent_parallel-low-s11,wrong_dependency_edge,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,independent_parallel-low-s11,wrong_dependency_edge,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-low-s23,clean,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,linear_dependency-low-s23,clean,task_adaptive,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,linear_dependency-low-s23,clean,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-low-s23,missing_record_tags,task_structural,1.0,1.0,2,2,0,none,
paper8-task-management-roadmap-v1,linear_dependency-low-s23,missing_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete
paper8-task-management-roadmap-v1,linear_dependency-low-s23,missing_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-low-s23,stale_record_tags,task_structural,0.0,0.0,0,0,0,none,
paper8-task-management-roadmap-v1,linear_dependency-low-s23,stale_record_tags,task_adaptive,1.0,1.0,8,8,1,session,metadata_incomplete;insufficient_candidates
paper8-task-management-roadmap-v1,linear_dependency-low-s23,stale_record_tags,session,1.0,1.0,8,8,0,none,
paper8-task-management-roadmap-v1,linear_dependency-low-s23,missing_dependency_edge,task_structural,0.5,0.5,1,1,0,none,
