active_tokens,candidate_records,case_id,cross_task_contamination,detail_depth,estimated_tokens_per_record,family,join_complete,logical_backing_tokens,matched_budget_tokens,materialized_tokens,policy,record_budget,relevant_record_recall,scope_latency_us,seed,selected_records,task_count,useful_precision,widened
84,6,parallel-n8-r6-s37,0.0,full,48,parallel,1,84,192,192,task_structural,4,1.0,1568.600069731474,37,4,8,0.25,0
63,6,parallel-n8-r6-s37,0.0,native_kv,64,parallel,1,63,192,192,task_structural,3,1.0,1991.200027987361,37,3,8,0.3333333333333333,0
126,6,parallel-n8-r6-s37,0.0,index,4,parallel,1,126,192,24,task_adaptive,48,1.0,1682.8000079840422,37,6,8,0.16666666666666666,0
126,6,parallel-n8-r6-s37,0.0,compact,12,parallel,1,126,192,72,task_adaptive,16,1.0,1692.3998482525349,37,6,8,0.16666666666666666,0
126,6,parallel-n8-r6-s37,0.0,selected,24,parallel,1,126,192,144,task_adaptive,8,1.0,4335.000179708004,37,6,8,0.16666666666666666,0
84,6,parallel-n8-r6-s37,0.0,full,48,parallel,1,84,192,192,task_adaptive,4,1.0,1918.999943882227,37,4,8,0.25,0
63,6,parallel-n8-r6-s37,0.0,native_kv,64,parallel,1,63,192,192,task_adaptive,3,1.0,1560.8000103384256,37,3,8,0.3333333333333333,0
1008,48,parallel-n8-r6-s53,0.875,index,4,parallel,1,1008,192,192,session,48,1.0,5002.000136300921,53,48,8,0.020833333333333332,0
336,48,parallel-n8-r6-s53,0.875,compact,12,parallel,1,336,192,192,session,16,1.0,3755.1000714302063,53,16,8,0.0625,0
168,48,parallel-n8-r6-s53,0.875,selected,24,parallel,1,168,192,192,session,8,1.0,5236.799828708172,53,8,8,0.125,0
84,48,parallel-n8-r6-s53,0.75,full,48,parallel,1,84,192,192,session,4,1.0,6562.300026416779,53,4,8,0.25,0
63,48,parallel-n8-r6-s53,0.6666666666666666,native_kv,64,parallel,1,63,192,192,session,3,1.0,4551.599966362119,53,3,8,0.3333333333333333,0
126,6,parallel-n8-r6-s53,0.0,index,4,parallel,1,126,192,24,task_local,48,1.0,1792.1999096870422,53,6,8,0.16666666666666666,0
126,6,parallel-n8-r6-s53,0.0,compact,12,parallel,1,126,192,72,task_local,16,1.0,1505.6999400258064,53,6,8,0.16666666666666666,0
