mode,cases,parse_success,task_recall,edge_f1,downstream_record_recall,mean_generation_seconds
hybrid,30,1.0,1.0,1.0,1.0,4.450619800000762
online_tools,30,1.0,1.0,0.8333333333333334,0.875,27.89687372664921
preflight_json,30,1.0,1.0,1.0,1.0,25.09749120331835
preflight_markdown,30,1.0,1.0,1.0,1.0,11.595420289986457
