case_id,hot_distractor_task_id,interleaved,records
parallel-n2-r6-s11,t0,1,12
parallel-n2-r6-s23,t0,1,12
parallel-n2-r6-s37,t0,1,12
parallel-n2-r6-s53,t0,1,12
parallel-n2-r6-s71,t0,1,12
parallel-n4-r6-s11,t2,1,24
parallel-n4-r6-s23,t2,1,24
parallel-n4-r6-s37,t2,1,24
parallel-n4-r6-s53,t2,1,24
parallel-n4-r6-s71,t2,1,24
parallel-n8-r6-s11,t6,1,48
parallel-n8-r6-s23,t6,1,48
parallel-n8-r6-s37,t6,1,48
parallel-n8-r6-s53,t6,1,48
parallel-n8-r6-s71,t6,1,48
parallel-n16-r6-s11,t14,1,96
parallel-n16-r6-s23,t14,1,96
parallel-n16-r6-s37,t14,1,96
parallel-n16-r6-s53,t14,1,96
parallel-n16-r6-s71,t14,1,96
linear-n2-r6-s11,,1,12
linear-n2-r6-s23,,1,12
linear-n2-r6-s37,,1,12
linear-n2-r6-s53,,1,12
linear-n2-r6-s71,,1,12
linear-n4-r6-s11,,1,24
linear-n4-r6-s23,,1,24
linear-n4-r6-s37,,1,24
linear-n4-r6-s53,,1,24
linear-n4-r6-s71,,1,24
linear-n8-r6-s11,,1,48
linear-n8-r6-s23,,1,48
linear-n8-r6-s37,,1,48
linear-n8-r6-s53,,1,48
linear-n8-r6-s71,,1,48
linear-n16-r6-s11,t6,1,96
linear-n16-r6-s23,t6,1,96
linear-n16-r6-s37,t6,1,96
linear-n16-r6-s53,t6,1,96
linear-n16-r6-s71,t6,1,96
join-n2-r6-s11,,1,12
join-n2-r6-s23,,1,12
join-n2-r6-s37,,1,12
join-n2-r6-s53,,1,12
join-n2-r6-s71,,1,12
join-n4-r6-s11,,1,24
join-n4-r6-s23,,1,24
join-n4-r6-s37,,1,24
join-n4-r6-s53,,1,24
join-n4-r6-s71,,1,24
join-n8-r6-s11,,1,48
join-n8-r6-s23,,1,48
join-n8-r6-s37,,1,48
join-n8-r6-s53,,1,48
join-n8-r6-s71,,1,48
join-n16-r6-s11,,1,96
join-n16-r6-s23,,1,96
join-n16-r6-s37,,1,96
join-n16-r6-s53,,1,96
join-n16-r6-s71,,1,96
dag-n2-r6-s11,,1,12
dag-n2-r6-s23,,1,12
dag-n2-r6-s37,,1,12
dag-n2-r6-s53,,1,12
dag-n2-r6-s71,,1,12
dag-n4-r6-s11,,1,24
dag-n4-r6-s23,,1,24
dag-n4-r6-s37,,1,24
dag-n4-r6-s53,,1,24
dag-n4-r6-s71,,1,24
dag-n8-r6-s11,,1,48
dag-n8-r6-s23,,1,48
dag-n8-r6-s37,,1,48
dag-n8-r6-s53,,1,48
dag-n8-r6-s71,,1,48
dag-n16-r6-s11,,1,96
dag-n16-r6-s23,,1,96
dag-n16-r6-s37,,1,96
dag-n16-r6-s53,,1,96
dag-n16-r6-s71,,1,96
