active_tokens,case_id,cross_task_contamination,intervening_records,policy,resumed_recall,scope_latency_us,seed
42,parallel-n2-r2-s11,0.5,0,session,1,440.6000953167677,11
42,parallel-n2-r2-s11,0.0,0,task_local,1,512.9000637680292,11
42,parallel-n2-r2-s11,0.0,0,task_structural,1,398.29988963901997,11
42,parallel-n2-r2-s11,0.0,0,task_adaptive,1,181.90010450780392,11
42,parallel-n2-r2-s23,0.5,0,session,1,219.699926674366,23
42,parallel-n2-r2-s23,0.0,0,task_local,1,103.4000888466835,23
42,parallel-n2-r2-s23,0.0,0,task_structural,1,174.50004816055298,23
42,parallel-n2-r2-s23,0.0,0,task_adaptive,1,170.90002074837685,23
42,parallel-n2-r2-s37,0.5,0,session,1,227.69998759031296,37
42,parallel-n2-r2-s37,0.0,0,task_local,1,104.29997928440571,37
42,parallel-n2-r2-s37,0.0,0,task_structural,1,114.50005695223808,37
42,parallel-n2-r2-s37,0.0,0,task_adaptive,1,110.10002344846725,37
42,parallel-n2-r2-s53,0.5,0,session,1,189.00004215538502,53
42,parallel-n2-r2-s53,0.0,0,task_local,1,102.20007970929146,53
42,parallel-n2-r2-s53,0.0,0,task_structural,1,147.30007387697697,53
42,parallel-n2-r2-s53,0.0,0,task_adaptive,1,114.09982107579708,53
42,parallel-n2-r2-s71,0.5,0,session,1,418.8001621514559,71
42,parallel-n2-r2-s71,0.0,0,task_local,1,242.1000972390175,71
42,parallel-n2-r2-s71,0.0,0,task_structural,1,255.40008209645748,71
42,parallel-n2-r2-s71,0.0,0,task_adaptive,1,135.79986989498138,71
42,parallel-n2-r4-s11,0.5,4,session,1,332.5000870972872,11
42,parallel-n2-r4-s11,0.0,4,task_local,1,194.09996457397938,11
42,parallel-n2-r4-s11,0.0,4,task_structural,1,262.90002278983593,11
42,parallel-n2-r4-s11,0.0,4,task_adaptive,1,199.50000569224358,11
42,parallel-n2-r4-s23,0.5,4,session,1,334.49986949563026,23
42,parallel-n2-r4-s23,0.0,4,task_local,1,196.49998284876347,23
42,parallel-n2-r4-s23,0.0,4,task_structural,1,198.29999655485153,23
42,parallel-n2-r4-s23,0.0,4,task_adaptive,1,196.2999813258648,23
42,parallel-n2-r4-s37,0.5,4,session,1,447.7999173104763,37
42,parallel-n2-r4-s37,0.0,4,task_local,1,245.40000595152378,37
42,parallel-n2-r4-s37,0.0,4,task_structural,1,351.8001176416874,37
42,parallel-n2-r4-s37,0.0,4,task_adaptive,1,568.1000184267759,37
42,parallel-n2-r4-s53,0.5,4,session,1,891.9001556932926,53
42,parallel-n2-r4-s53,0.0,4,task_local,1,443.20011511445045,53
42,parallel-n2-r4-s53,0.0,4,task_structural,1,445.40013186633587,53
42,parallel-n2-r4-s53,0.0,4,task_adaptive,1,403.400044888258,53
42,parallel-n2-r4-s71,0.5,4,session,1,640.1999853551388,71
42,parallel-n2-r4-s71,0.0,4,task_local,1,385.70002652704716,71
42,parallel-n2-r4-s71,0.0,4,task_structural,1,399.00001138448715,71
42,parallel-n2-r4-s71,0.0,4,task_adaptive,1,428.1001165509224,71
42,parallel-n4-r6-s11,1.0,16,session,0,933.3000052720308,11
42,parallel-n4-r6-s11,0.0,16,task_local,1,368.60001273453236,11
42,parallel-n4-r6-s11,0.0,16,task_structural,1,376.49995647370815,11
42,parallel-n4-r6-s11,0.0,16,task_adaptive,1,406.6999536007643,11
42,parallel-n4-r6-s23,0.5,16,session,1,928.0999656766653,23
42,parallel-n4-r6-s23,0.0,16,task_local,1,1328.0001003295183,23
42,parallel-n4-r6-s23,0.0,16,task_structural,1,982.4999142438173,23
42,parallel-n4-r6-s23,0.0,16,task_adaptive,1,408.699968829751,23
42,parallel-n4-r6-s37,0.5,16,session,1,941.9999551028013,37
42,parallel-n4-r6-s37,0.0,16,task_local,1,374.20005537569523,37
42,parallel-n4-r6-s37,0.0,16,task_structural,1,381.00010715425014,37
42,parallel-n4-r6-s37,0.0,16,task_adaptive,1,378.00008431077003,37
42,parallel-n4-r6-s53,1.0,16,session,0,879.3999440968037,53
42,parallel-n4-r6-s53,0.0,16,task_local,1,369.69990469515324,53
42,parallel-n4-r6-s53,0.0,16,task_structural,1,378.69997322559357,53
42,parallel-n4-r6-s53,0.0,16,task_adaptive,1,408.8000860065222,53
42,parallel-n4-r6-s71,1.0,16,session,0,913.7999732047319,71
42,parallel-n4-r6-s71,0.0,16,task_local,1,383.1998910754919,71
42,parallel-n4-r6-s71,0.0,16,task_structural,1,378.4999717026949,71
42,parallel-n4-r6-s71,0.0,16,task_adaptive,1,376.0999534279108,71
42,parallel-n10-r8-s11,1.0,64,session,0,4851.100035011768,11
42,parallel-n10-r8-s11,0.0,64,task_local,1,1470.6000220030546,11
42,parallel-n10-r8-s11,0.0,64,task_structural,1,2088.499953970313,11
42,parallel-n10-r8-s11,0.0,64,task_adaptive,1,3428.0000254511833,11
42,parallel-n10-r8-s23,1.0,64,session,0,3354.499815031886,23
42,parallel-n10-r8-s23,0.0,64,task_local,1,1359.0999878942966,23
42,parallel-n10-r8-s23,0.0,64,task_structural,1,1320.4000424593687,23
42,parallel-n10-r8-s23,0.0,64,task_adaptive,1,4020.499996840954,23
42,parallel-n10-r8-s37,1.0,64,session,0,5666.79984331131,37
42,parallel-n10-r8-s37,0.0,64,task_local,1,2404.70003336668,37
42,parallel-n10-r8-s37,0.0,64,task_structural,1,2160.599920898676,37
42,parallel-n10-r8-s37,0.0,64,task_adaptive,1,2253.9999336004257,37
42,parallel-n10-r8-s53,1.0,64,session,0,3035.200061276555,53
42,parallel-n10-r8-s53,0.0,64,task_local,1,881.3999593257904,53
42,parallel-n10-r8-s53,0.0,64,task_structural,1,887.9001252353191,53
42,parallel-n10-r8-s53,0.0,64,task_adaptive,1,919.4000158458948,53
42,parallel-n10-r8-s71,1.0,64,session,0,6679.599871858954,71
42,parallel-n10-r8-s71,0.0,64,task_local,1,2167.999977245927,71
42,parallel-n10-r8-s71,0.0,64,task_structural,1,2033.2001149654388,71
42,parallel-n10-r8-s71,0.0,64,task_adaptive,1,2033.500000834465,71
42,parallel-n16-r10-s11,1.0,128,session,0,8810.500148683786,11
42,parallel-n16-r10-s11,0.0,128,task_local,1,1608.199905604124,11
42,parallel-n16-r10-s11,0.0,128,task_structural,1,1616.3999680429697,11
42,parallel-n16-r10-s11,0.0,128,task_adaptive,1,4925.699904561043,11
42,parallel-n16-r10-s23,1.0,128,session,0,8045.899914577603,23
42,parallel-n16-r10-s23,0.0,128,task_local,1,2405.3999222815037,23
42,parallel-n16-r10-s23,0.0,128,task_structural,1,2351.9000969827175,23
42,parallel-n16-r10-s23,0.0,128,task_adaptive,1,2375.3000423312187,23
42,parallel-n16-r10-s37,1.0,128,session,0,6116.899894550443,37
42,parallel-n16-r10-s37,0.0,128,task_local,1,2781.200222671032,37
42,parallel-n16-r10-s37,0.0,128,task_structural,1,3311.099950224161,37
42,parallel-n16-r10-s37,0.0,128,task_adaptive,1,1881.7998934537172,37
42,parallel-n16-r10-s53,1.0,128,session,0,7058.100076392293,53
42,parallel-n16-r10-s53,0.0,128,task_local,1,2502.9999669641256,53
42,parallel-n16-r10-s53,0.0,128,task_structural,1,3632.8001879155636,53
42,parallel-n16-r10-s53,0.0,128,task_adaptive,1,4784.199874848127,53
42,parallel-n16-r10-s71,1.0,128,session,0,17668.1000739336,71
42,parallel-n16-r10-s71,0.0,128,task_local,1,4352.100193500519,71
42,parallel-n16-r10-s71,0.0,128,task_structural,1,6796.699948608875,71
42,parallel-n16-r10-s71,0.0,128,task_adaptive,1,4400.599980726838,71
