case_id,family,seed,mode,downstream_record_recall,edge_f1
atomic-n1-r3-s11,atomic,11,preflight_json,1.0,1.0
atomic-n1-r3-s11,atomic,11,online_tools,1.0,1.0
atomic-n1-r3-s23,atomic,23,preflight_json,1.0,1.0
atomic-n1-r3-s23,atomic,23,online_tools,1.0,1.0
atomic-n1-r3-s37,atomic,37,preflight_json,1.0,1.0
atomic-n1-r3-s37,atomic,37,online_tools,1.0,1.0
atomic-n1-r3-s53,atomic,53,preflight_json,1.0,1.0
atomic-n1-r3-s53,atomic,53,online_tools,1.0,1.0
atomic-n1-r3-s71,atomic,71,preflight_json,1.0,1.0
atomic-n1-r3-s71,atomic,71,online_tools,1.0,1.0
linear-n4-r3-s11,linear,11,preflight_json,1.0,1.0
linear-n4-r3-s11,linear,11,online_tools,1.0,1.0
linear-n4-r3-s23,linear,23,preflight_json,1.0,1.0
linear-n4-r3-s23,linear,23,online_tools,1.0,1.0
linear-n4-r3-s37,linear,37,preflight_json,1.0,1.0
linear-n4-r3-s37,linear,37,online_tools,1.0,1.0
linear-n4-r3-s53,linear,53,preflight_json,1.0,1.0
linear-n4-r3-s53,linear,53,online_tools,1.0,1.0
linear-n4-r3-s71,linear,71,preflight_json,1.0,1.0
atomic-n1-r3-s11,atomic,11,preflight_markdown,1.0,1.0
atomic-n1-r3-s23,atomic,23,preflight_markdown,1.0,1.0
atomic-n1-r3-s37,atomic,37,preflight_markdown,1.0,1.0
atomic-n1-r3-s53,atomic,53,preflight_markdown,1.0,1.0
atomic-n1-r3-s71,atomic,71,preflight_markdown,1.0,1.0
linear-n4-r3-s11,linear,11,preflight_markdown,1.0,1.0
linear-n4-r3-s23,linear,23,preflight_markdown,1.0,1.0
linear-n4-r3-s37,linear,37,preflight_markdown,1.0,1.0
linear-n4-r3-s53,linear,53,preflight_markdown,1.0,1.0
linear-n4-r3-s71,linear,71,preflight_markdown,1.0,1.0
linear-n4-r3-s71,linear,71,online_tools,1.0,1.0
parallel-n4-r3-s11,parallel,11,preflight_json,1.0,1.0
parallel-n4-r3-s11,parallel,11,preflight_markdown,1.0,1.0
parallel-n4-r3-s11,parallel,11,online_tools,1.0,1.0
parallel-n4-r3-s23,parallel,23,preflight_json,1.0,1.0
parallel-n4-r3-s23,parallel,23,preflight_markdown,1.0,1.0
parallel-n4-r3-s23,parallel,23,online_tools,1.0,1.0
parallel-n4-r3-s37,parallel,37,preflight_json,1.0,1.0
parallel-n4-r3-s37,parallel,37,preflight_markdown,1.0,1.0
parallel-n4-r3-s37,parallel,37,online_tools,1.0,1.0
parallel-n4-r3-s53,parallel,53,preflight_json,1.0,1.0
parallel-n4-r3-s53,parallel,53,preflight_markdown,1.0,1.0
parallel-n4-r3-s53,parallel,53,online_tools,1.0,1.0
parallel-n4-r3-s71,parallel,71,preflight_json,1.0,1.0
parallel-n4-r3-s71,parallel,71,preflight_markdown,1.0,1.0
parallel-n4-r3-s71,parallel,71,online_tools,1.0,1.0
fork-n4-r3-s11,fork,11,preflight_json,1.0,1.0
fork-n4-r3-s11,fork,11,preflight_markdown,1.0,1.0
fork-n4-r3-s11,fork,11,online_tools,1.0,1.0
fork-n4-r3-s23,fork,23,preflight_json,1.0,1.0
fork-n4-r3-s23,fork,23,preflight_markdown,1.0,1.0
fork-n4-r3-s23,fork,23,online_tools,1.0,1.0
fork-n4-r3-s37,fork,37,preflight_json,1.0,1.0
fork-n4-r3-s37,fork,37,preflight_markdown,1.0,1.0
fork-n4-r3-s37,fork,37,online_tools,1.0,1.0
fork-n4-r3-s53,fork,53,preflight_json,1.0,1.0
fork-n4-r3-s53,fork,53,preflight_markdown,1.0,1.0
fork-n4-r3-s53,fork,53,online_tools,1.0,1.0
fork-n4-r3-s71,fork,71,preflight_json,1.0,1.0
fork-n4-r3-s71,fork,71,preflight_markdown,1.0,1.0
fork-n4-r3-s71,fork,71,online_tools,1.0,1.0
join-n4-r3-s11,join,11,preflight_json,1.0,1.0
join-n4-r3-s11,join,11,preflight_markdown,1.0,1.0
join-n4-r3-s11,join,11,online_tools,0.25,0.0
atomic-n1-r3-s11,atomic,11,hybrid,1.0,1.0
atomic-n1-r3-s23,atomic,23,hybrid,1.0,1.0
atomic-n1-r3-s37,atomic,37,hybrid,1.0,1.0
atomic-n1-r3-s53,atomic,53,hybrid,1.0,1.0
atomic-n1-r3-s71,atomic,71,hybrid,1.0,1.0
linear-n4-r3-s11,linear,11,hybrid,1.0,1.0
linear-n4-r3-s23,linear,23,hybrid,1.0,1.0
linear-n4-r3-s37,linear,37,hybrid,1.0,1.0
linear-n4-r3-s53,linear,53,hybrid,1.0,1.0
linear-n4-r3-s71,linear,71,hybrid,1.0,1.0
parallel-n4-r3-s11,parallel,11,hybrid,1.0,1.0
parallel-n4-r3-s23,parallel,23,hybrid,1.0,1.0
parallel-n4-r3-s37,parallel,37,hybrid,1.0,1.0
parallel-n4-r3-s53,parallel,53,hybrid,1.0,1.0
parallel-n4-r3-s71,parallel,71,hybrid,1.0,1.0
fork-n4-r3-s11,fork,11,hybrid,1.0,1.0
fork-n4-r3-s23,fork,23,hybrid,1.0,1.0
fork-n4-r3-s37,fork,37,hybrid,1.0,1.0
fork-n4-r3-s53,fork,53,hybrid,1.0,1.0
fork-n4-r3-s71,fork,71,hybrid,1.0,1.0
join-n4-r3-s11,join,11,hybrid,1.0,1.0
join-n4-r3-s23,join,23,preflight_json,1.0,1.0
join-n4-r3-s23,join,23,preflight_markdown,1.0,1.0
join-n4-r3-s23,join,23,online_tools,0.25,0.0
join-n4-r3-s23,join,23,hybrid,1.0,1.0
join-n4-r3-s37,join,37,preflight_json,1.0,1.0
join-n4-r3-s37,join,37,preflight_markdown,1.0,1.0
join-n4-r3-s37,join,37,online_tools,0.25,0.0
join-n4-r3-s37,join,37,hybrid,1.0,1.0
join-n4-r3-s53,join,53,preflight_json,1.0,1.0
join-n4-r3-s53,join,53,preflight_markdown,1.0,1.0
join-n4-r3-s53,join,53,online_tools,0.25,0.0
join-n4-r3-s53,join,53,hybrid,1.0,1.0
join-n4-r3-s71,join,71,preflight_json,1.0,1.0
join-n4-r3-s71,join,71,preflight_markdown,1.0,1.0
join-n4-r3-s71,join,71,online_tools,0.25,0.0
join-n4-r3-s71,join,71,hybrid,1.0,1.0
dag-n4-r3-s11,dag,11,preflight_json,1.0,1.0
dag-n4-r3-s11,dag,11,preflight_markdown,1.0,1.0
dag-n4-r3-s11,dag,11,online_tools,1.0,1.0
dag-n4-r3-s11,dag,11,hybrid,1.0,1.0
dag-n4-r3-s23,dag,23,preflight_json,1.0,1.0
dag-n4-r3-s23,dag,23,preflight_markdown,1.0,1.0
dag-n4-r3-s23,dag,23,online_tools,1.0,1.0
dag-n4-r3-s23,dag,23,hybrid,1.0,1.0
dag-n4-r3-s37,dag,37,preflight_json,1.0,1.0
dag-n4-r3-s37,dag,37,preflight_markdown,1.0,1.0
dag-n4-r3-s37,dag,37,online_tools,1.0,1.0
dag-n4-r3-s37,dag,37,hybrid,1.0,1.0
dag-n4-r3-s53,dag,53,preflight_json,1.0,1.0
dag-n4-r3-s53,dag,53,preflight_markdown,1.0,1.0
dag-n4-r3-s53,dag,53,online_tools,1.0,1.0
dag-n4-r3-s53,dag,53,hybrid,1.0,1.0
dag-n4-r3-s71,dag,71,preflight_json,1.0,1.0
dag-n4-r3-s71,dag,71,preflight_markdown,1.0,1.0
dag-n4-r3-s71,dag,71,online_tools,1.0,1.0
dag-n4-r3-s71,dag,71,hybrid,1.0,1.0
