case_id,kv_demoted,kv_promoted,seed,switch_latency_us,task_count
parallel-n2-r6-s11,128,64,11,9.800074622035027,2
parallel-n2-r6-s23,128,64,23,24.700071662664413,2
parallel-n2-r6-s37,128,64,37,10.0000761449337,2
parallel-n2-r6-s53,128,64,53,18.999911844730377,2
parallel-n2-r6-s71,128,64,71,21.59993164241314,2
parallel-n4-r6-s11,128,64,11,14.200108125805855,4
parallel-n4-r6-s23,128,64,23,34.899916499853134,4
parallel-n4-r6-s37,128,64,37,9.600073099136353,4
parallel-n4-r6-s53,128,64,53,9.499955922365189,4
parallel-n4-r6-s71,128,64,71,14.499993994832039,4
parallel-n8-r6-s11,128,64,11,16.700010746717453,8
parallel-n8-r6-s23,128,64,23,13.499986380338669,8
parallel-n8-r6-s37,128,64,37,41.69996827840805,8
parallel-n8-r6-s53,128,64,53,16.399892047047615,8
parallel-n8-r6-s71,128,64,71,14.899997040629387,8
parallel-n16-r6-s11,128,64,11,87.39996701478958,16
parallel-n16-r6-s23,128,64,23,13.00009898841381,16
parallel-n16-r6-s37,128,64,37,19.300030544400215,16
parallel-n16-r6-s53,128,64,53,15.400117263197899,16
parallel-n16-r6-s71,128,64,71,15.700003132224083,16
