active_tokens,candidate_records,case_id,cross_task_contamination,join_complete,kv_demoted,kv_promoted,policy,relevant_record_recall,scope_latency_us,seed,selected_records,switch_latency_us,task_count,useful_precision,widened,wrong_task_selected
42,12,parallel-n2-r6-s11,0.5,1,128,64,session,1.0,1221.5999886393547,11,2,9.800074622035027,2,0.5,0,1
42,6,parallel-n2-r6-s11,0.0,1,128,64,task_local,1.0,711.8000648915768,11,2,9.800074622035027,2,0.5,0,0
42,6,parallel-n2-r6-s11,0.0,1,128,64,task_structural,1.0,810.0001141428947,11,2,9.800074622035027,2,0.5,0,0
42,6,parallel-n2-r6-s11,0.0,1,128,64,task_adaptive,1.0,784.7999222576618,11,2,9.800074622035027,2,0.5,0,0
42,12,parallel-n2-r6-s23,0.5,1,128,64,session,1.0,1154.499826952815,23,2,24.700071662664413,2,0.5,0,1
42,6,parallel-n2-r6-s23,0.0,1,128,64,task_local,1.0,563.0999803543091,23,2,24.700071662664413,2,0.5,0,0
42,6,parallel-n2-r6-s23,0.0,1,128,64,task_structural,1.0,542.0998204499483,23,2,24.700071662664413,2,0.5,0,0
42,6,parallel-n2-r6-s23,0.0,1,128,64,task_adaptive,1.0,475.80013051629066,23,2,24.700071662664413,2,0.5,0,0
42,12,parallel-n2-r6-s37,0.5,1,128,64,session,1.0,917.8998880088329,37,2,10.0000761449337,2,0.5,0,1
42,6,parallel-n2-r6-s37,0.0,1,128,64,task_local,1.0,544.5999559015036,37,2,10.0000761449337,2,0.5,0,0
42,6,parallel-n2-r6-s37,0.0,1,128,64,task_structural,1.0,533.499987795949,37,2,10.0000761449337,2,0.5,0,0
42,6,parallel-n2-r6-s37,0.0,1,128,64,task_adaptive,1.0,542.100053280592,37,2,10.0000761449337,2,0.5,0,0
42,12,parallel-n2-r6-s53,0.5,1,128,64,session,1.0,1228.8999278098345,53,2,18.999911844730377,2,0.5,0,1
42,6,parallel-n2-r6-s53,0.0,1,128,64,task_local,1.0,917.8000036627054,53,2,18.999911844730377,2,0.5,0,0
42,6,parallel-n2-r6-s53,0.0,1,128,64,task_structural,1.0,1083.899987861514,53,2,18.999911844730377,2,0.5,0,0
42,6,parallel-n2-r6-s53,0.0,1,128,64,task_adaptive,1.0,2705.999882891774,53,2,18.999911844730377,2,0.5,0,0
42,12,parallel-n2-r6-s71,0.5,1,128,64,session,1.0,1239.1998898237944,71,2,21.59993164241314,2,0.5,0,1
