seed,target_shared_tokens,actual_shared_tokens,fanout,host_split_session_ms,native_session_ms,one_time_native_encode_ms,amortized_speedup,host_split_physical_tokens,native_physical_tokens,physical_token_reduction,duplicate_kv_bytes_avoided,native_argmax_parity
11,32768,32768,1,26736.423833062872,25223.89087395277,25015.692041022703,1.0599642999832357,32784,32784,0.0,0,1
11,32768,32768,2,53251.38916715514,27183.678416069597,26752.52995803021,1.9589471429177756,65568,32800,0.4997559785261103,3758096384,1
11,32768,32768,4,105877.77445896063,27146.706333733164,26320.490124984644,3.9002070143365537,131136,32832,0.7496339677891655,11274289152,1
23,32768,32768,1,25970.862749964,26445.325791020878,26239.188791019842,0.9820587182473669,32784,32784,0.0,0,1
23,32768,32768,2,51475.55937501602,25852.740666945465,25449.55641706474,1.99110647641436,65568,32800,0.4997559785261103,3758096384,1
23,32768,32768,4,105185.05008507054,26896.04791684542,26073.818207951263,3.9107994754571913,131136,32832,0.7496339677891655,11274289152,1
37,32768,32768,1,26371.4035829762,27432.98183393199,27226.3291249983,0.9613028486155042,32784,32784,0.0,0,1
37,32768,32768,2,54345.52070801146,26317.674997844733,25890.539624961093,2.064981831125358,65568,32800,0.4997559785261103,3758096384,1
37,32768,32768,4,107448.95012490451,27971.013543196023,27145.59349999763,3.8414392799520694,131136,32832,0.7496339677891655,11274289152,1
71,32768,32768,1,26441.732250037603,26365.97683187574,26149.642540956847,1.0028732263039188,32784,32784,0.0,0,1
71,32768,32768,2,52975.39762593806,26591.256581945345,26177.963458001614,1.9922111413834704,65568,32800,0.4997559785261103,3758096384,1
71,32768,32768,4,106645.45791607816,27166.029415791854,26338.326916913502,3.9256917631873063,131136,32832,0.7496339677891655,11274289152,1
101,32768,32768,1,26355.721208965406,27115.75970798731,26914.359708083794,0.9719705991199641,32784,32784,0.0,0,1
101,32768,32768,2,53274.12183198612,27076.379376114346,26662.409625016153,1.9675496894160942,65568,32800,0.4997559785261103,3758096384,1
101,32768,32768,4,105914.30445818696,27447.635543183424,26636.612333008088,3.858776989790314,131136,32832,0.7496339677891655,11274289152,1
