dataset,model_tier,method,seed_count,examples_per_seed,mrr_mean,mrr_std,f80_mean,f80_std,f90_mean,f90_std,auc_0_30_mean,auc_0_30_std,r_at_3_mean,r_at_3_std,r_at_8_mean,r_at_8_std,r_at_5pct_mean,r_at_5pct_std,r_at_10pct_mean,r_at_10pct_std,r_at_20pct_mean,r_at_20pct_std,r_at_30pct_mean,r_at_30pct_std,any_r_at_5pct_mean,any_r_at_5pct_std,any_r_at_10pct_mean,any_r_at_10pct_std,any_r_at_20pct_mean,any_r_at_20pct_std,any_r_at_30pct_mean,any_r_at_30pct_std,all_r_at_5pct_mean,all_r_at_5pct_std,all_r_at_10pct_mean,all_r_at_10pct_std,all_r_at_20pct_mean,all_r_at_20pct_std,all_r_at_30pct_mean,all_r_at_30pct_std,router_parameters,router_backbone_percent,routing_dimension,native_hidden_index_bytes,projected_index_bytes,native_detail_kv_bytes,payload_parity_max_abs_error
hotpotqa,small,hidden_cosine,5,13,0.09505934236703467,0.01873164605175366,1.0,0.0,1.0,0.0,0.0025641025641025637,0.003140371465106638,0.0,0.0,0.23076923076923078,0.17541160386140583,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.03768445758127967,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.03768445758127967,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923077,0.03768445758127967,8192.0,0.31375625061280515,32.0,7680.0,1920.0,105865.84615384616,0.0
hotpotqa,small,learned_projection,5,13,0.9923076923076923,0.015384615384615373,0.06666666666666667,0.0,0.06666666666666667,0.0,0.9797435897435897,0.007179487179487154,1.0,0.0,1.0,0.0,0.9846153846153847,0.030769230769230747,1.0,0.0,1.0,0.0,1.0,0.0,0.9846153846153847,0.030769230769230747,1.0,0.0,1.0,0.0,1.0,0.0,0.9846153846153847,0.030769230769230747,1.0,0.0,1.0,0.0,1.0,0.0,8192.0,0.31375625061280515,32.0,7680.0,1920.0,105865.84615384616,0.0
hotpotqa,small,post_rope_k,5,13,0.5533699633699634,0.22375835281283857,0.37333333333333335,0.20044395171163878,0.44000000000000006,0.11623730516108463,0.5446153846153846,0.2284029681174019,0.5846153846153846,0.22081077068318958,1.0,0.0,0.4,0.29752430162790333,0.5076923076923077,0.24615384615384614,0.5846153846153846,0.22081077068318958,0.7692307692307693,0.16135520741079254,0.4,0.29752430162790333,0.5076923076923077,0.24615384615384614,0.5846153846153846,0.22081077068318958,0.7692307692307693,0.16135520741079254,0.4,0.29752430162790333,0.5076923076923077,0.24615384615384614,0.5846153846153846,0.22081077068318958,0.7692307692307693,0.16135520741079254,8192.0,0.31375625061280515,32.0,7680.0,1920.0,105865.84615384616,0.0
hotpotqa,small,pre_rope_k,5,13,0.5796703296703296,0.140611753838194,0.5599999999999999,0.25508168626278654,0.6799999999999999,0.2712931993250107,0.5541025641025641,0.17591388126755855,0.5846153846153845,0.20409998709879382,0.923076923076923,0.09730085108210397,0.4461538461538462,0.16426274233894322,0.5692307692307692,0.185893014978378,0.5846153846153845,0.20409998709879382,0.6615384615384616,0.20409998709879384,0.4461538461538462,0.16426274233894322,0.5692307692307692,0.185893014978378,0.5846153846153845,0.20409998709879382,0.6615384615384616,0.20409998709879384,0.4461538461538462,0.16426274233894322,0.5692307692307692,0.185893014978378,0.5846153846153845,0.20409998709879382,0.6615384615384616,0.20409998709879384,8192.0,0.31375625061280515,32.0,7680.0,1920.0,105865.84615384616,0.0
hotpotqa,small,shuffled_projection,5,13,0.13132969594508054,0.013584466457311671,1.0,0.0,1.0,0.0,0.06153846153846154,0.026461240308397818,0.09230769230769231,0.05756395979652218,0.38461538461538464,0.09730085108210397,0.0,0.0,0.0,0.0,0.09230769230769231,0.05756395979652218,0.15384615384615385,0.04865042554105199,0.0,0.0,0.0,0.0,0.09230769230769231,0.05756395979652218,0.15384615384615385,0.04865042554105199,0.0,0.0,0.0,0.0,0.09230769230769231,0.05756395979652218,0.15384615384615385,0.04865042554105199,8192.0,0.31375625061280515,32.0,7680.0,1920.0,105865.84615384616,0.0
hotpotqa,tiny,hidden_cosine,5,13,0.21019032249801478,0.15542006385326096,0.8133333333333332,0.2286190426597633,1.0,0.0,0.16410256410256413,0.19278743578813592,0.18461538461538463,0.20981817995362853,0.38461538461538464,0.3799719703147221,0.07692307692307693,0.1191687183448436,0.15384615384615385,0.17541160386140583,0.18461538461538463,0.20981817995362853,0.24615384615384617,0.26379120306895765,0.07692307692307693,0.1191687183448436,0.15384615384615385,0.17541160386140583,0.18461538461538463,0.20981817995362853,0.24615384615384617,0.26379120306895765,0.07692307692307693,0.1191687183448436,0.15384615384615385,0.17541160386140583,0.18461538461538463,0.20981817995362853,0.24615384615384617,0.26379120306895765,4096.0,0.36985668053629217,32.0,3840.0,1920.0,52932.92307692308,0.0
hotpotqa,tiny,learned_projection,5,13,0.9538461538461538,0.015384615384615373,0.06666666666666667,0.0,0.08,0.02666666666666667,0.9617948717948718,0.007179487179487243,1.0,0.0,1.0,0.0,0.9076923076923077,0.030769230769230795,1.0,0.0,1.0,0.0,1.0,0.0,0.9076923076923077,0.030769230769230795,1.0,0.0,1.0,0.0,1.0,0.0,0.9076923076923077,0.030769230769230795,1.0,0.0,1.0,0.0,1.0,0.0,4096.0,0.36985668053629217,32.0,3840.0,1920.0,52932.92307692308,0.0
hotpotqa,tiny,post_rope_k,5,13,0.8229849637541946,0.17406767875832954,0.1733333333333333,0.13063945294843615,0.32,0.35377331097124265,0.8430769230769231,0.15038324916860332,0.8923076923076924,0.13411996749355917,0.9692307692307691,0.06153846153846154,0.7230769230769231,0.26017745423519634,0.876923076923077,0.15073783032511867,0.8923076923076924,0.13411996749355917,0.9538461538461538,0.061538461538461535,0.7230769230769231,0.26017745423519634,0.876923076923077,0.15073783032511867,0.8923076923076924,0.13411996749355917,0.9538461538461538,0.061538461538461535,0.7230769230769231,0.26017745423519634,0.876923076923077,0.15073783032511867,0.8923076923076924,0.13411996749355917,0.9538461538461538,0.061538461538461535,4096.0,0.36985668053629217,32.0,3840.0,1920.0,52932.92307692308,0.0
hotpotqa,tiny,pre_rope_k,5,13,0.6225763125763126,0.16869641325773835,0.5066666666666666,0.40353989201124146,0.5333333333333333,0.38643671323171835,0.6797435897435897,0.1883723842846351,0.7846153846153846,0.2302558391860887,0.9076923076923077,0.11305337274383896,0.4461538461538462,0.2029370147426603,0.6307692307692307,0.2029370147426603,0.7846153846153846,0.2302558391860887,0.8461538461538461,0.16135520741079254,0.4461538461538462,0.2029370147426603,0.6307692307692307,0.2029370147426603,0.7846153846153846,0.2302558391860887,0.8461538461538461,0.16135520741079254,0.4461538461538462,0.2029370147426603,0.6307692307692307,0.2029370147426603,0.7846153846153846,0.2302558391860887,0.8461538461538461,0.16135520741079254,4096.0,0.36985668053629217,32.0,3840.0,1920.0,52932.92307692308,0.0
hotpotqa,tiny,shuffled_projection,5,13,0.1261102999564538,0.04835740727306345,1.0,0.0,1.0,0.0,0.040769230769230766,0.05401317198787699,0.046153846153846156,0.06153846153846154,0.27692307692307694,0.19821690348807885,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.06153846153846154,0.046153846153846156,0.06153846153846154,0.10769230769230771,0.10434353820192721,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.06153846153846154,0.046153846153846156,0.06153846153846154,0.10769230769230771,0.10434353820192721,0.015384615384615385,0.03076923076923077,0.03076923076923077,0.06153846153846154,0.046153846153846156,0.06153846153846154,0.10769230769230771,0.10434353820192721,4096.0,0.36985668053629217,32.0,3840.0,1920.0,52932.92307692308,0.0
