dataset,model_tier,seed,method,examples,mrr,f80,f90,auc_0_30,r_at_3,r_at_8,router_parameters,router_backbone_percent,routing_dimension,native_hidden_index_bytes,projected_index_bytes,native_detail_kv_bytes,payload_parity_max_abs_error,r_at_5pct,any_r_at_5pct,all_r_at_5pct,kv_at_5pct,r_at_10pct,any_r_at_10pct,all_r_at_10pct,kv_at_10pct,r_at_20pct,any_r_at_20pct,all_r_at_20pct,kv_at_20pct,r_at_30pct,any_r_at_30pct,all_r_at_30pct,kv_at_30pct
hotpotqa,tiny,1,post_rope_k,13,0.5673992673992674,0.3333333333333333,0.3333333333333333,0.6487179487179487,0.7692307692307693,1.0,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.08490245247405971,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.1414971703818903,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.20145366322859398,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.33455868567969216
hotpotqa,tiny,1,pre_rope_k,13,0.5443223443223443,1.0,1.0,0.5833333333333334,0.6923076923076923,0.7692307692307693,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.057595874807445886,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.12000219210878586,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.18492456430806617,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.3320755418878724
hotpotqa,tiny,1,hidden_cosine,13,0.4834812623274162,0.5333333333333333,1.0,0.5012820512820513,0.5384615384615384,0.8461538461538461,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.07851331824987288,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.14081799767586894,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.21177240249760915,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.349154605900272
hotpotqa,tiny,1,learned_projection,13,0.9230769230769231,0.06666666666666667,0.13333333333333333,0.9474358974358973,1.0,1.0,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.053547514979177875,1.0,1.0,1.0,0.11755968641772932,1.0,1.0,1.0,0.19904239789824996,1.0,1.0,1.0,0.33449991631622095
hotpotqa,tiny,1,shuffled_projection,13,0.08344881614112383,1.0,1.0,0.0,0.0,0.07692307692307693,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.0,0.0,0.0,0.06508591576029275,0.0,0.0,0.0,0.1205554796465021,0.0,0.0,0.0,0.18001784231963155,0.0,0.0,0.0,0.3283758709387668
hotpotqa,tiny,7,post_rope_k,13,0.9230769230769231,0.06666666666666667,0.13333333333333333,0.9474358974358973,1.0,1.0,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0562445989680725,1.0,1.0,1.0,0.11768922552374977,1.0,1.0,1.0,0.17639053870877147,1.0,1.0,1.0,0.3171875800395861
hotpotqa,tiny,7,pre_rope_k,13,0.6948717948717948,0.2,0.3333333333333333,0.741025641025641,0.8461538461538461,1.0,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.04735959518599149,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.11191143330672283,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.17669909902888123,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.30775830072078797
hotpotqa,tiny,7,hidden_cosine,13,0.08178018562633947,1.0,1.0,0.0,0.0,0.0,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.0,0.0,0.0,0.060211869744342436,0.0,0.0,0.0,0.13100402950476933,0.0,0.0,0.0,0.20017402049330493,0.0,0.0,0.0,0.3430845778655694
hotpotqa,tiny,7,learned_projection,13,0.9615384615384616,0.06666666666666667,0.06666666666666667,0.9653846153846154,1.0,1.0,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.05815928895301714,1.0,1.0,1.0,0.11458018694577023,1.0,1.0,1.0,0.17314934642793167,1.0,1.0,1.0,0.304468097504134
hotpotqa,tiny,7,shuffled_projection,13,0.0959058035981113,1.0,1.0,0.0,0.0,0.15384615384615385,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.0,0.0,0.0,0.0790649230986787,0.0,0.0,0.0,0.14592607212824385,0.0,0.0,0.0,0.22374594339852844,0.0,0.0,0.0,0.35138956470357663
hotpotqa,tiny,21,post_rope_k,13,0.6629101667563206,0.3333333333333333,1.0,0.6705128205128206,0.6923076923076923,0.8461538461538461,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.06035794737829852,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.11227676128626511,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.19159258334005963,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3281240140546536
hotpotqa,tiny,21,pre_rope_k,13,0.36086691086691086,1.0,1.0,0.3692307692307692,0.38461538461538464,0.7692307692307693,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.07039878937476604,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.1318787355113826,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.21229026119504354,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.33571697642573217
hotpotqa,tiny,21,hidden_cosine,13,0.11709956709956709,1.0,1.0,0.06410256410256411,0.07692307692307693,0.15384615384615385,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.0,0.0,0.0,0.06853603847166077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.14314486532779647,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.21263370974233672,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3642561373877602
hotpotqa,tiny,21,learned_projection,13,0.9615384615384616,0.06666666666666667,0.06666666666666667,0.9653846153846154,1.0,1.0,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0608513361246308,1.0,1.0,1.0,0.12011981075781927,1.0,1.0,1.0,0.18794840672609264,1.0,1.0,1.0,0.2979239489808934
hotpotqa,tiny,21,shuffled_projection,13,0.1485958485958486,1.0,1.0,0.057692307692307696,0.07692307692307693,0.6153846153846154,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.0,0.0,0.0,0.07638684721867581,0.0,0.0,0.0,0.15830594488836794,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23569914822098925,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.35384909955693816
hotpotqa,tiny,42,post_rope_k,13,1.0,0.06666666666666667,0.06666666666666667,0.9833333333333333,1.0,1.0,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,1.0,1.0,1.0,0.056370380187364184,1.0,1.0,1.0,0.12365199209720855,1.0,1.0,1.0,0.19455632944001147,1.0,1.0,1.0,0.30876971748698884
hotpotqa,tiny,42,pre_rope_k,13,0.8717948717948718,0.13333333333333333,0.13333333333333333,0.9166666666666667,1.0,1.0,4096,0.36985668053629217,32,3840,1920,52932.92307692308,0.0,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.05387575511966466,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.11828635896383523,1.0,1.0,1.0,0.18690346864295554,1.0,1.0,1.0,0.32857097943042424
