dataset,model_tier,seed,method,fraction,recall,any_evidence_recall,all_evidence_recall,selected_chunk_fraction,selected_kv_token_fraction
hotpotqa,tiny,1,post_rope_k,0.01,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.06666666666666667,0.08490245247405971
hotpotqa,tiny,1,post_rope_k,0.02,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.06666666666666667,0.08490245247405971
hotpotqa,tiny,1,post_rope_k,0.05,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.06666666666666667,0.08490245247405971
hotpotqa,tiny,1,post_rope_k,0.1,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.13333333333333333,0.1414971703818903
hotpotqa,tiny,1,post_rope_k,0.15,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.2,0.20145366322859398
hotpotqa,tiny,1,post_rope_k,0.2,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.2,0.20145366322859398
hotpotqa,tiny,1,post_rope_k,0.25,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.26666666666666666,0.26910230304848404
hotpotqa,tiny,1,post_rope_k,0.3,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.3333333333333333,0.33455868567969216
hotpotqa,tiny,1,post_rope_k,0.5,1.0,1.0,1.0,0.5333333333333333,0.5431953218873131
hotpotqa,tiny,1,post_rope_k,1.0,1.0,1.0,1.0,1.0,1.0
hotpotqa,tiny,1,pre_rope_k,0.01,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.06666666666666667,0.057595874807445886
hotpotqa,tiny,1,pre_rope_k,0.02,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.06666666666666667,0.057595874807445886
hotpotqa,tiny,1,pre_rope_k,0.05,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.06666666666666667,0.057595874807445886
hotpotqa,tiny,1,pre_rope_k,0.1,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.13333333333333333,0.12000219210878586
hotpotqa,tiny,1,pre_rope_k,0.15,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.2,0.18492456430806617
hotpotqa,tiny,1,pre_rope_k,0.2,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.2,0.18492456430806617
hotpotqa,tiny,1,pre_rope_k,0.25,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.26666666666666666,0.2583533048985602
hotpotqa,tiny,1,pre_rope_k,0.3,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.3333333333333333,0.3320755418878724
hotpotqa,tiny,1,pre_rope_k,0.5,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.5333333333333333,0.5267477229182161
hotpotqa,tiny,1,pre_rope_k,1.0,1.0,1.0,1.0,1.0,1.0
hotpotqa,tiny,1,hidden_cosine,0.01,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.06666666666666667,0.07851331824987288
hotpotqa,tiny,1,hidden_cosine,0.02,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.06666666666666667,0.07851331824987288
hotpotqa,tiny,1,hidden_cosine,0.05,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.06666666666666667,0.07851331824987288
hotpotqa,tiny,1,hidden_cosine,0.1,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.13333333333333333,0.14081799767586894
hotpotqa,tiny,1,hidden_cosine,0.15,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.2,0.21177240249760915
hotpotqa,tiny,1,hidden_cosine,0.2,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.2,0.21177240249760915
hotpotqa,tiny,1,hidden_cosine,0.25,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.26666666666666666,0.280195612507953
hotpotqa,tiny,1,hidden_cosine,0.3,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.3333333333333333,0.349154605900272
hotpotqa,tiny,1,hidden_cosine,0.5,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.5333333333333333,0.5644214012381418
hotpotqa,tiny,1,hidden_cosine,1.0,1.0,1.0,1.0,1.0,1.0
hotpotqa,tiny,1,learned_projection,0.01,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.06666666666666667,0.053547514979177875
hotpotqa,tiny,1,learned_projection,0.02,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.06666666666666667,0.053547514979177875
hotpotqa,tiny,1,learned_projection,0.05,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.06666666666666667,0.053547514979177875
hotpotqa,tiny,1,learned_projection,0.1,1.0,1.0,1.0,0.13333333333333333,0.11755968641772932
hotpotqa,tiny,1,learned_projection,0.15,1.0,1.0,1.0,0.2,0.19904239789824996
hotpotqa,tiny,1,learned_projection,0.2,1.0,1.0,1.0,0.2,0.19904239789824996
hotpotqa,tiny,1,learned_projection,0.25,1.0,1.0,1.0,0.26666666666666666,0.27500767468367254
hotpotqa,tiny,1,learned_projection,0.3,1.0,1.0,1.0,0.3333333333333333,0.33449991631622095
hotpotqa,tiny,1,learned_projection,0.5,1.0,1.0,1.0,0.5333333333333333,0.5293173686070387
hotpotqa,tiny,1,learned_projection,1.0,1.0,1.0,1.0,1.0,1.0
hotpotqa,tiny,1,shuffled_projection,0.01,0.0,0.0,0.0,0.06666666666666667,0.06508591576029275
hotpotqa,tiny,1,shuffled_projection,0.02,0.0,0.0,0.0,0.06666666666666667,0.06508591576029275
hotpotqa,tiny,1,shuffled_projection,0.05,0.0,0.0,0.0,0.06666666666666667,0.06508591576029275
hotpotqa,tiny,1,shuffled_projection,0.1,0.0,0.0,0.0,0.13333333333333333,0.1205554796465021
hotpotqa,tiny,1,shuffled_projection,0.15,0.0,0.0,0.0,0.2,0.18001784231963155
hotpotqa,tiny,1,shuffled_projection,0.2,0.0,0.0,0.0,0.2,0.18001784231963155
hotpotqa,tiny,1,shuffled_projection,0.25,0.0,0.0,0.0,0.26666666666666666,0.25465393028499317
hotpotqa,tiny,1,shuffled_projection,0.3,0.0,0.0,0.0,0.3333333333333333,0.3283758709387668
hotpotqa,tiny,1,shuffled_projection,0.5,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.5333333333333333,0.5313291141948085
hotpotqa,tiny,1,shuffled_projection,1.0,1.0,1.0,1.0,1.0,1.0
hotpotqa,tiny,7,post_rope_k,0.01,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.06666666666666667,0.0562445989680725
hotpotqa,tiny,7,post_rope_k,0.02,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.06666666666666667,0.0562445989680725
hotpotqa,tiny,7,post_rope_k,0.05,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.06666666666666667,0.0562445989680725
hotpotqa,tiny,7,post_rope_k,0.1,1.0,1.0,1.0,0.13333333333333333,0.11768922552374977
hotpotqa,tiny,7,post_rope_k,0.15,1.0,1.0,1.0,0.2,0.17639053870877147
hotpotqa,tiny,7,post_rope_k,0.2,1.0,1.0,1.0,0.2,0.17639053870877147
hotpotqa,tiny,7,post_rope_k,0.25,1.0,1.0,1.0,0.26666666666666666,0.24632877631342523
hotpotqa,tiny,7,post_rope_k,0.3,1.0,1.0,1.0,0.3333333333333333,0.3171875800395861
hotpotqa,tiny,7,post_rope_k,0.5,1.0,1.0,1.0,0.5333333333333333,0.5035520599094443
hotpotqa,tiny,7,post_rope_k,1.0,1.0,1.0,1.0,1.0,1.0
hotpotqa,tiny,7,pre_rope_k,0.01,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.06666666666666667,0.04735959518599149
hotpotqa,tiny,7,pre_rope_k,0.02,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.06666666666666667,0.04735959518599149
hotpotqa,tiny,7,pre_rope_k,0.05,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.06666666666666667,0.04735959518599149
hotpotqa,tiny,7,pre_rope_k,0.1,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.13333333333333333,0.11191143330672283
