partition,dataset,max_hops,strategy,rows,identities,seeds,root_available,goal_triggered,goal_correct,false_goal,oracle_recall,later_oracle_recall,oracle_precision,complete_oracle,chain_complete,visited_count,visited_count_p95,visited_count_max,nodes_expanded,nodes_expanded_p95,nodes_expanded_max,raw_proposals,edge_admitted_candidates,duplicate_proposals,cycles_prevented,peak_frontier,goal_tests,goal_comparisons,adjacency_lookup_comparisons,native_dot_products,search_seconds,goal_test_seconds,cpu_dedup_seconds,total_routing_seconds,total_routing_seconds_p95,total_routing_seconds_max,candidate_tensor_bytes,conceptual_active_parent_count,materialized_parent_count,materialized_native_kv_tokens,active_native_kv_fraction,routing_cache_bytes,h2d_transfer_bytes,h2d_transfer_seconds,prep_peak_gpu_allocated_bytes,prep_peak_gpu_reserved_bytes,goal_precision
test,hotpotqa,1,best_first,35,7,5,1.0,0.0,0.0,0.0,1.0,1.0,0.42857142857142855,1.0,1.0,5.0,5.0,5.0,1.1428571428571428,2.0,2.0,4.571428571428571,3.857142857142857,0.7142857142857143,0.0,4.0,3.857142857142857,86.28571428571429,5.428571428571429,33062272.0,0.0008186457079968282,0.00035350285137870485,8.208570735795157e-06,0.15470266569838195,0.21309189993189648,0.21319810004206374,103.42857142857143,5.0,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,2,best_first,35,7,5,1.0,0.0,0.0,0.0,1.0,1.0,0.4,1.0,1.0,5.428571428571429,6.0,6.0,2.857142857142857,5.0,5.0,11.428571428571429,4.285714285714286,7.142857142857143,1.2857142857142858,4.0,4.285714285714286,94.71428571428571,14.571428571428571,33062272.0,0.0013646628574601242,0.0003673485862756414,1.0788580402731895e-05,0.15524868284784524,0.21371450007427484,0.21372379997046664,103.42857142857143,5.428571428571429,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,3,best_first,35,7,5,1.0,0.0,0.0,0.0,1.0,1.0,0.4,1.0,1.0,5.428571428571429,6.0,6.0,3.142857142857143,5.0,5.0,12.571428571428571,4.285714285714286,8.285714285714286,1.7142857142857142,4.0,4.285714285714286,94.71428571428571,16.0,33062272.0,0.0014411885756999254,0.0003731742800612535,9.668578526803425e-06,0.15532520856608503,0.2146869000280276,0.21487020002678037,103.42857142857143,5.428571428571429,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,4,best_first,35,7,5,1.0,0.0,0.0,0.0,1.0,1.0,0.4,1.0,1.0,5.428571428571429,6.0,6.0,3.142857142857143,5.0,5.0,12.571428571428571,4.285714285714286,8.285714285714286,1.7142857142857142,4.0,4.285714285714286,94.71428571428571,16.0,33062272.0,0.0014564314341571714,0.0003642914168137525,1.0488584770687988e-05,0.15534045142454228,0.21381859999382868,0.21397570002591237,103.42857142857143,5.428571428571429,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,qasper,1,best_first,30,6,5,1.0,0.0,0.0,0.0,1.0,1.0,0.22222222222222224,1.0,1.0,5.166666666666667,6.0,6.0,1.1666666666666667,2.0,2.0,4.666666666666667,4.0,0.3333333333333333,0.0,4.166666666666667,4.0,36.666666666666664,18.333333333333332,295371050.6666667,0.001368943330210944,0.0006000500075363864,1.286999904550612e-05,1.1850729299922629,2.3037662000278942,2.304294400033541,145.33333333333334,5.166666666666667,0.0,0.0,0.0,1788.6666666666667,25308166.666666668,0.009840349986916408,218828714.66666666,256202069.33333334,1.0
test,qasper,2,best_first,30,6,5,1.0,0.0,0.0,0.0,1.0,1.0,0.19444444444444445,1.0,1.0,6.0,6.0,6.0,2.1666666666666665,3.0,3.0,8.666666666666666,4.833333333333333,2.8333333333333335,0.6666666666666666,4.166666666666667,4.833333333333333,44.333333333333336,32.0,295371050.6666667,0.0020511099971675622,0.0006624899901604901,1.5076668933033944e-05,1.1857550966592194,2.304589500068687,2.304801399994176,145.33333333333334,6.0,0.0,0.0,0.0,1788.6666666666667,25308166.666666668,0.009840349986916408,218828714.66666666,256202069.33333334,1.0
test,qasper,3,best_first,30,6,5,1.0,0.0,0.0,0.0,1.0,1.0,0.19444444444444445,1.0,1.0,6.0,6.0,6.0,2.8333333333333335,3.0,3.0,11.333333333333334,4.833333333333333,4.333333333333333,1.1666666666666667,4.166666666666667,4.833333333333333,44.333333333333336,43.0,295371050.6666667,0.0024261033337097614,0.0006788366726444413,1.9766661959389847e-05,1.1861300899957616,2.30488960002549,2.306866600061767,145.33333333333334,6.0,0.0,0.0,0.0,1788.6666666666667,25308166.666666668,0.009840349986916408,218828714.66666666,256202069.33333334,1.0
test,qasper,4,best_first,30,6,5,1.0,0.0,0.0,0.0,1.0,1.0,0.19444444444444445,1.0,1.0,6.0,6.0,6.0,2.8333333333333335,3.0,3.0,11.333333333333334,4.833333333333333,4.333333333333333,1.1666666666666667,4.166666666666667,4.833333333333333,44.333333333333336,43.0,295371050.6666667,0.0025164066600458076,0.0006593800130455445,3.855333585912983e-05,1.1862203933220978,2.3048885000753216,2.305856900056824,145.33333333333334,6.0,0.0,0.0,0.0,1788.6666666666667,25308166.666666668,0.009840349986916408,218828714.66666666,256202069.33333334,1.0
validation,hotpotqa,1,best_first,45,9,5,1.0,0.0,0.0,0.0,0.7962962962962964,0.6111111111111112,0.36666666666666664,0.5555555555555556,0.6666666666666666,4.888888888888889,5.0,5.0,1.0,1.0,1.0,3.888888888888889,3.888888888888889,0.0,0.0,3.888888888888889,3.888888888888889,81.0,6.0,59303971.55555555,0.0007451555639919308,0.0003353755546009375,7.1644459644125565e-06,0.29883356890511803,1.0510882000089623,1.0513687999919057,107.11111111111111,4.888888888888889,0.0,0.0,0.0,794.6666666666666,10776014.222222222,0.0040675555549872415,101718528.0,119770680.8888889,1.0
validation,hotpotqa,2,best_first,45,9,5,1.0,0.0,0.0,0.0,0.9444444444444444,0.8888888888888888,0.39629629629629626,0.8888888888888888,0.8888888888888888,5.444444444444445,6.0,6.0,2.5555555555555554,4.0,4.0,10.0,4.444444444444445,5.111111111111111,1.0,3.888888888888889,4.444444444444445,94.0,16.333333333333332,59303971.55555555,0.0012333377807711562,0.00036441778194987114,9.822218109750086e-06,0.29932175112189724,1.0514134999830276,1.051929100009147,107.11111111111111,5.444444444444445,0.0,0.0,0.0,794.6666666666666,10776014.222222222,0.0040675555549872415,101718528.0,119770680.8888889,1.0
