theta_edge_label,theta_edge,successor_recall,branching_factor,transitions
open,-inf,1.0,5.7,10
q25,12.308167695999146,1.0,5.6,10
q50,12.47966480255127,0.7,3.9,10
q65,12.553230428695679,0.5,3.1,10
q75,12.604165077209473,0.2,2.5,10
q85,12.6627046585083,0.1,1.1,10
q90,12.721525573730469,0.1,0.7,10
