strategy,theta_goal_label,theta_goal,hotpot_true_closure,false_goal_rate,hotpot_oracle_recall,mean_nodes_expanded,goal_precision
breadth_first,q50,-0.20450392365455627,0.24444444444444444,0.8526315789473684,0.5851851851851851,1.3894736842105264,0.11956521739130435
breadth_first,q65,-0.1091669201850891,0.2222222222222222,0.7789473684210526,0.6592592592592593,2.3263157894736843,0.11904761904761904
breadth_first,q75,-0.036633387207984924,0.15555555555555556,0.7052631578947368,0.6925925925925926,3.3473684210526318,0.0945945945945946
breadth_first,q85,0.04641332477331157,0.1111111111111111,0.5894736842105263,0.7555555555555555,4.894736842105263,0.08196721311475409
breadth_first,q90,0.09909437894821181,0.1111111111111111,0.4842105263157895,0.8296296296296297,6.105263157894737,0.09803921568627451
breadth_first,q95,0.17289698421955102,0.022222222222222223,0.3894736842105263,0.8592592592592592,7.7368421052631575,0.02631578947368421
breadth_first,closed,inf,0.0,0.0,1.0,12.842105263157896,0.0
best_first,q50,-0.20450392365455627,0.24444444444444444,0.8526315789473684,0.5851851851851851,1.2,0.11956521739130435
best_first,q65,-0.1091669201850891,0.2222222222222222,0.7789473684210526,0.6592592592592593,1.8210526315789475,0.11904761904761904
best_first,q75,-0.036633387207984924,0.15555555555555556,0.7052631578947368,0.6925925925925926,2.4947368421052634,0.0945945945945946
best_first,q85,0.04641332477331157,0.1111111111111111,0.5894736842105263,0.7555555555555555,3.6526315789473682,0.08196721311475409
best_first,q90,0.09909437894821181,0.1111111111111111,0.4842105263157895,0.8296296296296297,4.505263157894737,0.09803921568627451
best_first,q95,0.17289698421955102,0.022222222222222223,0.3894736842105263,0.8592592592592592,5.368421052631579,0.02631578947368421
best_first,closed,inf,0.0,0.0,1.0,9.368421052631579,0.0
beam,q50,-0.20450392365455627,0.24444444444444444,0.8526315789473684,0.5740740740740741,1.4631578947368422,0.11956521739130435
beam,q65,-0.1091669201850891,0.2222222222222222,0.7789473684210526,0.6370370370370371,2.1473684210526316,0.11904761904761904
beam,q75,-0.036633387207984924,0.15555555555555556,0.6947368421052632,0.6703703703703704,2.9789473684210526,0.0958904109589041
beam,q85,0.04641332477331157,0.1111111111111111,0.5894736842105263,0.7222222222222222,4.031578947368421,0.08196721311475409
beam,q90,0.09909437894821181,0.1111111111111111,0.4842105263157895,0.7851851851851852,4.852631578947369,0.09803921568627451
beam,q95,0.17289698421955102,0.022222222222222223,0.3894736842105263,0.7925925925925925,6.136842105263158,0.02631578947368421
beam,closed,inf,0.0,0.0,0.8888888888888888,9.631578947368421,0.0
