partition,dataset,K_search,B_label,theta_edge_label,max_hops,strategy,rows,identities,seeds,root_available,goal_triggered,goal_correct,false_goal,oracle_recall,later_oracle_recall,oracle_precision,complete_oracle,chain_complete,visited_count,visited_count_p95,visited_count_max,nodes_expanded,nodes_expanded_p95,nodes_expanded_max,raw_proposals,edge_admitted_candidates,duplicate_proposals,cycles_prevented,peak_frontier,goal_tests,goal_comparisons,adjacency_lookup_comparisons,native_dot_products,search_seconds,goal_test_seconds,cpu_dedup_seconds,total_routing_seconds,total_routing_seconds_p95,total_routing_seconds_max,candidate_tensor_bytes,conceptual_active_parent_count,materialized_parent_count,materialized_native_kv_tokens,active_native_kv_fraction,routing_cache_bytes,h2d_transfer_bytes,h2d_transfer_seconds,prep_peak_gpu_allocated_bytes,prep_peak_gpu_reserved_bytes,goal_precision
test,hotpotqa,1,16,open,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,0.5952380952380952,0.7142857142857143,0.7142857142857143,3.142857142857143,4.0,4.0,3.142857142857143,4.0,4.0,3.142857142857143,2.0,1.1428571428571428,1.0,1.1428571428571428,2.0,44.57142857142857,15.428571428571429,33062272.0,0.001198480000519859,0.00019781999622604676,8.0514167036329e-06,0.15508249999090498,0.21352130000013858,0.21468260005349293,43.42857142857143,3.142857142857143,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,16,q25,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,0.5952380952380952,0.7142857142857143,0.7142857142857143,3.142857142857143,4.0,4.0,3.142857142857143,4.0,4.0,3.142857142857143,2.0,1.1428571428571428,1.0,1.1428571428571428,2.0,44.57142857142857,15.428571428571429,33062272.0,0.0011727542932411389,0.00019354285572522454,7.497146725654602e-06,0.15505677428362624,0.21373280003899708,0.214829100004863,43.42857142857143,3.142857142857143,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,16,q50,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,0.5952380952380952,0.7142857142857143,0.7142857142857143,3.142857142857143,4.0,4.0,3.142857142857143,4.0,4.0,3.142857142857143,2.0,1.1428571428571428,1.0,1.1428571428571428,2.0,44.57142857142857,15.428571428571429,33062272.0,0.0011257685737551322,0.00018890856465856944,7.874282476093089e-06,0.15500978856414024,0.2135728999855928,0.21367790002841502,43.42857142857143,3.142857142857143,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,16,q65,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,0.5952380952380952,0.7142857142857143,0.7142857142857143,3.142857142857143,4.0,4.0,3.142857142857143,4.0,4.0,3.142857142857143,2.0,1.1428571428571428,1.0,1.1428571428571428,2.0,44.57142857142857,15.428571428571429,33062272.0,0.001167534286755004,0.00019408856252474445,7.874269171484878e-06,0.15505155427714012,0.21453270001802593,0.2152072000899352,43.42857142857143,3.142857142857143,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,16,q75,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,0.738095238095238,0.7142857142857143,0.7142857142857143,2.7142857142857144,4.0,4.0,2.7142857142857144,4.0,4.0,2.7142857142857144,1.5714285714285714,0.8571428571428571,0.7142857142857143,1.1428571428571428,1.5714285714285714,32.285714285714285,13.142857142857142,33062272.0,0.000982777139038912,0.000153820013760456,6.4742901096386565e-06,0.15486679712942403,0.21445710002444685,0.21518379996996373,43.42857142857143,2.7142857142857144,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,16,q85,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.7857142857142857,0.5714285714285714,0.738095238095238,0.5714285714285714,0.7142857142857143,2.4285714285714284,3.0,3.0,2.4285714285714284,3.0,3.0,2.4285714285714284,1.2857142857142858,0.7142857142857143,0.5714285714285714,1.1428571428571428,1.2857142857142858,27.142857142857142,11.428571428571429,33062272.0,0.0007845028553024999,0.00010888857068493962,6.079989751534802e-06,0.1546685228456876,0.21317359997192398,0.21339340001577511,43.42857142857143,2.4285714285714284,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,16,q90,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.7857142857142857,0.5714285714285714,0.738095238095238,0.5714285714285714,0.7142857142857143,2.4285714285714284,3.0,3.0,2.4285714285714284,3.0,3.0,2.4285714285714284,1.2857142857142858,0.7142857142857143,0.5714285714285714,1.1428571428571428,1.2857142857142858,27.142857142857142,11.428571428571429,33062272.0,0.0007670228569103139,0.00010780857410281896,6.017147097736597e-06,0.15465104284729542,0.21310619998257607,0.21316220000153407,43.42857142857143,2.4285714285714284,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,2,open,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.5952380952380952,0.14285714285714285,0.6428571428571429,0.14285714285714285,0.42857142857142855,2.0,2.0,2.0,1.8571428571428572,2.0,2.0,1.8571428571428572,0.8571428571428571,0.0,0.0,1.1428571428571428,0.8571428571428571,19.857142857142858,9.142857142857142,33062272.0,0.000568145711440593,7.099714130163193e-05,4.785714138831411e-06,0.1544521657018257,0.21295149996876717,0.21332400006940588,43.42857142857143,2.0,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,2,q25,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.5952380952380952,0.14285714285714285,0.6428571428571429,0.14285714285714285,0.42857142857142855,2.0,2.0,2.0,1.8571428571428572,2.0,2.0,1.8571428571428572,0.8571428571428571,0.0,0.0,1.1428571428571428,0.8571428571428571,19.857142857142858,9.142857142857142,33062272.0,0.0005772285745479167,7.275999856314489e-05,5.808572417923383e-06,0.15446124856493304,0.21313250006642193,0.2137751000118442,43.42857142857143,2.0,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,2,q50,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.5952380952380952,0.14285714285714285,0.6428571428571429,0.14285714285714285,0.42857142857142855,2.0,2.0,2.0,1.8571428571428572,2.0,2.0,1.8571428571428572,0.8571428571428571,0.0,0.0,1.1428571428571428,0.8571428571428571,19.857142857142858,9.142857142857142,33062272.0,0.0006441742813746844,8.476285895864878e-05,6.028579082340002e-06,0.1545281942717598,0.21311749995220453,0.21378129994263873,43.42857142857143,2.0,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,2,q65,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.5952380952380952,0.14285714285714285,0.6428571428571429,0.14285714285714285,0.42857142857142855,2.0,2.0,2.0,1.8571428571428572,2.0,2.0,1.8571428571428572,0.8571428571428571,0.0,0.0,1.1428571428571428,0.8571428571428571,19.857142857142858,9.142857142857142,33062272.0,0.0005931885646922248,7.602857326024344e-05,5.502847488969564e-06,0.15447720855507732,0.2133206999860704,0.21342400007415563,43.42857142857143,2.0,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,2,q75,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.5952380952380952,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.42857142857142855,1.8571428571428572,2.0,2.0,1.7142857142857142,2.0,2.0,1.7142857142857142,0.7142857142857143,0.0,0.0,1.1428571428571428,0.7142857142857143,16.857142857142858,8.428571428571429,33062272.0,0.0005721314294662859,6.678857774074588e-05,4.482871320630823e-06,0.1544561514198514,0.21328740002354607,0.21329260000493377,43.42857142857143,1.8571428571428572,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,2,q85,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.5952380952380952,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.42857142857142855,1.8571428571428572,2.0,2.0,1.7142857142857142,2.0,2.0,1.7142857142857142,0.7142857142857143,0.0,0.0,1.1428571428571428,0.7142857142857143,16.857142857142858,8.428571428571429,33062272.0,0.0005588400011350002,6.860000513760107e-05,4.068579125617232e-06,0.1544428599915201,0.21301349997520447,0.21350470004836097,43.42857142857143,1.8571428571428572,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,2,q90,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.5952380952380952,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.42857142857142855,1.8571428571428572,2.0,2.0,1.7142857142857142,2.0,2.0,1.7142857142857142,0.7142857142857143,0.0,0.0,1.1428571428571428,0.7142857142857143,16.857142857142858,8.428571428571429,33062272.0,0.000575425720307976,6.551714614033699e-05,4.205709722425257e-06,0.1544594457106931,0.21309449995169416,0.2132158000022173,43.42857142857143,1.8571428571428572,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,4,open,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,0.5952380952380952,0.7142857142857143,0.7142857142857143,3.142857142857143,4.0,4.0,3.142857142857143,4.0,4.0,3.142857142857143,2.0,1.1428571428571428,1.0,1.1428571428571428,2.0,44.57142857142857,15.428571428571429,33062272.0,0.0010234085709920951,0.00017653142900339195,7.32000418273466e-06,0.1549074285613772,0.21375270001590252,0.2139708999893628,43.42857142857143,3.142857142857143,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
test,hotpotqa,1,4,q25,4,best_first,35,7,5,1.0,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,0.5952380952380952,0.7142857142857143,0.7142857142857143,3.142857142857143,4.0,4.0,3.142857142857143,4.0,4.0,3.142857142857143,2.0,1.1428571428571428,1.0,1.1428571428571428,2.0,44.57142857142857,15.428571428571429,33062272.0,0.001059219996178789,0.0001729628603373255,9.114283602684737e-06,0.1549432399865639,0.21376169996801764,0.21453629998723045,43.42857142857143,3.142857142857143,0.0,0.0,0.0,677.1428571428571,8935755.42857143,0.004479828581679612,86616210.28571428,98865737.14285715,1.0
