dataset,stage,component,examples,mean,ci_low,ci_high
qasper,root,H_selection,16,0.013736263736263736,0.0,0.03571428571428571
qasper,root,H_validation,16,0.0,0.0,0.0
hotpotqa,root,H_selection,16,0.02142857142857143,0.0,0.055357142857142855
hotpotqa,root,H_validation,16,0.03125,0.0,0.078125
2wikimultihopqa,root,H_selection,24,0.05347222222222222,0.013888888888888888,0.09861111111111111
2wikimultihopqa,root,H_validation,24,0.02638888888888889,-0.041666666666666664,0.10069444444444446
musique,root,H_selection,18,0.012527233115468408,0.0,0.034313725490196074
musique,root,H_validation,18,0.0,0.0,0.0
qasper,successor,H_selection,16,0.026897831050228308,0.0,0.07377283105022832
qasper,successor,H_validation,16,0.0,0.0,0.0
hotpotqa,successor,H_selection,16,0.028125,0.0,0.071875
hotpotqa,successor,H_validation,16,0.055803571428571425,-0.006250000000000002,0.11517857142857142
2wikimultihopqa,successor,H_selection,18,0.05555555555555555,0.0,0.1388888888888889
2wikimultihopqa,successor,H_validation,18,0.011111111111111112,-0.07222222222222223,0.09444444444444444
musique,successor,H_selection,18,0.016382902023415098,0.0019157088122605363,0.034671376833629045
musique,successor,H_validation,18,0.008166551644812513,-0.023809523809523808,0.053140096618357474
