dataset,stage,available_identities,cohort_size,channel,legacy_channel,selection_probability,bootstrap_mean_recall,recall_ci_low,recall_ci_high,resamples,seed
qasper,root,16,4,semantic,gist,0.0,0.008357083333333333,0.0,0.03791666666666667,1000,20260822
qasper,root,16,4,exact,exact,0.801,0.10023261904761904,0.0,0.3333333333333333,1000,20260822
qasper,root,16,4,bm25,bm25,0.199,0.03307211538461539,0.0,0.125,1000,20260822
qasper,root,16,4,approximate,approx,0.0,0.0286375,0.0,0.1125,1000,20260822
qasper,root,16,4,hybrid,hybrid,0.0,0.030875,0.0,0.125,1000,20260822
qasper,root,16,8,semantic,gist,0.0,0.008633125,0.0,0.032916666666666664,1000,20260822
qasper,root,16,8,exact,exact,0.844,0.09845761904761904,0.0,0.24702380952380953,1000,20260822
qasper,root,16,8,bm25,bm25,0.156,0.03390281593406593,0.0,0.08482142857142858,1000,20260822
qasper,root,16,8,approximate,approx,0.0,0.02695625,0.0,0.0875,1000,20260822
qasper,root,16,8,hybrid,hybrid,0.0,0.031375,0.0,0.09375,1000,20260822
qasper,root,16,12,semantic,gist,0.0,0.008734722222222222,0.0,0.03125,1000,20260822
qasper,root,16,12,exact,exact,0.909,0.0982031746031746,0.016666666666666666,0.20694444444444446,1000,20260822
qasper,root,16,12,bm25,bm25,0.091,0.033519230769230766,0.0,0.07783882783882784,1000,20260822
qasper,root,16,12,approximate,approx,0.0,0.027908333333333334,0.0,0.07916666666666666,1000,20260822
qasper,root,16,12,hybrid,hybrid,0.0,0.03183333333333333,0.0,0.08333333333333333,1000,20260822
qasper,root,16,16,semantic,gist,0.0,0.008335104166666666,0.0,0.025104166666666664,1000,20260822
qasper,root,16,16,exact,exact,0.943,0.0956870238095238,0.02142857142857143,0.1899404761904762,1000,20260822
qasper,root,16,16,bm25,bm25,0.057,0.03322544642857143,0.004807692307692308,0.06953983516483515,1000,20260822
qasper,root,16,16,approximate,approx,0.0,0.027946875,0.0,0.071875,1000,20260822
qasper,root,16,16,hybrid,hybrid,0.0,0.0304375,0.0,0.078125,1000,20260822
qasper,successor,16,4,native_semantic,native_semantic,0.262,0.020499999999999997,0.0,0.08333333333333333,1000,20260822
qasper,successor,16,4,exact_new_address,exact_new_address,0.541,0.024391790857544282,0.0,0.08333333333333333,1000,20260822
qasper,successor,16,4,bm25_state,bm25_state,0.197,0.007276255707762557,0.0,0.027682648401826482,1000,20260822
qasper,successor,16,4,approximate_new_address,approximate_new_address,0.0,0.010471461187214611,0.0,0.04509132420091324,1000,20260822
qasper,successor,16,4,hybrid_state,hybrid_state,0.0,0.010471461187214611,0.0,0.04509132420091324,1000,20260822
qasper,successor,16,8,native_semantic,native_semantic,0.371,0.021291666666666667,0.0,0.08333333333333333,1000,20260822
qasper,successor,16,8,exact_new_address,exact_new_address,0.496,0.02573547656681218,0.0,0.06616300366300365,1000,20260822
qasper,successor,16,8,bm25_state,bm25_state,0.133,0.0071980593607305935,0.0,0.024257990867579907,1000,20260822
qasper,successor,16,8,approximate_new_address,approximate_new_address,0.0,0.011640696347031963,0.0,0.04337899543378995,1000,20260822
qasper,successor,16,8,hybrid_state,hybrid_state,0.0,0.011640696347031963,0.0,0.04337899543378995,1000,20260822
qasper,successor,16,12,native_semantic,native_semantic,0.398,0.020999999999999998,0.0,0.08333333333333333,1000,20260822
qasper,successor,16,12,exact_new_address,exact_new_address,0.535,0.02624278062120528,0.0,0.059139110508973525,1000,20260822
qasper,successor,16,12,bm25_state,bm25_state,0.067,0.006901541095890411,0.0,0.020833333333333332,1000,20260822
qasper,successor,16,12,approximate_new_address,approximate_new_address,0.0,0.012336187214611872,0.0,0.04280821917808219,1000,20260822
qasper,successor,16,12,hybrid_state,hybrid_state,0.0,0.012336187214611872,0.0,0.04280821917808219,1000,20260822
qasper,successor,16,16,native_semantic,native_semantic,0.383,0.020812499999999998,0.0,0.0625,1000,20260822
qasper,successor,16,16,exact_new_address,exact_new_address,0.577,0.02532999648753073,0.0008561643835616438,0.05391483516483516,1000,20260822
qasper,successor,16,16,bm25_state,bm25_state,0.04,0.007017765410958904,0.0,0.019049657534246575,1000,20260822
qasper,successor,16,16,approximate_new_address,approximate_new_address,0.0,0.011464611872146119,0.0,0.03210616438356165,1000,20260822
qasper,successor,16,16,hybrid_state,hybrid_state,0.0,0.011464611872146119,0.0,0.03210616438356165,1000,20260822
hotpotqa,root,16,4,semantic,gist,0.296,0.023196428571428573,0.0,0.09821428571428571,1000,20260822
hotpotqa,root,16,4,exact,exact,0.268,0.0495,0.0,0.1875,1000,20260822
hotpotqa,root,16,4,bm25,bm25,0.277,0.028525000000000002,0.0,0.1125,1000,20260822
hotpotqa,root,16,4,approximate,approx,0.046,0.0171875,0.0,0.0625,1000,20260822
hotpotqa,root,16,4,hybrid,hybrid,0.113,0.0323125,0.0,0.125,1000,20260822
hotpotqa,root,16,8,semantic,gist,0.229,0.024504464285714286,0.0,0.08035714285714285,1000,20260822
hotpotqa,root,16,8,exact,exact,0.409,0.04821875,0.0,0.15625,1000,20260822
hotpotqa,root,16,8,bm25,bm25,0.296,0.02781875,0.0,0.0875,1000,20260822
hotpotqa,root,16,8,approximate,approx,0.013,0.0161875,0.0,0.0625,1000,20260822
hotpotqa,root,16,8,hybrid,hybrid,0.053,0.03203125,0.0,0.09375,1000,20260822
hotpotqa,root,16,12,semantic,gist,0.195,0.024741071428571428,0.0,0.06547619047619048,1000,20260822
hotpotqa,root,16,12,exact,exact,0.512,0.04622916666666667,0.0,0.125,1000,20260822
hotpotqa,root,16,12,bm25,bm25,0.275,0.028229166666666666,0.0,0.075,1000,20260822
hotpotqa,root,16,12,approximate,approx,0.006,0.015375,0.0,0.0625,1000,20260822
hotpotqa,root,16,12,hybrid,hybrid,0.012,0.030854166666666665,0.0,0.08333333333333333,1000,20260822
hotpotqa,root,16,16,semantic,gist,0.153,0.023582589285714283,0.0,0.05803571428571429,1000,20260822
hotpotqa,root,16,16,exact,exact,0.606,0.045921875,0.0,0.125,1000,20260822
hotpotqa,root,16,16,bm25,bm25,0.231,0.027346875,0.0,0.06874999999999999,1000,20260822
hotpotqa,root,16,16,approximate,approx,0.001,0.0155,0.0,0.046875,1000,20260822
hotpotqa,root,16,16,hybrid,hybrid,0.009,0.030421875,0.0,0.078125,1000,20260822
hotpotqa,successor,16,4,native_semantic,native_semantic,0.682,0.1341565476190476,0.0,0.306547619047619,1000,20260822
hotpotqa,successor,16,4,exact_new_address,exact_new_address,0.024,0.0788797619047619,0.0,0.21666666666666667,1000,20260822
hotpotqa,successor,16,4,bm25_state,bm25_state,0.077,0.05095833333333333,0.0,0.16666666666666666,1000,20260822
hotpotqa,successor,16,4,approximate_new_address,approximate_new_address,0.104,0.0788797619047619,0.0,0.21666666666666667,1000,20260822
hotpotqa,successor,16,4,hybrid_state,hybrid_state,0.113,0.0937547619047619,0.0,0.2583333333333333,1000,20260822
hotpotqa,successor,16,8,native_semantic,native_semantic,0.802,0.13040148809523808,0.03125,0.2520833333333333,1000,20260822
hotpotqa,successor,16,8,exact_new_address,exact_new_address,0.029,0.0767595238095238,0.0,0.1708333333333333,1000,20260822
hotpotqa,successor,16,8,bm25_state,bm25_state,0.047,0.051656249999999994,0.0,0.13541666666666666,1000,20260822
hotpotqa,successor,16,8,approximate_new_address,approximate_new_address,0.045,0.0767595238095238,0.0,0.1708333333333333,1000,20260822
hotpotqa,successor,16,8,hybrid_state,hybrid_state,0.077,0.0915095238095238,0.0,0.2125,1000,20260822
hotpotqa,successor,16,12,native_semantic,native_semantic,0.88,0.13361944444444443,0.048611111111111105,0.22718253968253965,1000,20260822
hotpotqa,successor,16,12,exact_new_address,exact_new_address,0.008,0.07749146825396824,0.011904761904761904,0.15575396825396823,1000,20260822
hotpotqa,successor,16,12,bm25_state,bm25_state,0.022,0.05191666666666666,0.0,0.11805555555555554,1000,20260822
hotpotqa,successor,16,12,approximate_new_address,approximate_new_address,0.023,0.07749146825396824,0.011904761904761904,0.15575396825396823,1000,20260822
hotpotqa,successor,16,12,hybrid_state,hybrid_state,0.067,0.09267896825396825,0.011904761904761904,0.18611111111111112,1000,20260822
hotpotqa,successor,16,16,native_semantic,native_semantic,0.932,0.13609821428571428,0.06324404761904762,0.2162202380952381,1000,20260822
hotpotqa,successor,16,16,exact_new_address,exact_new_address,0.004,0.07762008928571427,0.020833333333333332,0.1412202380952381,1000,20260822
hotpotqa,successor,16,16,bm25_state,bm25_state,0.007,0.05315104166666666,0.0,0.11458333333333333,1000,20260822
hotpotqa,successor,16,16,approximate_new_address,approximate_new_address,0.008,0.07762008928571427,0.020833333333333332,0.1412202380952381,1000,20260822
hotpotqa,successor,16,16,hybrid_state,hybrid_state,0.049,0.09416696428571428,0.02142857142857143,0.1726190476190476,1000,20260822
2wikimultihopqa,root,24,4,semantic,gist,0.527,0.0781875,0.0,0.25,1000,20260822
2wikimultihopqa,root,24,4,exact,exact,0.141,0.04458333333333333,0.0,0.14583333333333331,1000,20260822
2wikimultihopqa,root,24,4,bm25,bm25,0.175,0.050275,0.0,0.175,1000,20260822
2wikimultihopqa,root,24,4,approximate,approx,0.096,0.0325,0.0,0.125,1000,20260822
2wikimultihopqa,root,24,4,hybrid,hybrid,0.061,0.05198333333333333,0.0,0.175,1000,20260822
2wikimultihopqa,root,24,8,semantic,gist,0.609,0.08009374999999999,0.0,0.19791666666666666,1000,20260822
2wikimultihopqa,root,24,8,exact,exact,0.102,0.04495833333333333,0.0,0.125,1000,20260822
2wikimultihopqa,root,24,8,bm25,bm25,0.167,0.05208125,0.0,0.125,1000,20260822
2wikimultihopqa,root,24,8,approximate,approx,0.044,0.033,0.0,0.09375,1000,20260822
2wikimultihopqa,root,24,8,hybrid,hybrid,0.078,0.05388333333333333,0.0,0.13333333333333333,1000,20260822
