stage,channel,signal,examples,positives,auroc,auprc,ece,brier,validation_threshold,selective_retained,selective_rejected,selective_coverage,selective_precision,selective_recall,selective_wrong_rejected,selective_correct_rejected
root,approximate,top_score,74,7,0.5458422174840085,0.13317750917849705,0.3886300093196645,0.31956808175595336,0.1896551724137931,59,15,0.7972972972972973,0.1016949152542373,0.8571428571428571,14,1
root,approximate,top1_top2_gap,74,7,0.47547974413646055,0.23604733642684303,0.41495806150978565,0.33599399042324135,0.3620689655172414,53,21,0.7162162162162162,0.09433962264150944,0.7142857142857143,19,2
root,approximate,referential_consistency_score,74,7,0.4509594882729211,0.10043195012799876,0.38793103448275856,0.32204663045923443,0.3793103448275862,46,28,0.6216216216216216,0.06521739130434782,0.42857142857142855,24,4
root,approximate,semantic_consistency_of_lexical_candidate,74,7,0.4168443496801706,0.08953837467311822,0.3688257222739982,0.29182199440820134,1.0,1,73,0.013513513513513514,0.0,0.0,66,7
root,approximate,top_candidate_agreement,74,7,0.4253731343283582,0.09280962637628384,0.49440820130475316,0.4356943150046598,0.6724137931034483,45,29,0.6081081081081081,0.044444444444444446,0.2857142857142857,24,5
root,bm25,top_score,74,9,0.5,0.15319443686230788,0.8783783783783784,0.8783783783783784,1.0,74,0,1.0,0.12162162162162163,1.0,0,0
root,bm25,top1_top2_gap,74,9,0.38461538461538464,0.1261152761058062,0.3725535880708294,0.30519089243821707,0.15517241379310345,56,18,0.7567567567567568,0.08928571428571429,0.5555555555555556,14,4
root,bm25,referential_consistency_score,74,9,0.3564102564102564,0.10509170016124943,0.38676607642124883,0.330711508178809,0.15517241379310345,67,7,0.9054054054054054,0.11940298507462686,0.8888888888888888,6,1
root,bm25,semantic_consistency_of_lexical_candidate,74,9,0.36495726495726494,0.10026065189279752,0.4203168685927306,0.3650416171224732,0.017241379310344827,70,4,0.9459459459459459,0.11428571428571428,0.8888888888888888,3,1
root,bm25,top_candidate_agreement,74,9,0.4128205128205128,0.11072369785483215,0.5403075489282385,0.45048124819230656,0.4827586206896552,74,0,1.0,0.12162162162162163,1.0,0,0
root,exact,top_score,74,11,0.38095238095238093,0.22142253056303363,0.49301025163094137,0.4132146415142846,0.05172413793103448,74,0,1.0,0.14864864864864866,1.0,0,0
root,exact,top1_top2_gap,74,11,0.4422799422799423,0.24165668401252471,0.5158434296365331,0.4425876530513868,0.5,74,0,1.0,0.14864864864864866,1.0,0,0
root,exact,referential_consistency_score,74,11,0.35425685425685427,0.12937116283854175,0.3932898415657037,0.3496963074846546,0.017241379310344827,74,0,1.0,0.14864864864864866,1.0,0,0
root,exact,semantic_consistency_of_lexical_candidate,74,11,0.31313131313131315,0.11284744034217811,0.3779123951537745,0.34398399588649287,1.0,2,72,0.02702702702702703,0.0,0.0,61,11
root,exact,top_candidate_agreement,74,11,0.31313131313131315,0.11494839236791962,0.4447809878844363,0.45859578365523657,0.2413793103448276,74,0,1.0,0.14864864864864866,1.0,0,0
root,hybrid,top_score,74,4,0.3625,0.06178451178451178,0.4191519105312209,0.3355922807468587,0.15517241379310345,58,16,0.7837837837837838,0.05172413793103448,0.75,15,1
root,hybrid,top1_top2_gap,74,4,0.7339285714285714,0.3375473890179772,0.4291705498602051,0.2988961018093003,0.06896551724137931,73,1,0.9864864864864865,0.0547945205479452,1.0,1,0
root,hybrid,referential_consistency_score,74,4,0.6053571428571428,0.1119047619047619,0.41309412861137,0.3032385834109972,0.1206896551724138,62,12,0.8378378378378378,0.06451612903225806,1.0,12,0
root,hybrid,semantic_consistency_of_lexical_candidate,74,4,0.1875,0.03993748470974732,0.43383038210624425,0.299739692129704,0.017241379310344827,73,1,0.9864864864864865,0.0547945205479452,1.0,1,0
root,hybrid,top_candidate_agreement,74,4,0.5392857142857143,0.07958744822013418,0.5417054986020504,0.43131969662885256,0.10344827586206896,74,0,1.0,0.05405405405405406,1.0,0,0
root,semantic,top_score,74,6,0.3394607843137255,0.0742396528941744,0.35624417520969237,0.27021001381881304,0.4482758620689655,27,47,0.36486486486486486,0.037037037037037035,0.16666666666666666,42,5
root,semantic,top1_top2_gap,74,6,0.40441176470588236,0.08221255954530603,0.42520969245107176,0.33006475559983284,0.7413793103448276,20,54,0.2702702702702703,0.1,0.3333333333333333,50,4
root,semantic,referential_consistency_score,74,6,0.35294117647058826,0.07575638329021515,0.4228797763280522,0.32775894205739625,0.5689655172413793,28,46,0.3783783783783784,0.03571428571428571,0.16666666666666666,41,5
root,semantic,semantic_consistency_of_lexical_candidate,74,6,0.3394607843137255,0.0742396528941744,0.35624417520969237,0.27021001381881304,0.4482758620689655,27,47,0.36486486486486486,0.037037037037037035,0.16666666666666666,42,5
root,semantic,top_candidate_agreement,74,6,0.47671568627450983,0.08703527918946459,0.695013979496738,0.5658924382170517,0.7413793103448276,74,0,1.0,0.08108108108108109,1.0,0,0
successor,approximate_new_address,top_score,68,6,0.45161290322580644,0.09128515103747302,0.42272202998846586,0.31584006151480204,0.6470588235294118,20,48,0.29411764705882354,0.05,0.16666666666666666,43,5
successor,approximate_new_address,top1_top2_gap,68,6,0.4731182795698925,0.1484654234654235,0.5132641291810843,0.4032385733993712,0.2549019607843137,57,11,0.8382352941176471,0.07017543859649122,0.6666666666666666,9,2
