stage,channel,bin,lower,upper,count,mean_confidence,accuracy
successor,bm25_state,3,0.375,0.5,7,0.42577030812324923,0.0
successor,bm25_state,4,0.5,0.625,6,0.5196078431372548,0.0
successor,bm25_state,5,0.625,0.75,19,0.7017543859649122,0.05263157894736842
successor,bm25_state,6,0.75,0.875,8,0.8284313725490196,0.125
successor,bm25_state,7,0.875,1.0,5,0.9176470588235294,0.2
successor,exact_new_address,0,0.0,0.125,2,0.00980392156862745,0.0
successor,exact_new_address,1,0.125,0.25,7,0.16526610644257703,0.42857142857142855
successor,exact_new_address,2,0.25,0.375,10,0.3058823529411764,0.0
successor,exact_new_address,3,0.375,0.5,5,0.4117647058823529,0.2
successor,exact_new_address,4,0.5,0.625,7,0.5882352941176471,0.14285714285714285
successor,exact_new_address,5,0.625,0.75,14,0.6848739495798319,0.07142857142857142
successor,exact_new_address,6,0.75,0.875,19,0.8008255933952529,0.10526315789473684
successor,exact_new_address,7,0.875,1.0,4,0.9166666666666666,0.0
successor,hybrid_state,0,0.0,0.125,3,0.0392156862745098,0.3333333333333333
successor,hybrid_state,1,0.125,0.25,5,0.2235294117647059,0.2
successor,hybrid_state,2,0.25,0.375,9,0.318082788671024,0.1111111111111111
successor,hybrid_state,3,0.375,0.5,13,0.45852187028657626,0.07692307692307693
successor,hybrid_state,4,0.5,0.625,5,0.5764705882352941,0.4
successor,hybrid_state,5,0.625,0.75,12,0.6879084967320263,0.08333333333333333
successor,hybrid_state,6,0.75,0.875,17,0.80161476355248,0.11764705882352941
successor,hybrid_state,7,0.875,1.0,4,0.9117647058823529,0.0
successor,native_semantic,0,0.0,0.125,9,0.05882352941176469,0.1111111111111111
successor,native_semantic,1,0.125,0.25,9,0.18736383442265792,0.2222222222222222
successor,native_semantic,2,0.25,0.375,8,0.31127450980392163,0.0
successor,native_semantic,3,0.375,0.5,7,0.4341736694677872,0.0
successor,native_semantic,4,0.5,0.625,9,0.5555555555555555,0.1111111111111111
successor,native_semantic,5,0.625,0.75,11,0.7076648841354725,0.09090909090909091
successor,native_semantic,6,0.75,0.875,8,0.8039215686274509,0.25
successor,native_semantic,7,0.875,1.0,7,0.9159663865546219,0.14285714285714285
