baseline,ci95_high,ci95_low,dataset,losses,mean_delta,method,pairs,ties,wins
native_mean,0.04296875000000001,-0.052938988095238095,hotpotqa,20,-0.004389880952380953,lowrank_r16_ensemble,64,22,22
exact,-0.09423983134920637,-0.22870163690476192,hotpotqa,35,-0.16120411706349205,lowrank_r16_ensemble,64,21,8
bm25,-0.21385788690476193,-0.3167968750000001,hotpotqa,48,-0.2654575892857143,lowrank_r16_ensemble,64,15,1
hybrid,-0.046527777777777786,-0.1605406746031746,hotpotqa,28,-0.10324280753968254,lowrank_r16_ensemble,64,25,11
native_mean,0.051822916666666656,-0.04244791666666667,hotpotqa,19,0.0045758928571428565,lowrank_r8_kmeans_ensemble,64,28,17
exact,-0.08650793650793652,-0.22299107142857139,hotpotqa,37,-0.15223834325396826,lowrank_r8_kmeans_ensemble,64,19,8
native_mean,0.2098795164995823,0.07954097483291561,qasper,5,0.14068928832497912,lowrank_r16_ensemble,64,32,27
exact,0.031526624721526036,-0.14648024140211643,qasper,25,-0.060031371832358675,lowrank_r16_ensemble,64,24,15
bm25,0.28472222222222215,0.10277984457671961,qasper,8,0.19255745701058202,lowrank_r16_ensemble,64,16,40
hybrid,0.17955109126984126,0.05620039682539683,qasper,8,0.11490803832497912,lowrank_r16_ensemble,64,30,26
native_mean,0.1546585648148148,0.03097098214285714,qasper,8,0.08924644510582011,lowrank_r8_kmeans_ensemble,64,32,24
exact,-0.018621205792258427,-0.19644717261904762,qasper,32,-0.11147421505151768,lowrank_r8_kmeans_ensemble,64,25,7
