active_memory_fraction,any_evidence,chain_completion,condition,dataset,evidence_precision,evidence_recall,exact_identity,identities,index_bytes_per_chunk,materialized_native_kv_tokens,mrr,rows,seeds
0.08917418765338928,0.953125,0.5625,bm25,hotpotqa,0.46484375,0.385906498015873,0.0,64,,127.546875,0.875,64,0
0.08942663520835817,0.796875,0.234375,exact,hotpotqa,0.34765625,0.2816530257936508,0.0,64,,127.8125,0.6302083333333334,64,0
0.08934754403780885,0.46875,0.09375,full_k_teacher,hotpotqa,0.12890625,0.10770089285714286,0.0,64,131072,127.828125,0.2747395833333333,64,0
0.08792924768133045,0.71875,0.25,hybrid,hotpotqa,0.2578125,0.22369171626984127,0.0,64,,125.6875,0.4739583333333333,64,0
0.08300580853176757,0.234375,0.015625,irrelevant_bottom,hotpotqa,0.06640625,0.04887152777777778,0.0,64,,119.40625,0.13671875,64,0
0.0889513112777359,0.453125,0.084375,lowrank_r16,hotpotqa,0.14765625,0.11642113095238096,0.0,64,2048,127.228125,0.27265625,320,5
0.08912107588081368,0.484375,0.140625,lowrank_r16_ensemble,hotpotqa,0.16015625,0.12044890873015873,0.0,64,2048,127.515625,0.31640625,64,0
0.0876694604587931,0.409375,0.065625,lowrank_r8_kmeans,hotpotqa,0.1328125,0.10525173611111112,0.0,64,256,125.325,0.24010416666666665,320,5
0.0874784435218048,0.484375,0.09375,lowrank_r8_kmeans_ensemble,hotpotqa,0.16015625,0.12941468253968255,0.0,64,256,124.8125,0.3294270833333333,64,0
0.08728155631023149,0.515625,0.09375,native_mean,hotpotqa,0.15234375,0.12483878968253968,0.0,64,4096,124.546875,0.265625,64,0
0.08846195483816888,1.0,0.984375,oracle_evidence,hotpotqa,0.9765625,0.8140873015873016,0.3125,64,,127.484375,0.984375,64,0
0.08808879930335707,0.390625,0.0625,shuffled_selection,hotpotqa,0.109375,0.091796875,0.0,64,,127.0,0.203125,64,0
0.033546473689624205,0.296875,0.296875,bm25,qasper,0.0859375,0.06509383267195767,0.0,64,,127.625,0.18489583333333334,64,0
0.033562841123085295,0.734375,0.734375,exact,qasper,0.4140625,0.3176826615148984,0.0,64,,127.578125,0.5078125,64,0
0.03359910973120652,0.46875,0.46875,full_k_teacher,qasper,0.1171875,0.10579508667502088,0.0,64,131072,126.875,0.24088541666666666,64,0
0.03312976875552382,0.4375,0.4375,hybrid,qasper,0.12109375,0.14274325135756058,0.0,64,,125.609375,0.2877604166666667,64,0
0.03169774881868557,0.09375,0.09375,irrelevant_bottom,qasper,0.03125,0.012729197124756335,0.0,64,,120.21875,0.09375,64,0
0.03359345908232388,0.546875,0.546875,lowrank_r16,qasper,0.20546875,0.21625818017265383,0.0,64,2048,127.565625,0.4166666666666667,320,5
0.03375075871774008,0.640625,0.640625,lowrank_r16_ensemble,qasper,0.2578125,0.2576512896825397,0.0,64,2048,128.0,0.5065104166666666,64,0
0.0330293656723961,0.46875,0.46875,lowrank_r8_kmeans,qasper,0.15625,0.16651731324839877,0.0,64,256,126.20625,0.32890625,320,5
0.03271959827376765,0.53125,0.53125,lowrank_r8_kmeans_ensemble,qasper,0.19921875,0.20620844646338068,0.0,64,256,125.078125,0.3658854166666667,64,0
0.03286893138341827,0.375,0.375,native_mean,qasper,0.10546875,0.11696200135756057,0.0,64,4096,125.125,0.22395833333333334,64,0
0.03370676062527028,1.0,1.0,oracle_evidence,qasper,0.8984375,0.7310755186577556,0.078125,64,,127.515625,1.0,64,0
0.03343002096209577,0.203125,0.203125,shuffled_selection,qasper,0.0546875,0.041984953703703705,0.0,64,,127.28125,0.203125,64,0
