any_evidence,append_update_ms,batch_search_ms,bytes_per_chunk,chunks,cold_build_ms,dataset,evidence_recall,examples,index_bytes,mode,mrr,projection_ms,queries_per_second,representatives,warm_search_ms,warm_search_p95_ms
0.46875,0.06894061516504735,2.2076406312407926,1056.0,49.234375,0.6757062365068123,hotpotqa,0.11637524801587301,64,51991.5,bfloat16,0.2604166666666667,8.195850015908945,3708.4793340656474,32.0,1.7933343695403892,2.3220296898216475
0.46875,0.07858438038965687,3.6438562419789378,1056.0,49.234375,0.3478156104392838,hotpotqa,0.11793774801587302,64,51991.5,float16,0.2682291666666667,8.195850015908945,3752.3895274424863,32.0,1.6619525775240618,2.0905328092339914
0.40625,0.07606250437675044,2.0024062505399343,264.0,49.234375,707.3475640281686,hotpotqa,0.09161706349206349,64,12997.875,float16_centroid8,0.24088541666666666,8.195850015908945,4089.3827178074994,8.0,1.5493443730520085,1.9878906350641046
0.46875,3.0967265556682833,2.58980938087916,2080.0,49.234375,0.07489217387046665,hotpotqa,0.11793774801587302,64,102407.5,float32,0.2604166666666667,8.195850015908945,3782.501362040044,32.0,1.6886344528757036,2.1400640580395702
0.46875,0.2059515427390579,2.1933828247711062,545.4140239981639,49.234375,12.393460947350832,hotpotqa,0.11793774801587302,64,26847.5,int8,0.2630208333333333,8.195850015908945,3712.3000032648847,32.0,1.776956720277667,2.218067180365324
0.40625,0.07966407065396197,1.9789281250268687,137.4140239981639,49.234375,694.1093296845793,hotpotqa,0.09161706349206349,64,6759.875,int8_centroid8,0.24088541666666666,8.195850015908945,4089.2192517295484,8.0,1.6633829682177748,2.0984906223020516
0.578125,0.0800031230028253,3.2179124900721945,1056.0,152.515625,0.3586515558708925,qasper,0.22690352182539683,64,161056.5,bfloat16,0.4205729166666667,7.159049993788358,2663.8413885532673,32.0,2.055441874836106,2.501296879927395
0.578125,0.0747187550587114,3.1779328164702747,1056.0,152.515625,0.33076406180043705,qasper,0.2295076884920635,64,161056.5,float16,0.421875,7.159049993788358,2691.4106744885394,32.0,1.893802185804816,2.320112500456162
0.5,0.07092501618899405,2.625401557452278,264.0,152.515625,2004.8859843627724,qasper,0.19808407738095238,64,40264.125,float16_centroid8,0.3333333333333333,7.159049993788358,3220.8138978885813,8.0,1.6867075017216848,2.080965645291144
0.578125,0.07675469169043936,3.1682437438576017,2080.0,152.515625,0.08421094389632344,qasper,0.2295076884920635,64,317232.5,float32,0.4205729166666667,7.159049993788358,2732.8065850791218,32.0,1.9224287487304537,2.3107218912628014
0.578125,0.08346874528797343,3.1698718885309063,544.5369883766685,152.515625,1.9998156167275738,qasper,0.2295076884920635,64,83032.5,int8,0.4205729166666667,7.159049993788358,2698.1816243618073,32.0,2.0782142963071237,2.480960924003739
0.484375,0.07797811849741265,2.8005421918351203,136.5369883766685,152.515625,2062.423023420706,qasper,0.19547991071428572,64,20806.125,int8_centroid8,0.3190104166666667,7.159049993788358,3074.6741136791525,8.0,1.8120148437446915,2.210487495176494
