any_evidence,append_update_ms,batch_queries,batch_search_ms,bytes_per_chunk,chunks,cold_build_ms,dataset,evidence_recall,example_id,index_bytes,mode,mrr,projection_ms,queries_per_second,rank,representatives,warm_search_ms,warm_search_p95_ms
1.0,193.38539987802505,8,32.93440002016723,2080.0,26,0.11090002954006195,hotpotqa,0.25,5ae241005542994d89d5b3a4,54080,float32,0.5,267.04640011303127,242.90711217150567,16,32,1.5452549792826176,2.2630998864769936
1.0,0.33059995621442795,8,98.69050001725554,1056.0,26,0.7499000057578087,hotpotqa,0.25,5ae241005542994d89d5b3a4,27456,float16,0.5,267.04640011303127,81.06150033287135,16,32,1.81157001061365,2.5963999796658754
1.0,0.0562998466193676,8,1.6966001130640507,1056.0,26,21.075000055134296,hotpotqa,0.25,5ae241005542994d89d5b3a4,27456,bfloat16,0.5,267.04640011303127,4715.312664663238,16,32,2.0562500110827386,2.8119999915361404
1.0,8.338300045579672,8,1.8249000422656536,546.4615384615385,26,702.8417999390513,hotpotqa,0.25,5ae241005542994d89d5b3a4,14208,int8,0.5,267.04640011303127,4383.801750625104,16,32,1.6525299870409071,2.053199801594019
1.0,0.09309989400207996,8,1.656699925661087,264.0,26,1396.1900998838246,hotpotqa,0.25,5ae241005542994d89d5b3a4,6864,float16_centroid8,0.5,267.04640011303127,4828.87689924154,16,8,1.474039989989251,1.6838000155985355
1.0,0.062000006437301636,8,1.613199943676591,138.46153846153845,26,385.68939990364015,hotpotqa,0.25,5ae241005542994d89d5b3a4,3600,int8_centroid8,0.5,267.04640011303127,4959.087701036899,16,8,1.5070800087414682,1.8275000620633364
0.0,0.08699996396899223,8,2.814200008288026,2080.0,48,0.17399992793798447,hotpotqa,0.0,5ae0d85d5542990adbacf67e,99840,float32,0.0,98.87119987979531,2842.7261660292133,16,32,2.0951699931174517,3.0189999379217625
0.0,0.1113000325858593,8,2.0225998014211655,1056.0,48,0.7177998777478933,hotpotqa,0.0,5ae0d85d5542990adbacf67e,50688,float16,0.0,98.87119987979531,3955.305441234028,16,32,1.6147700371220708,2.3974000941962004
0.0,0.08310005068778992,8,2.2909999825060368,1056.0,48,0.32810005359351635,hotpotqa,0.0,5ae0d85d5542990adbacf67e,50688,bfloat16,0.0,98.87119987979531,3491.9249502783096,16,32,1.7813249956816435,2.408500062301755
0.0,0.06389990448951721,8,2.2712000645697117,545.3333333333334,48,1.525399973616004,hotpotqa,0.0,5ae0d85d5542990adbacf67e,26176,int8,0.0,98.87119987979531,3522.3669305044837,16,32,1.8289200379513204,2.4846000596880913
0.0,0.06010010838508606,8,1.7880001105368137,264.0,48,631.6212001256645,hotpotqa,0.0,5ae0d85d5542990adbacf67e,12672,float16_centroid8,0.0,98.87119987979531,4474.272654042594,16,8,1.486844988539815,1.8861000426113605
0.0,0.060399994254112244,8,2.029500203207135,137.33333333333334,48,719.5443001110107,hotpotqa,0.0,5ae0d85d5542990adbacf67e,6592,int8_centroid8,0.0,98.87119987979531,3941.857205709037,16,8,1.6335949883796275,1.994399819523096
0.0,0.08350005373358727,8,2.3177999537438154,2080.0,54,0.14949985779821873,hotpotqa,0.0,5a7a954855429941d65f26cd,112320,float32,0.0,2.8412998653948307,3451.5489514433884,16,32,1.8467750051058829,2.7046999894082546
0.0,0.05710008554160595,8,2.113600028678775,1056.0,54,0.7233000360429287,hotpotqa,0.0,5a7a954855429941d65f26cd,57024,float16,0.0,2.8412998653948307,3785.011303676435,16,32,1.7623349674977362,2.3706001229584217
0.0,0.07560010999441147,8,2.1317999344319105,1056.0,54,0.336499884724617,hotpotqa,0.0,5a7a954855429941d65f26cd,57024,bfloat16,0.0,2.8412998653948307,3752.697366571534,16,32,1.7803949653171003,2.107699867337942
0.0,0.060300109907984734,8,2.1226999815553427,545.1851851851852,54,1.2802998535335064,hotpotqa,0.0,5a7a954855429941d65f26cd,29440,int8,0.0,2.8412998653948307,3768.7850706712907,16,32,1.9096899777650833,2.518199849873781
0.0,0.06160000339150429,8,2.298900159075856,264.0,54,714.6553001366556,hotpotqa,0.0,5a7a954855429941d65f26cd,14256,float16_centroid8,0.0,2.8412998653948307,3479.9249408099354,16,8,1.5090649714693427,1.7634998075664043
0.0,0.060300109907984734,8,1.9483999349176884,137.1851851851852,54,691.5449001826346,hotpotqa,0.0,5a7a954855429941d65f26cd,7408,int8_centroid8,0.0,2.8412998653948307,4105.933210441195,16,8,1.7551349941641092,2.557000145316124
1.0,0.06500002928078175,8,2.0299998577684164,2080.0,50,0.06500002928078175,hotpotqa,0.25,5ae5e852554299546bf82fb8,104000,float32,1.0,2.4210000410676003,3940.8869756249237,16,32,1.7165250377729535,2.4767001159489155
1.0,0.05550007335841656,8,2.065500011667609,1056.0,50,0.3051001112908125,hotpotqa,0.25,5ae5e852554299546bf82fb8,52800,float16,1.0,2.4210000410676003,3873.154178072888,16,32,1.7054200288839638,2.5349000934511423
1.0,0.06320001557469368,8,2.2340998984873295,1056.0,50,0.3060000017285347,hotpotqa,0.25,5ae5e852554299546bf82fb8,52800,bfloat16,1.0,2.4210000410676003,3580.8604643940325,16,32,1.8226799904368818,2.158000133931637
1.0,0.10320008732378483,8,2.134700072929263,545.28,50,1.4124999288469553,hotpotqa,0.25,5ae5e852554299546bf82fb8,27264,int8,1.0,2.4210000410676003,3747.5990662343006,16,32,1.834110007621348,2.8270999900996685
1.0,0.08019991219043732,8,1.7779001500457525,264.0,50,673.7746999133378,hotpotqa,0.25,5ae5e852554299546bf82fb8,13200,float16_centroid8,0.5,2.4210000410676003,4499.690266517007,16,8,1.5936500043608248,2.1891999058425426
