case_id,condition,candidate_native_tokens,requested_native_tokens,active_native_tokens,routing_index_bytes,resident_detail_kv_bytes,prompt_tokens,index_seconds,routing_seconds,materialization_seconds
independent_parallel-low-s11,PRA_SESSION,411,211,0,32768,1683456,70,2.0444096999708563,0.7294781000819057,3.8107235999777913
independent_parallel-low-s11,PRA_TASK_LOCAL,59,59,0,4096,241664,70,0.24024279997684062,0.08745780005119741,0.9484571998473257
independent_parallel-low-s11,PRA_TASK_STRUCT,59,59,0,4096,241664,70,0.21147589990869164,0.08403509994968772,0.9412086999509484
linear_dependency-low-s23,PRA_SESSION,408,230,0,32768,1671168,76,1.7489079998340458,0.2368714001495391,4.810941800009459
linear_dependency-low-s23,PRA_TASK_LOCAL,57,57,0,4096,233472,76,0.32398379989899695,0.07664550002664328,0.9206465999595821
linear_dependency-low-s23,PRA_TASK_STRUCT,102,102,0,8192,417792,76,0.4040614999830723,0.10912259994074702,1.916460300097242
join-low-s37,PRA_SESSION,406,210,0,32768,1662976,76,1.890812500147149,0.23353409999981523,4.306968400022015
join-low-s37,PRA_TASK_LOCAL,58,58,0,4096,237568,76,0.24808329995721579,0.08318729978054762,0.9747139001265168
join-low-s37,PRA_TASK_STRUCT,201,201,0,16384,823296,76,0.811708000022918,0.22719250014051795,4.025615199934691
resumption-low-s53,PRA_SESSION,410,186,0,32768,1679360,70,1.5924925999715924,0.25222959998063743,4.658046799944714
resumption-low-s53,PRA_TASK_LOCAL,41,41,0,4096,167936,70,0.3702752001117915,0.07744290004484355,1.041577500058338
resumption-low-s53,PRA_TASK_STRUCT,41,41,0,4096,167936,70,0.22164470003917813,0.08151020016521215,1.0164040999952704
conflicting_state-low-s71,PRA_SESSION,433,252,0,32768,1773568,74,1.8099032000172883,0.20192769984714687,5.068893100135028
conflicting_state-low-s71,PRA_TASK_LOCAL,50,50,0,4096,204800,74,0.19089580001309514,0.15668149990960956,1.0518012999091297
conflicting_state-low-s71,PRA_TASK_STRUCT,50,50,0,4096,204800,74,0.21736250002868474,0.11121500004082918,1.0782727000769228
independent_parallel-medium-s11,PRA_SESSION,430,252,0,32768,1761280,73,1.8027293998748064,0.30657769995741546,5.588355700019747
independent_parallel-medium-s11,PRA_TASK_LOCAL,60,60,0,4096,245760,73,0.1897766999900341,0.1283288998529315,1.0368715000804514
independent_parallel-medium-s11,PRA_TASK_STRUCT,60,60,0,4096,245760,73,0.2162180000450462,0.1049838000908494,1.0850902998354286
linear_dependency-medium-s23,PRA_SESSION,428,256,0,32768,1753088,79,1.9218596001155674,0.2763960000593215,6.125156800029799
linear_dependency-medium-s23,PRA_TASK_LOCAL,61,61,0,4096,249856,79,0.28918109997175634,0.11495499988086522,1.0524496000725776
linear_dependency-medium-s23,PRA_TASK_STRUCT,110,110,0,8192,450560,79,0.45211529987864196,0.15340870013460517,2.13226559991017
join-medium-s37,PRA_SESSION,422,250,0,32768,1728512,79,1.6689153001643717,0.25550359999760985,5.24567690002732
join-medium-s37,PRA_TASK_LOCAL,61,61,0,4096,249856,79,0.2094785999506712,0.14767970005050302,1.0845484999008477
join-medium-s37,PRA_TASK_STRUCT,210,210,0,16384,860160,79,0.8757706000469625,0.20656840014271438,4.12980469991453
resumption-medium-s53,PRA_SESSION,429,233,0,32768,1757184,73,1.8023387999273837,0.24199020001105964,5.1250135998707265
resumption-medium-s53,PRA_TASK_LOCAL,44,44,0,4096,180224,73,0.24152879999019206,0.12037450005300343,0.9576263998169452
resumption-medium-s53,PRA_TASK_STRUCT,44,44,0,4096,180224,73,0.2270050998777151,0.0853957999497652,0.9929082999005914
conflicting_state-medium-s71,PRA_SESSION,431,253,0,32768,1765376,74,1.809734599897638,0.3012734001968056,5.096692000050098
conflicting_state-medium-s71,PRA_TASK_LOCAL,49,49,0,4096,200704,74,0.19995949999429286,0.12572470004670322,1.0831063999794424
conflicting_state-medium-s71,PRA_TASK_STRUCT,49,49,0,4096,200704,74,0.1968008999247104,0.1392573998309672,1.1009881999343634
independent_parallel-high-s11,PRA_SESSION,443,232,0,32768,1814528,76,1.7866956999059767,0.3120741001330316,5.197447299957275
independent_parallel-high-s11,PRA_TASK_LOCAL,64,64,0,4096,262144,76,0.2513814000412822,0.11443860013969243,1.1358533001039177
independent_parallel-high-s11,PRA_TASK_STRUCT,64,64,0,4096,262144,76,0.22588479984551668,0.1357827999163419,1.1206276998855174
linear_dependency-high-s23,PRA_SESSION,444,231,0,32768,1818624,82,1.9221095000393689,0.30926029989495873,5.2611941001378
linear_dependency-high-s23,PRA_TASK_LOCAL,63,63,0,4096,258048,82,0.2314512999728322,0.13006999995559454,1.0731436000205576
linear_dependency-high-s23,PRA_TASK_STRUCT,114,114,0,8192,466944,82,0.43839389993809164,0.1324112000875175,2.2130519999191165
join-high-s37,PRA_SESSION,460,232,0,36864,1884160,82,1.8473475999198854,0.3154044998809695,5.333469700068235
join-high-s37,PRA_TASK_LOCAL,74,74,0,6144,303104,82,0.216624999884516,0.14375780010595918,1.3670300000812858
join-high-s37,PRA_TASK_STRUCT,228,203,0,18432,933888,82,0.9857317998539656,0.2172616000752896,4.354669499909505
resumption-high-s53,PRA_SESSION,445,233,0,32768,1822720,76,1.8449892001226544,0.2997913998551667,5.403578599914908
resumption-high-s53,PRA_TASK_LOCAL,46,46,0,4096,188416,76,0.2216503000818193,0.10940079996362329,1.1069990999531
resumption-high-s53,PRA_TASK_STRUCT,46,46,0,4096,188416,76,0.24200779991224408,0.11082020006142557,1.0609981999732554
conflicting_state-high-s71,PRA_SESSION,432,253,0,32768,1769472,74,1.8567703000735492,0.27731899986974895,5.288406300125644
conflicting_state-high-s71,PRA_TASK_LOCAL,49,49,0,4096,200704,74,0.22084750002250075,0.09196630003862083,1.1399651998654008
conflicting_state-high-s71,PRA_TASK_STRUCT,49,49,0,4096,200704,74,0.3788461999502033,0.08067760011181235,1.0512292999774218
