protocol,case_id,seed,fan_in,budget_chunks,predecessor_recall,join_complete,selected_native_tokens,candidate_records,model_success,accounting_source
paper8-production-pra-oracle-scope-v1,join-capacity-2-s11,11,2,2,0.5,0,46,3,0,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s11,11,2,4,1.0,1,103,3,1,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s11,11,2,8,1.0,1,135,3,1,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s11,11,2,16,1.0,1,135,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s11,11,2,32,1.0,1,135,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s23,23,2,2,0.5,0,46,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s23,23,2,4,1.0,1,104,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s23,23,2,8,1.0,1,136,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s23,23,2,16,1.0,1,136,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s23,23,2,32,1.0,1,136,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s37,37,2,2,0.5,0,46,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s37,37,2,4,1.0,1,104,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s37,37,2,8,1.0,1,136,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s37,37,2,16,1.0,1,136,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s37,37,2,32,1.0,1,136,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s53,53,2,2,0.5,0,47,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s53,53,2,4,1.0,1,104,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s53,53,2,8,1.0,1,136,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s53,53,2,16,1.0,1,136,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s53,53,2,32,1.0,1,136,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s71,71,2,2,0.5,0,47,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s71,71,2,4,1.0,1,104,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s71,71,2,8,1.0,1,136,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s71,71,2,16,1.0,1,136,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-2-s71,71,2,32,1.0,1,136,3,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s11,11,4,2,0.25,0,64,5,0,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s11,11,4,4,0.75,0,103,5,0,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s11,11,4,8,1.0,1,224,5,0,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s11,11,4,16,1.0,1,256,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s11,11,4,32,1.0,1,256,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s23,23,4,2,0.25,0,63,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s23,23,4,4,0.75,0,102,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s23,23,4,8,1.0,1,224,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s23,23,4,16,1.0,1,256,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s23,23,4,32,1.0,1,256,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s37,37,4,2,0.25,0,63,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s37,37,4,4,0.75,0,101,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s37,37,4,8,1.0,1,223,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s37,37,4,16,1.0,1,255,5,,encoded_native_chunk_spans
paper8-production-pra-oracle-scope-v1,join-capacity-4-s37,37,4,32,1.0,1,255,5,,encoded_native_chunk_spans
